App,SHA,TestFilePath,LOC,NOM,WMC,RFC,NAs,AsD,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,Replace conditional by ParameterizedTest,Add Assert Argument,Replace NOT operator,Replace Reserved Words,Split Conditional Statement in Assertions,Replace Rule With AssertThrows,Replace Try/Catch With AssertThrows,Replace @test(expected) with assertThrows,isReplaceConditionalbyParameterizedTest,isAddAssertArgument,isReplaceNOToperator,isReplaceReservedWords,isSplitConditionalStatementinAssertions,isReplaceRuleWithAssertThrows,isReplaceTry/CatchWithAssertThrows,isReplace@test(expected)withassertThrows
dhatim/fastexcel,8b5554fc02c28f5ceffc854719e1d03209d5f6c9,org/dhatim/fastexcel/reader/CellAddressTest.java,14,3,3,8,0.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
dhatim/fastexcel,8b5554fc02c28f5ceffc854719e1d03209d5f6c9,org/dhatim/fastexcel/reader/RowTest.java,14,1,2,8,0.21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
dhatim/fastexcel,8b5554fc02c28f5ceffc854719e1d03209d5f6c9,org/dhatim/fastexcel/MarginalInformationTest.java,58,8,16,38,0.14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
dhatim/fastexcel,8b5554fc02c28f5ceffc854719e1d03209d5f6c9,org/dhatim/fastexcel/WriterTest.java,19,2,4,11,0.11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
dhatim/fastexcel,8b5554fc02c28f5ceffc854719e1d03209d5f6c9,org/dhatim/fastexcel/XmlEscapeHelperTest.java,6,1,1,2,0.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
dhatim/fastexcel,862f009fb0fc5bde3c4ef79d02a3cc3b5a2a180b,org/dhatim/fastexcel/reader/CellAddressTest.java,14,3,3,8,0.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
dhatim/fastexcel,862f009fb0fc5bde3c4ef79d02a3cc3b5a2a180b,org/dhatim/fastexcel/reader/RowTest.java,14,1,2,8,0.21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
dhatim/fastexcel,862f009fb0fc5bde3c4ef79d02a3cc3b5a2a180b,org/dhatim/fastexcel/MarginalInformationTest.java,58,8,16,38,0.14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
dhatim/fastexcel,862f009fb0fc5bde3c4ef79d02a3cc3b5a2a180b,org/dhatim/fastexcel/WriterTest.java,19,2,4,11,0.11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
dhatim/fastexcel,862f009fb0fc5bde3c4ef79d02a3cc3b5a2a180b,org/dhatim/fastexcel/XmlEscapeHelperTest.java,6,1,1,2,0.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
