,App,SHA,TestFilePath,MergeAttribute,isMergeAttribute,prediction
13,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,flink/tsfile/RowTsFileInputFormatTest.java,0.0,False,False
17,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,hadoop/tsfile/TSFHadoopTest.java,0.0,False,False
25,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,flink/IoTDBSinkBatchInsertTest.java,0.0,False,True
29,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,web/grafana/dao/impl/BasicDaoImplTest.java,0.0,False,True
35,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,spark/it/WriteTest.java,0.0,False,False
39,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,confignode/consensus/request/ConfigPhysicalPlanSerDeTest.java,0.0,False,False
47,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,confignode/persistence/schema/ClusterSchemaInfoTest.java,0.0,False,False
76,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,confignode/procedure/env/TestProcEnv.java,0.0,False,True
109,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,tsfile/file/metadata/ChunkMetadataTest.java,0.0,False,True
149,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,tsfile/read/query/timegenerator/ReaderByTimestampTest.java,0.0,False,False
166,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,tsfile/read/reader/ChunkReaderTest.java,0.0,False,False
204,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,tsfile/encoding/decoder/LongZigzagDecoderTest.java,0.0,False,False
236,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/utils/datastructure/BooleanTVListTest.java,0.0,False,False
257,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/query/reader/universal/AlignedPriorityMergeReaderTest.java,0.0,False,True
263,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/query/udf/datastructure/SerializableFloatTVListTest.java,0.0,False,True
265,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/query/udf/datastructure/SerializableRowRecordListTest.java,0.0,False,True
267,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/query/udf/datastructure/LRUCacheTest.java,0.0,False,False
270,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/query/udf/datastructure/SerializableDoubleTVListTest.java,0.0,False,True
287,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/engine/storagegroup/TsFileProcessorTest.java,0.0,False,False
303,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/engine/compaction/cross/RewriteCompactionFileSelectorTest.java,0.0,False,False
316,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/engine/compaction/inner/InnerCompactionTest.java,0.0,False,True
341,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/engine/cache/BloomFilterCacheTest.java,0.0,False,False
353,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,itbase/category/LocalStandaloneTest.java,0.0,False,True
386,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,jdbc/IoTDBPreparedStatementTest.java,0.0,False,True
392,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/persistence/partition/statistics/RegionStatisticsTest.java,0.0,False,True
394,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/persistence/PartitionInfoTest.java,0.0,False,False
399,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/persistence/NodeInfoTest.java,0.0,False,True
400,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/persistence/ClusterSchemaInfoTest.java,0.0,False,False
405,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/procedure/impl/OperatePipeProcedureTest.java,0.0,False,False
407,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/procedure/impl/statemachine/RegionMigrateProcedureTest.java,0.0,False,True
412,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/procedure/impl/DropTriggerProcedureTest.java,0.0,False,False
414,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/procedure/impl/node/AddConfigNodeProcedureTest.java,0.0,False,True
419,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/procedure/entity/TestProcedureFactory.java,0.0,False,True
421,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/procedure/TestProcedureExecutor.java,0.0,False,False
425,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/manager/partition/RegionGroupCacheTest.java,0.0,False,False
427,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,confignode/manager/load/balancer/region/GreedyRegionGroupAllocatorTest.java,0.0,False,False
442,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/file/metadata/TsFileMetadataTest.java,0.0,False,True
458,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/utils/TsFileUtilsTest.java,0.0,False,False
466,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/utils/TsPrimitiveTypeTest.java,0.0,False,True
479,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/read/ExpressionTest.java,0.0,False,True
483,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/read/query/executor/QueryExecutorTest.java,0.0,False,False
497,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/read/TimePlainEncodeReadTest.java,0.0,False,False
512,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/common/block/BinaryArrayColumnEncoderTest.java,0.0,False,False
513,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/common/conf/TSFileDescriptorTest.java,0.0,False,True
522,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/write/TsFileIOWriterTest.java,0.0,False,False
530,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/write/writer/AlignedChunkWriterImplTest.java,0.0,False,False
533,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/write/writer/PageWriterTest.java,0.0,False,False
545,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/encoding/decoder/delta/DeltaBinaryEncoderIntegerTest.java,0.0,False,False
552,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/encoding/decoder/IntZigzagDecoderTest.java,0.0,False,False
554,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,tsfile/encoding/decoder/GorillaDecoderV1Test.java,0.0,False,False
580,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,db/utils/OpenFileNumUtilTest.java,0.0,False,False
588,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,db/query/control/FileReaderManagerTest.java,0.0,False,False
592,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,db/query/reader/series/SeriesScanLimitOffsetPushDownTest.java,0.0,False,False
608,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,db/engine/modification/io/LocalTextModificationAccessorTest.java,0.0,False,False
615,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,db/engine/storagegroup/TsFileResourceTest.java,0.0,False,False
628,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,db/engine/compaction/TestUtilsForAlignedSeries.java,0.0,False,True
629,apache/iotdb,54819a1d0adfaaceeacfb3eae88da5414071dd3d,db/engine/compaction/cross/RewriteCrossSpaceCompactionWithReadPointPerformerTest.java,0.0,False,False
