,App,SHA,TestFilePath,InlineMethod,isInlineMethod,prediction
0,logic-ng/logicng,b20e782b8710b9d62dbd25110fbb6c545a673867,org/logicng/backbones/BackboneTest.java,0.0,False,False
2,logic-ng/logicng,b20e782b8710b9d62dbd25110fbb6c545a673867,org/logicng/collections/LNGBooleanVectorTest.java,0.0,False,False
9,logic-ng/logicng,b20e782b8710b9d62dbd25110fbb6c545a673867,org/logicng/collections/LNGVectorTest.java,0.0,False,False
17,logic-ng/logicng,b20e782b8710b9d62dbd25110fbb6c545a673867,org/logicng/explanations/UNSATCoreTest.java,0.0,False,False
35,logic-ng/logicng,b20e782b8710b9d62dbd25110fbb6c545a673867,org/logicng/graphs/algorithms/BronKerboschTest.java,0.0,False,False
36,logic-ng/logicng,b20e782b8710b9d62dbd25110fbb6c545a673867,org/logicng/graphs/datastructures/GraphTest.java,0.0,False,False
40,logic-ng/logicng,b20e782b8710b9d62dbd25110fbb6c545a673867,org/logicng/graphs/generators/ConstraintGraphGeneratorTest.java,0.0,False,False
46,logic-ng/logicng,b20e782b8710b9d62dbd25110fbb6c545a673867,org/logicng/handlers/TimeoutModelEnumerationHandlerTest.java,0.0,False,False
47,logic-ng/logicng,b20e782b8710b9d62dbd25110fbb6c545a673867,org/logicng/handlers/TimeoutOptimizationHandlerTest.java,0.0,False,False
48,logic-ng/logicng,b20e782b8710b9d62dbd25110fbb6c545a673867,org/logicng/handlers/TimeoutSATHandlerTest.java,0.0,False,False
54,logic-ng/logicng,b20e782b8710b9d62dbd25110fbb6c545a673867,org/logicng/io/graphical/GraphicalNodeTest.java,0.0,False,False
62,logic-ng/logicng,b20e782b8710b9d62dbd25110fbb6c545a673867,org/logicng/knowledgecompilation/bdds/BDDReorderingTest.java,0.0,False,True
67,logic-ng/logicng,b20e782b8710b9d62dbd25110fbb6c545a673867,org/logicng/knowledgecompilation/dnnf/DnnfCompilerTest.java,0.0,False,True
