,App,SHA,TestFilePath,EncapsulateAttribute,isEncapsulateAttribute,prediction
1,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,com/arangodb/ArangoCursorTest.java,0.0,False,True
5,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,com/arangodb/ArangoGraphTest.java,0.0,False,True
7,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,com/arangodb/ArangoVertexCollectionTest.java,0.0,False,True
21,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,com/arangodb/ArangoViewTest.java,0.0,False,True
24,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,com/arangodb/internal/HostHandlerTest.java,0.0,False,True
25,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,com/arangodb/util/UnicodeUtilsTest.java,0.0,False,False
39,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,com/arangodb/ArangoCollectionTest.java,2.0,True,True
43,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,com/arangodb/ArangoEdgeCollectionTest.java,0.0,False,True
68,arangodb/arangodb-java-driver,f7299792b8d04452038cf8ff5cbf771fa31d71b8,com/arangodb/ArangoDBTest.java,0.0,False,True
81,arangodb/arangodb-java-driver,f7299792b8d04452038cf8ff5cbf771fa31d71b8,com/arangodb/ArangoDBTest.java,0.0,False,True
112,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/unicode/UnicodeUtilsTest.java,0.0,False,False
116,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/ArangoEdgeCollectionTest.java,0.0,False,False
121,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/ArangoCursorTest.java,0.0,False,False
125,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/internal/velocystream/CommunicationTest.java,0.0,False,False
138,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/serde/CustomSerdeTest.java,0.0,False,False
139,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/serde/CustomTypeHintTest.java,0.0,False,False
149,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/util/MapBuilderTest.java,0.0,False,False
151,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/ConcurrencyTests.java,0.0,False,False
153,arangodb/arangodb-java-driver,b0dd98a45dbdfa9ec3ad8cd12cb2022ce06f0568,driver/src/test/java/com/arangodb/DocumentTest.java,0.0,False,False
166,arangodb/arangodb-java-driver,e60e1d4d919942776b1d2a04a3624d1228e0a65c,integration-tests/src/test/internal/java/arch/BaseTest.java,0.0,False,False
