App,SHA,Tag,TestFilePath,isRemoveClassAnnotation,prediction
zanata/zanata-platform,7d55399eec583aa0697b0bfff4e305bebe3a8dc4,"api-3.4.1, api-3.6.0",zanata-common-api.src.test.java.org.zanata.rest.dto.stats.contribution.ContributionStatisticsTest.java,False,False
zanata/zanata-platform,ae4368d4d59eb8de66c3059d182d94812658ea4e,"client-1.6.0, client-1.7.0",zanata-client-commands.src.test.java.org.zanata.client.commands.glossary.push.GlossaryPoReaderTest.java,False,False
zanata/zanata-platform,ae4368d4d59eb8de66c3059d182d94812658ea4e,"client-1.6.0, client-1.7.0",zanata-client-commands.src.test.java.org.zanata.client.commands.glossary.push.GlossaryCSVReaderTest.java,False,True
zanata/zanata-platform,d6712ba75d450564fed0b3a3d12ddf80bd80ac5b,"client-1.7.0, client-1.7.1",zanata-client-commands.src.test.java.org.zanata.client.commands.push.PushCommandTest.java,False,False
zanata/zanata-platform,f257b460a2cbe452efc63354a3600fca83f273e7,"client-1.7.4, client-1.7.5",zanata-client-commands.src.test.java.org.zanata.client.commands.push.PushCommandTest.java,False,False
zanata/zanata-platform,3cbd403819f9ec317702697af011a01b4e23bc67,"client-2.0.1, client-2.2.0",zanata-rest-client.src.test.java.org.zanata.rest.client.ApiKeyHeaderDecoratorTest.java,True,False
zanata/zanata-platform,3cbd403819f9ec317702697af011a01b4e23bc67,"client-2.0.1, client-2.2.0",zanata-client-commands.src.test.java.org.zanata.client.config.ZanataConfigTest.java,True,False
zanata/zanata-platform,3cbd403819f9ec317702697af011a01b4e23bc67,"client-2.0.1, client-2.2.0",zanata-client-commands.src.test.java.org.zanata.client.config.ConfigUtilTest.java,True,False
zanata/zanata-platform,3cbd403819f9ec317702697af011a01b4e23bc67,"client-2.0.1, client-2.2.0",zanata-client-commands.src.test.java.org.zanata.client.commands.push.PushCommandTest.java,True,False
zanata/zanata-platform,3cbd403819f9ec317702697af011a01b4e23bc67,"client-2.0.1, client-2.2.0",zanata-client-commands.src.test.java.org.zanata.client.commands.push.PublicanPushCommandTest.java,True,True
zanata/zanata-platform,3cbd403819f9ec317702697af011a01b4e23bc67,"client-2.0.1, client-2.2.0",zanata-client-commands.src.test.java.org.zanata.client.commands.pull.PublicanPullCommandTest.java,True,False
zanata/zanata-platform,3cbd403819f9ec317702697af011a01b4e23bc67,"client-2.0.1, client-2.2.0",zanata-cli.src.test.java.org.zanata.client.ZanataClientTest.java,False,True
zanata/zanata-platform,e1449cce337408562c53151eb25e3741902796c4,"client-3.0.1, client-3.1.0",zanata-cli.src.test.java.org.zanata.client.ZanataClientTest.java,False,False
zanata/zanata-platform,306e9c5fc806f824607c455d77fb487874999161,"client-3.1.2, client-3.2.0",zanata-client-commands.src.test.java.org.zanata.client.commands.push.PushCommandTest.java,False,True
zanata/zanata-platform,306e9c5fc806f824607c455d77fb487874999161,"client-3.1.2, client-3.2.0",zanata-cli.src.test.java.org.zanata.client.ZanataClientTest.java,False,False
zanata/zanata-platform,0056a34e5a1f44bdc67407d5bf80faccfca22ca2,"client-3.3.0, client-3.3.1",zanata-client-commands.src.test.java.org.zanata.client.commands.push.PublicanPushCommandTest.java,False,False
zanata/zanata-platform,a6eb5e9ead9f4603f3dabfc245ab1b0058ffaf23,"client-3.3.2, client-3.4.0",zanata-client-commands.src.test.java.org.zanata.client.commands.TransFileResolverTest.java,False,False
zanata/zanata-platform,a6eb5e9ead9f4603f3dabfc245ab1b0058ffaf23,"client-3.3.2, client-3.4.0",zanata-cli.src.test.java.org.zanata.client.ZanataClientTest.java,False,True
zanata/zanata-platform,fafe0608271613cb105ee70de9767ded59c19b60,"client-3.8.1, client-3.8.2",zanata-client-commands.src.test.java.org.zanata.client.commands.init.SourceConfigPromptTest.java,False,False
zanata/zanata-platform,9ebe7cd415e621f4390aae589d4cb9305f82494a,"client-3.8.3, client-3.8.4",zanata-rest-client.src.test.java.org.zanata.rest.client.InvalidContentTypeFilterTest.java,False,False
zanata/zanata-platform,8caee01e0f6488b3512a5714841434aee414b13e,"common-1.8.1, common-1.8.2",zanata-adapter-xliff.src.test.java.org.zanata.adapter.xliff.XliffReaderTest.java,False,False
zanata/zanata-platform,225f564a8cf459dce34191cc0a1c30d264aad6d3,"common-1.8.3, common-1.8.4",zanata-adapter-xliff.src.test.java.org.zanata.adapter.xliff.XliffReaderTest.java,False,False
zanata/zanata-platform,59ef5d815cd9f251f6afd62d971d48bea2d6ac96,"common-1.8.4, common-1.8.5",zanata-adapter-xliff.src.test.java.org.zanata.adapter.xliff.XliffWriterTest.java,False,False
zanata/zanata-platform,cce9ff6c9bca66c52668ef96445622b8c9536385,"common-2.1.1, common-2.2.0",zanata-adapter-properties.src.test.java.org.zanata.adapter.properties.PropReaderTest.java,False,False
zanata/zanata-platform,047225a5308cfe363868b6258f6d0a36b51324f1,"common-3.0.2, common-3.1.0",zanata-common-util.src.test.java.org.zanata.util.HashUtilTest.java,False,False
zanata/zanata-platform,047225a5308cfe363868b6258f6d0a36b51324f1,"common-3.0.2, common-3.1.0",zanata-adapter-xliff.src.test.java.org.zanata.adapter.xliff.XliffReaderTest.java,False,True
zanata/zanata-platform,047225a5308cfe363868b6258f6d0a36b51324f1,"common-3.0.2, common-3.1.0",zanata-adapter-glossary.src.test.java.org.zanata.adapter.glossary.GlossaryPoReaderTest.java,False,True
zanata/zanata-platform,a5091f38c10135ebb0b8dbed504436deae60ac04,"common-3.1.0, common-3.3.0",zanata-adapter-xliff.src.test.java.org.zanata.adapter.xliff.XliffReaderTest.java,True,True
zanata/zanata-platform,a5091f38c10135ebb0b8dbed504436deae60ac04,"common-3.1.0, common-3.3.0",zanata-adapter-po.src.test.java.org.zanata.adapter.po.PoReader2Test.java,True,True
zanata/zanata-platform,a5091f38c10135ebb0b8dbed504436deae60ac04,"common-3.1.0, common-3.3.0",zanata-common-util.src.test.java.org.zanata.util.PathUtilTest.java,True,False
zanata/zanata-platform,a5091f38c10135ebb0b8dbed504436deae60ac04,"common-3.1.0, common-3.3.0",zanata-common-util.src.test.java.org.zanata.common.util.ElementBuilderTest.java,False,True
zanata/zanata-platform,a5091f38c10135ebb0b8dbed504436deae60ac04,"common-3.1.0, common-3.3.0",zanata-common-util.src.test.java.org.zanata.common.util.ContentStateUtilTest.java,True,False
zanata/zanata-platform,a5091f38c10135ebb0b8dbed504436deae60ac04,"common-3.1.0, common-3.3.0",zanata-adapter-xliff.src.test.java.org.zanata.adapter.xliff.XliffWriterTest.java,True,True
zanata/zanata-platform,a5091f38c10135ebb0b8dbed504436deae60ac04,"common-3.1.0, common-3.3.0",zanata-adapter-properties.src.test.java.org.zanata.adapter.properties.PropReaderTest.java,False,True
zanata/zanata-platform,a5091f38c10135ebb0b8dbed504436deae60ac04,"common-3.1.0, common-3.3.0",zanata-adapter-glossary.src.test.java.org.zanata.adapter.glossary.GlossaryPoReaderTest.java,True,True
zanata/zanata-platform,a5091f38c10135ebb0b8dbed504436deae60ac04,"common-3.1.0, common-3.3.0",zanata-adapter-glossary.src.test.java.org.zanata.adapter.glossary.GlossaryCSVReaderTest.java,True,True
zanata/zanata-platform,70be376b53ad13226d35ce6297f5ef4f417274c1,"common-3.6.0, common-3.7.0",zanata-adapter-properties.src.test.java.org.zanata.adapter.properties.PropReaderTest.java,False,False
zanata/zanata-platform,06494f61671907ffb6171df550fbdb3e36603f74,"flies-1.0-alpha-1, flies-1.0",flies-clients.flies-client-commands.src.test.java.net.openl10n.flies.client.commands.PublicanPullCommandTest.java,False,True
zanata/zanata-platform,06494f61671907ffb6171df550fbdb3e36603f74,"flies-1.0-alpha-1, flies-1.0",flies-clients.flies-client-commands.src.test.java.net.openl10n.flies.client.commands.PublicanPushCommandTest.java,False,True
zanata/zanata-platform,06494f61671907ffb6171df550fbdb3e36603f74,"flies-1.0-alpha-1, flies-1.0",flies-war.src.test.java.net.openl10n.flies.service.impl.LocaleServiceImplTest.java,False,False
zanata/zanata-platform,06494f61671907ffb6171df550fbdb3e36603f74,"flies-1.0-alpha-1, flies-1.0",flies-war.src.test.java.net.openl10n.flies.rest.service.ResourceUtilsTest.java,False,False
zanata/zanata-platform,06494f61671907ffb6171df550fbdb3e36603f74,"flies-1.0-alpha-1, flies-1.0",flies-war.src.test.java.net.openl10n.flies.model.HTextFlowTargetHistoryTest.java,False,False
zanata/zanata-platform,06494f61671907ffb6171df550fbdb3e36603f74,"flies-1.0-alpha-1, flies-1.0",flies-war.src.test.java.net.openl10n.flies.model.HTextFlowHistoryTest.java,False,False
zanata/zanata-platform,06494f61671907ffb6171df550fbdb3e36603f74,"flies-1.0-alpha-1, flies-1.0",flies-war.src.test.java.net.openl10n.flies.model.HDocumentHistoryTest.java,False,False
zanata/zanata-platform,06494f61671907ffb6171df550fbdb3e36603f74,"flies-1.0-alpha-1, flies-1.0",flies-war.src.test.java.net.openl10n.flies.model.po.PoUtilityTest.java,False,True
zanata/zanata-platform,8def7d3aabba1c237cd7331e6f43c5225a6bf0dc,"flies-1.1-alpha-1, flies-1.1",flies-war.src.test.java.net.openl10n.flies.service.impl.LocaleServiceImplTest.java,False,False
zanata/zanata-platform,764536acfb5d9a1eb0debaea12446b8ec203cb7d,"platform-4.0.0, platform-4.1.0-rc-1",server.zanata-war.src.test.java.org.zanata.webtrans.server.rpc.SaveOptionsHandlerTest.java,True,False
zanata/zanata-platform,764536acfb5d9a1eb0debaea12446b8ec203cb7d,"platform-4.0.0, platform-4.1.0-rc-1",server.zanata-war.src.test.java.org.zanata.webtrans.server.rpc.GetTransUnitListHandlerTest.java,True,True
