,App,SHA,TestFilePath,MoveClass,isMoveClass,prediction
17,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,hadoop/tsfile/TSFHadoopTest.java,0.0,False,True
19,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,hadoop/tsfile/constant/TestConstant.java,0.0,False,True
23,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,hive/TsFileDeserializerTest.java,0.0,False,True
34,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,spark/it/AbstractTest.java,0.0,False,True
51,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,confignode/persistence/AuthorInfoTest.java,0.0,False,True
55,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,confignode/procedure/impl/DeactivateTemplateProcedureTest.java,0.0,False,True
72,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,confignode/procedure/impl/node/AddConfigNodeProcedureTest.java,0.0,False,True
76,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,confignode/procedure/env/TestProcEnv.java,0.0,False,True
109,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,tsfile/file/metadata/ChunkMetadataTest.java,0.0,False,True
116,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,tsfile/file/metadata/TimeseriesMetadataTest.java,0.0,False,True
140,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,tsfile/read/filter/StatisticsFilterTest.java,0.0,False,True
144,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,tsfile/read/TsFileReaderTest.java,0.0,False,False
156,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,tsfile/read/common/TimeRangeTest.java,0.0,False,True
161,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,tsfile/read/TimePlainEncodeReadTest.java,0.0,False,False
165,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,tsfile/read/reader/PageReaderTest.java,0.0,False,False
179,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,tsfile/write/MetadataIndexConstructorTest.java,0.0,False,False
183,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,tsfile/write/record/TabletTest.java,0.0,False,True
189,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,tsfile/write/TsFileWriteApiTest.java,0.0,False,False
206,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,tsfile/encoding/decoder/regular/RegularDataEncoderIntegerTest.java,0.0,False,False
208,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,tsfile/encoding/decoder/delta/DeltaBinaryEncoderLongTest.java,0.0,False,False
254,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/query/control/FileReaderManagerTest.java,0.0,False,False
255,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/query/control/QueryResourceManagerTest.java,0.0,False,True
256,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/query/reader/universal/PriorityMergeReaderTest.java,0.0,False,True
267,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/query/udf/datastructure/LRUCacheTest.java,0.0,False,False
271,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/query/udf/datastructure/SerializableBinaryTVListTest.java,0.0,False,True
282,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/engine/storagegroup/TimePartitionManagerTest.java,0.0,False,False
301,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/engine/compaction/cross/CrossSpaceCompactionWithFastPerformerTest.java,0.0,False,True
314,apache/iotdb,d0dfef047c912160a925061fc27284129bbcea78,db/engine/compaction/inner/FastCompactionPerformerAlignedTest.java,0.0,False,False
