,App,SHA,TestFilePath,SplitVariable,isSplitVariable,prediction
166,arangodb/arangodb-java-driver,e60e1d4d919942776b1d2a04a3624d1228e0a65c,integration-tests/src/test/internal/java/arch/BaseTest.java,0.0,False,True
167,arangodb/arangodb-java-driver,e60e1d4d919942776b1d2a04a3624d1228e0a65c,integration-tests/src/test/jsonb/java/arch/RelocationsTest.java,0.0,False,True
171,arangodb/arangodb-java-driver,e60e1d4d919942776b1d2a04a3624d1228e0a65c,integration-tests/src/test/jackson/java/arch/AdbTest.java,0.0,False,True
204,arangodb/arangodb-java-driver,e60e1d4d919942776b1d2a04a3624d1228e0a65c,driver/src/test/java/com/arangodb/ArangoGraphTest.java,0.0,False,True
209,arangodb/arangodb-java-driver,e60e1d4d919942776b1d2a04a3624d1228e0a65c,driver/src/test/java/com/arangodb/ParallelTest.java,0.0,False,True
215,arangodb/arangodb-java-driver,e60e1d4d919942776b1d2a04a3624d1228e0a65c,driver/src/test/java/com/arangodb/DocumentTest.java,0.0,False,True
216,arangodb/arangodb-java-driver,e60e1d4d919942776b1d2a04a3624d1228e0a65c,driver/src/test/java/com/arangodb/ArangoDBTest.java,0.0,False,True
225,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,resilience-tests/src/test/java/resilience/timeout/TimeoutTest.java,0.0,False,True
246,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,driver/src/test/java/com/arangodb/async/example/ssl/SslExampleTest.java,0.0,False,True
263,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,driver/src/test/java/com/arangodb/config/ConfigDefaultsTest.java,0.0,False,True
265,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,driver/src/test/java/com/arangodb/internal/velocystream/CommunicationTest.java,0.0,False,True
295,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,shaded-integration-tests/src/test/native/java/com/arangodb/async/ArangoDatabaseTest.java,0.0,False,True
332,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,shaded-integration-tests/src/test/native/java/com/arangodb/example/document/InsertDocumentExampleTest.java,0.0,False,True
337,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,shaded-integration-tests/src/test/native/java/com/arangodb/serde/SerdeTest.java,0.0,False,True
341,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,shaded-integration-tests/src/test/native/java/com/arangodb/ParallelTest.java,0.0,False,True
345,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,shaded-integration-tests/src/test/native/java/com/arangodb/ConcurrencyTests.java,0.0,False,True
347,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,shaded-integration-tests/src/test/internal/java/arch/RelocationsTest.java,0.0,False,True
348,arangodb/arangodb-java-driver,a79112790a31588bc390716617078b9466a757ef,shaded-integration-tests/src/test/internal/java/arch/AdbTest.java,0.0,False,True
356,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,resilience-tests/src/test/java/resilience/ActiveFailoverTest.java,0.0,False,True
358,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,resilience-tests/src/test/java/resilience/ClusterTest.java,0.0,False,True
385,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,driver/src/test/java/com/arangodb/async/example/ssl/SslExampleTest.java,0.0,False,True
388,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,driver/src/test/java/com/arangodb/async/serde/CustomSerdeTest.java,0.0,False,True
389,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,driver/src/test/java/com/arangodb/async/ArangoGraphTest.java,0.0,False,True
415,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,driver/src/test/java/com/arangodb/serde/SerdeTest.java,0.0,False,True
433,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,shaded-integration-tests/src/test/native/java/com/arangodb/async/example/graph/GraphTraversalsInAQLExampleTest.java,0.0,False,True
453,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,shaded-integration-tests/src/test/native/java/com/arangodb/async/CommunicationTest.java,0.0,False,True
458,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,shaded-integration-tests/src/test/native/java/com/arangodb/internal/velocystream/CommunicationTest.java,0.0,False,True
462,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,shaded-integration-tests/src/test/native/java/com/arangodb/example/graph/AQLActorsAndMoviesExampleTest.java,0.0,False,True
476,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,shaded-integration-tests/src/test/native/java/com/arangodb/StreamTransactionTest.java,0.0,False,True
500,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,driver/src/test/java/com/arangodb/async/InvertedIndexTest.java,0.0,False,True
503,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,driver/src/test/java/com/arangodb/async/ConcurrencyTest.java,0.0,False,True
514,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,driver/src/test/java/com/arangodb/async/example/document/GetDocumentExampleTest.java,0.0,False,True
515,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,driver/src/test/java/com/arangodb/async/example/document/InsertDocumentExampleTest.java,0.0,False,True
530,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,driver/src/test/java/com/arangodb/InvertedIndexTest.java,0.0,False,True
546,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,driver/src/test/java/com/arangodb/serde/CustomTypeHintTest.java,0.0,False,True
549,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,driver/src/test/java/com/arangodb/ArangoSslTest.java,0.0,False,True
551,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,driver/src/test/java/com/arangodb/ParallelTest.java,0.0,False,True
568,arangodb/arangodb-java-driver,bb1f272f9515e7564017b0a19c1419d30e07617a,integration-tests/src/test/internal/java/arch/BaseTest.java,0.0,False,True
569,arangodb/arangodb-java-driver,bb1f272f9515e7564017b0a19c1419d30e07617a,integration-tests/src/test/jsonb/java/arch/RelocationsTest.java,0.0,False,True
579,arangodb/arangodb-java-driver,bb1f272f9515e7564017b0a19c1419d30e07617a,driver/src/test/java/mp/ConfigMPTest.java,0.0,False,True
581,arangodb/arangodb-java-driver,bb1f272f9515e7564017b0a19c1419d30e07617a,driver/src/test/java/com/arangodb/ArangoEdgeCollectionTest.java,0.0,False,True
602,arangodb/arangodb-java-driver,bb1f272f9515e7564017b0a19c1419d30e07617a,driver/src/test/java/com/arangodb/ArangoCollectionTest.java,0.0,False,True
609,arangodb/arangodb-java-driver,bb1f272f9515e7564017b0a19c1419d30e07617a,driver/src/test/java/com/arangodb/StreamTransactionConflictsTest.java,0.0,False,True
613,arangodb/arangodb-java-driver,bb1f272f9515e7564017b0a19c1419d30e07617a,driver/src/test/java/com/arangodb/StreamTransactionTest.java,0.0,False,True
616,arangodb/arangodb-java-driver,bb1f272f9515e7564017b0a19c1419d30e07617a,driver/src/test/java/com/arangodb/ConcurrencyTests.java,0.0,False,True
631,arangodb/arangodb-java-driver,b608c9f8349a40e8e68d08cecf1ea908a290e4de,integration-tests/src/test/jsonb/java/arch/RelocationsTest.java,0.0,False,True
646,arangodb/arangodb-java-driver,b608c9f8349a40e8e68d08cecf1ea908a290e4de,driver/src/test/java/com/arangodb/UserAgentTest.java,0.0,False,True
651,arangodb/arangodb-java-driver,b608c9f8349a40e8e68d08cecf1ea908a290e4de,driver/src/test/java/com/arangodb/internal/QueueTimeMetricsImplTest.java,0.0,False,True
659,arangodb/arangodb-java-driver,b608c9f8349a40e8e68d08cecf1ea908a290e4de,driver/src/test/java/com/arangodb/example/document/TestEntity.java,0.0,False,True
663,arangodb/arangodb-java-driver,b608c9f8349a40e8e68d08cecf1ea908a290e4de,driver/src/test/java/com/arangodb/example/ssl/SslExampleTest.java,0.0,False,True
669,arangodb/arangodb-java-driver,b608c9f8349a40e8e68d08cecf1ea908a290e4de,driver/src/test/java/com/arangodb/JwtAuthTest.java,0.0,False,True
677,arangodb/arangodb-java-driver,b608c9f8349a40e8e68d08cecf1ea908a290e4de,driver/src/test/java/com/arangodb/util/TestUtils.java,0.0,False,True
684,arangodb/arangodb-java-driver,d0fa650542e20010c2d4020382240668eeb84182,resilience-tests/src/test/java/resilience/vstKeepAlive/VstKeepAliveCloseTest.java,0.0,False,True
695,arangodb/arangodb-java-driver,d0fa650542e20010c2d4020382240668eeb84182,integration-tests/src/test/jsonb/java/arch/BaseTest.java,0.0,False,True
714,arangodb/arangodb-java-driver,d0fa650542e20010c2d4020382240668eeb84182,driver/src/test/java/com/arangodb/internal/velocystream/CommunicationTest.java,0.0,False,True
718,arangodb/arangodb-java-driver,d0fa650542e20010c2d4020382240668eeb84182,driver/src/test/java/com/arangodb/example/graph/ShortestPathInAQLExampleTest.java,0.0,False,True
721,arangodb/arangodb-java-driver,d0fa650542e20010c2d4020382240668eeb84182,driver/src/test/java/com/arangodb/example/document/TestEntity.java,0.0,False,True
743,arangodb/arangodb-java-driver,baad63cb9c4c3b9f02c7552be3411f487150605d,resilience-tests/src/test/java/resilience/ActiveFailoverTest.java,0.0,False,True
744,arangodb/arangodb-java-driver,baad63cb9c4c3b9f02c7552be3411f487150605d,resilience-tests/src/test/java/resilience/SingleServerTest.java,0.0,False,True
747,arangodb/arangodb-java-driver,baad63cb9c4c3b9f02c7552be3411f487150605d,resilience-tests/src/test/java/resilience/connection/ConnectionTest.java,0.0,False,True
752,arangodb/arangodb-java-driver,baad63cb9c4c3b9f02c7552be3411f487150605d,integration-tests/src/test/internal/java/arch/RelocationsTest.java,0.0,False,True
758,arangodb/arangodb-java-driver,baad63cb9c4c3b9f02c7552be3411f487150605d,integration-tests/src/test/jackson/java/arch/RelocationsTest.java,0.0,False,True
774,arangodb/arangodb-java-driver,baad63cb9c4c3b9f02c7552be3411f487150605d,driver/src/test/java/com/arangodb/SerializableTest.java,0.0,False,True
781,arangodb/arangodb-java-driver,baad63cb9c4c3b9f02c7552be3411f487150605d,driver/src/test/java/com/arangodb/example/graph/AQLActorsAndMoviesExampleTest.java,0.0,False,True
785,arangodb/arangodb-java-driver,baad63cb9c4c3b9f02c7552be3411f487150605d,driver/src/test/java/com/arangodb/example/document/InsertDocumentExampleTest.java,0.0,False,True
789,arangodb/arangodb-java-driver,baad63cb9c4c3b9f02c7552be3411f487150605d,driver/src/test/java/com/arangodb/serde/CustomSerdeTest.java,0.0,False,True
792,arangodb/arangodb-java-driver,baad63cb9c4c3b9f02c7552be3411f487150605d,driver/src/test/java/com/arangodb/ArangoGraphTest.java,0.0,False,True
805,arangodb/arangodb-java-driver,27745fba11e47a89ea212d0567dad079630ea0fb,resilience-tests/src/test/java/resilience/ActiveFailoverTest.java,0.0,False,True
820,arangodb/arangodb-java-driver,27745fba11e47a89ea212d0567dad079630ea0fb,integration-tests/src/test/jackson/java/arch/RelocationsTest.java,0.0,False,True
821,arangodb/arangodb-java-driver,27745fba11e47a89ea212d0567dad079630ea0fb,integration-tests/src/test/jackson/java/arch/AdbTest.java,0.0,False,True
829,arangodb/arangodb-java-driver,27745fba11e47a89ea212d0567dad079630ea0fb,driver/src/test/java/com/arangodb/ArangoEdgeCollectionTest.java,0.0,False,True
838,arangodb/arangodb-java-driver,27745fba11e47a89ea212d0567dad079630ea0fb,driver/src/test/java/com/arangodb/internal/velocystream/CommunicationTest.java,0.0,False,True
840,arangodb/arangodb-java-driver,27745fba11e47a89ea212d0567dad079630ea0fb,driver/src/test/java/com/arangodb/StreamTransactionGraphTest.java,0.0,False,True
846,arangodb/arangodb-java-driver,27745fba11e47a89ea212d0567dad079630ea0fb,driver/src/test/java/com/arangodb/example/document/GetDocumentExampleTest.java,0.0,False,True
855,arangodb/arangodb-java-driver,27745fba11e47a89ea212d0567dad079630ea0fb,driver/src/test/java/com/arangodb/JwtAuthTest.java,0.0,False,True
856,arangodb/arangodb-java-driver,27745fba11e47a89ea212d0567dad079630ea0fb,driver/src/test/java/com/arangodb/ArangoSslTest.java,0.0,False,True
860,arangodb/arangodb-java-driver,27745fba11e47a89ea212d0567dad079630ea0fb,driver/src/test/java/com/arangodb/ArangoViewTest.java,0.0,False,True
862,arangodb/arangodb-java-driver,27745fba11e47a89ea212d0567dad079630ea0fb,driver/src/test/java/com/arangodb/util/MapBuilderTest.java,0.0,False,True
866,arangodb/arangodb-java-driver,27745fba11e47a89ea212d0567dad079630ea0fb,driver/src/test/java/com/arangodb/ArangoDBTest.java,0.0,False,True
867,arangodb/arangodb-java-driver,b6b54bd5f54d4a60110f0dfc5d6992c860a9caa3,resilience-tests/src/test/java/resilience/ActiveFailoverTest.java,0.0,False,True
878,arangodb/arangodb-java-driver,b6b54bd5f54d4a60110f0dfc5d6992c860a9caa3,integration-tests/src/test/internal/java/arch/BaseTest.java,0.0,False,True
883,arangodb/arangodb-java-driver,b6b54bd5f54d4a60110f0dfc5d6992c860a9caa3,integration-tests/src/test/jackson/java/arch/AdbTest.java,0.0,False,True
887,arangodb/arangodb-java-driver,b6b54bd5f54d4a60110f0dfc5d6992c860a9caa3,driver/src/test/java/unicode/UnicodeUtilsTest.java,0.0,False,True
893,arangodb/arangodb-java-driver,b6b54bd5f54d4a60110f0dfc5d6992c860a9caa3,driver/src/test/java/com/arangodb/ArangoDocumentUtilTest.java,0.0,False,True
901,arangodb/arangodb-java-driver,b6b54bd5f54d4a60110f0dfc5d6992c860a9caa3,driver/src/test/java/com/arangodb/internal/HostHandlerTest.java,0.0,False,True
908,arangodb/arangodb-java-driver,b6b54bd5f54d4a60110f0dfc5d6992c860a9caa3,driver/src/test/java/com/arangodb/example/document/GetDocumentExampleTest.java,0.0,False,True
934,arangodb/arangodb-java-driver,c200f9f78947358ec3bb150e76e56794c3ac952b,resilience-tests/src/test/java/resilience/retry/RetryTest.java,0.0,False,True
939,arangodb/arangodb-java-driver,c200f9f78947358ec3bb150e76e56794c3ac952b,integration-tests/src/test/internal/java/arch/AdbTest.java,0.0,False,True
941,arangodb/arangodb-java-driver,c200f9f78947358ec3bb150e76e56794c3ac952b,integration-tests/src/test/jsonb/java/arch/RelocationsTest.java,0.0,False,True
956,arangodb/arangodb-java-driver,c200f9f78947358ec3bb150e76e56794c3ac952b,driver/src/test/java/com/arangodb/UserAgentTest.java,0.0,False,True
958,arangodb/arangodb-java-driver,c200f9f78947358ec3bb150e76e56794c3ac952b,driver/src/test/java/com/arangodb/ArangoCursorTest.java,0.0,False,True
962,arangodb/arangodb-java-driver,c200f9f78947358ec3bb150e76e56794c3ac952b,driver/src/test/java/com/arangodb/internal/velocystream/CommunicationTest.java,0.0,False,True
985,arangodb/arangodb-java-driver,c200f9f78947358ec3bb150e76e56794c3ac952b,driver/src/test/java/com/arangodb/StreamTransactionTest.java,0.0,False,True
1018,arangodb/arangodb-java-driver,6c642c0435406263803eae43bf1e9e779a6483a3,driver/src/test/java/com/arangodb/UserAgentTest.java,0.0,False,True
1020,arangodb/arangodb-java-driver,6c642c0435406263803eae43bf1e9e779a6483a3,driver/src/test/java/com/arangodb/ArangoCursorTest.java,0.0,False,True
1029,arangodb/arangodb-java-driver,6c642c0435406263803eae43bf1e9e779a6483a3,driver/src/test/java/com/arangodb/example/graph/AQLActorsAndMoviesExampleTest.java,0.0,False,True
1040,arangodb/arangodb-java-driver,6c642c0435406263803eae43bf1e9e779a6483a3,driver/src/test/java/com/arangodb/ArangoGraphTest.java,0.0,False,True
1049,arangodb/arangodb-java-driver,6c642c0435406263803eae43bf1e9e779a6483a3,driver/src/test/java/com/arangodb/util/TestUtils.java,0.0,False,True
1050,arangodb/arangodb-java-driver,6c642c0435406263803eae43bf1e9e779a6483a3,driver/src/test/java/com/arangodb/ConcurrencyTests.java,0.0,False,True
1063,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,driver/src/test/java/perf/SimpleSyncPerfTest.java,0.0,False,True
1065,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,driver/src/test/java/com/arangodb/async/InvertedIndexTest.java,0.0,False,True
1076,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,driver/src/test/java/com/arangodb/async/example/graph/BaseGraphTest.java,0.0,False,True
1085,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,driver/src/test/java/com/arangodb/async/serde/CustomSerdeTest.java,0.0,False,True
1102,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,driver/src/test/java/com/arangodb/StreamTransactionGraphTest.java,0.0,False,True
1104,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,driver/src/test/java/com/arangodb/example/graph/ShortestPathInAQLExampleTest.java,0.0,False,True
1135,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,shaded-integration-tests/src/test/native/java/com/arangodb/async/example/graph/ShortestPathInAQLExampleTest.java,0.0,False,True
1138,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,shaded-integration-tests/src/test/native/java/com/arangodb/async/example/document/ImportDocumentExampleTest.java,0.0,False,True
1139,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,shaded-integration-tests/src/test/native/java/com/arangodb/async/example/document/TestEntity.java,0.0,False,True
1141,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,shaded-integration-tests/src/test/native/java/com/arangodb/async/example/document/InsertDocumentExampleTest.java,0.0,False,True
1153,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,shaded-integration-tests/src/test/native/java/com/arangodb/async/ConcurrencyTests.java,0.0,False,True
1155,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,shaded-integration-tests/src/test/native/java/com/arangodb/async/ArangoDBTest.java,0.0,False,True
1159,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,shaded-integration-tests/src/test/native/java/com/arangodb/SerializableTest.java,0.0,False,True
1177,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,shaded-integration-tests/src/test/native/java/com/arangodb/ParallelTest.java,0.0,False,True
1190,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,shaded-integration-tests/src/test/jackson/java/arch/AdbTest.java,0.0,False,True
1193,arangodb/arangodb-java-driver,f55e2b164277e4525e7da2f6f50da3f7b9c67029,src/test/java/perf/SyncBenchmarkTest.java,0.0,False,True
1194,arangodb/arangodb-java-driver,f55e2b164277e4525e7da2f6f50da3f7b9c67029,src/test/java/com/arangodb/async/InvertedIndexTest.java,0.0,False,True
1200,arangodb/arangodb-java-driver,f55e2b164277e4525e7da2f6f50da3f7b9c67029,src/test/java/com/arangodb/async/ArangoDatabaseTest.java,0.0,False,True
1204,arangodb/arangodb-java-driver,f55e2b164277e4525e7da2f6f50da3f7b9c67029,src/test/java/com/arangodb/async/example/graph/GraphTraversalsInAQLExampleTest.java,0.0,False,True
1212,arangodb/arangodb-java-driver,f55e2b164277e4525e7da2f6f50da3f7b9c67029,src/test/java/com/arangodb/async/example/document/AqlQueryWithSpecialReturnTypesExampleTest.java,0.0,False,True
1237,arangodb/arangodb-java-driver,f55e2b164277e4525e7da2f6f50da3f7b9c67029,src/test/java/com/arangodb/internal/QueueTimeMetricsImplTest.java,0.0,False,True
1244,arangodb/arangodb-java-driver,f55e2b164277e4525e7da2f6f50da3f7b9c67029,src/test/java/com/arangodb/example/graph/ShortestPathInAQLExampleTest.java,0.0,False,True
1245,arangodb/arangodb-java-driver,f55e2b164277e4525e7da2f6f50da3f7b9c67029,src/test/java/com/arangodb/example/graph/AQLActorsAndMoviesExampleTest.java,0.0,False,True
1251,arangodb/arangodb-java-driver,f55e2b164277e4525e7da2f6f50da3f7b9c67029,src/test/java/com/arangodb/example/ssl/SslExampleTest.java,0.0,False,True
1253,arangodb/arangodb-java-driver,f55e2b164277e4525e7da2f6f50da3f7b9c67029,src/test/java/com/arangodb/serde/CustomSerdeTest.java,0.0,False,True
1280,arangodb/arangodb-java-driver,0d1d159eb7910ae2dd07f4c17043245ebeea8e7c,src/test/java/com/arangodb/async/ArangoSearchTest.java,0.0,False,True
1282,arangodb/arangodb-java-driver,0d1d159eb7910ae2dd07f4c17043245ebeea8e7c,src/test/java/com/arangodb/async/example/velocypack/VPackExampleTest.java,0.0,False,True
1283,arangodb/arangodb-java-driver,0d1d159eb7910ae2dd07f4c17043245ebeea8e7c,src/test/java/com/arangodb/async/example/graph/GraphTraversalsInAQLExampleTest.java,0.0,False,True
1286,arangodb/arangodb-java-driver,0d1d159eb7910ae2dd07f4c17043245ebeea8e7c,src/test/java/com/arangodb/async/example/graph/BaseGraphTest.java,0.0,False,True
1296,arangodb/arangodb-java-driver,0d1d159eb7910ae2dd07f4c17043245ebeea8e7c,src/test/java/com/arangodb/async/ArangoGraphTest.java,0.0,False,True
1305,arangodb/arangodb-java-driver,0d1d159eb7910ae2dd07f4c17043245ebeea8e7c,src/test/java/com/arangodb/InvertedIndexTest.java,0.0,False,True
1317,arangodb/arangodb-java-driver,0d1d159eb7910ae2dd07f4c17043245ebeea8e7c,src/test/java/com/arangodb/internal/velocystream/CommunicationTest.java,0.0,False,True
1325,arangodb/arangodb-java-driver,0d1d159eb7910ae2dd07f4c17043245ebeea8e7c,src/test/java/com/arangodb/example/graph/BaseGraphTest.java,0.0,False,True
1329,arangodb/arangodb-java-driver,0d1d159eb7910ae2dd07f4c17043245ebeea8e7c,src/test/java/com/arangodb/example/document/AqlQueryWithSpecialReturnTypesExampleTest.java,0.0,False,True
1330,arangodb/arangodb-java-driver,0d1d159eb7910ae2dd07f4c17043245ebeea8e7c,src/test/java/com/arangodb/example/ssl/SslExampleTest.java,0.0,False,True
1333,arangodb/arangodb-java-driver,0d1d159eb7910ae2dd07f4c17043245ebeea8e7c,src/test/java/com/arangodb/serde/CustomTypeHintTest.java,0.0,False,True
1335,arangodb/arangodb-java-driver,0d1d159eb7910ae2dd07f4c17043245ebeea8e7c,src/test/java/com/arangodb/JwtAuthTest.java,0.0,False,True
1341,arangodb/arangodb-java-driver,0d1d159eb7910ae2dd07f4c17043245ebeea8e7c,src/test/java/com/arangodb/StreamTransactionTest.java,0.0,False,True
1365,arangodb/arangodb-java-driver,d95109b03863df73c2141e545ba7f4944c99dc9e,src/test/java/com/arangodb/async/example/graph/BaseGraphTest.java,0.0,False,True
1367,arangodb/arangodb-java-driver,d95109b03863df73c2141e545ba7f4944c99dc9e,src/test/java/com/arangodb/async/example/document/TestEntity.java,0.0,False,True
1374,arangodb/arangodb-java-driver,d95109b03863df73c2141e545ba7f4944c99dc9e,src/test/java/com/arangodb/async/serde/CustomSerdeTest.java,0.0,False,True
1394,arangodb/arangodb-java-driver,d95109b03863df73c2141e545ba7f4944c99dc9e,src/test/java/com/arangodb/internal/velocypack/VPackSerializersTest.java,0.0,False,True
1412,arangodb/arangodb-java-driver,d95109b03863df73c2141e545ba7f4944c99dc9e,src/test/java/com/arangodb/serde/CustomTypeHintTest.java,0.0,False,True
1413,arangodb/arangodb-java-driver,d95109b03863df73c2141e545ba7f4944c99dc9e,src/test/java/com/arangodb/ArangoGraphTest.java,0.0,False,True
1417,arangodb/arangodb-java-driver,d95109b03863df73c2141e545ba7f4944c99dc9e,src/test/java/com/arangodb/ArangoVertexCollectionTest.java,0.0,False,True
1423,arangodb/arangodb-java-driver,d95109b03863df73c2141e545ba7f4944c99dc9e,src/test/java/com/arangodb/util/UnicodeUtilsTest.java,0.0,False,True
1442,arangodb/arangodb-java-driver,08f31ed7a49b6b0a9d137662cb3bc14694da7af4,src/test/java/com/arangodb/async/example/graph/AQLActorsAndMoviesExampleTest.java,0.0,False,True
1448,arangodb/arangodb-java-driver,08f31ed7a49b6b0a9d137662cb3bc14694da7af4,src/test/java/com/arangodb/async/example/document/AqlQueryWithSpecialReturnTypesExampleTest.java,0.0,False,True
