,App,SHA,TestFilePath,RemoveClassAnnotation,isRemoveClassAnnotation,prediction
9,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/pitt/dbmi/data/reader/tabular/VerticalDiscreteTabularDatasetFileReaderTest.java,0.0,False,False
19,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestGrasp.java,0.0,False,False
22,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestPcMb.java,0.0,False,False
32,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestDiscreteProbs.java,0.0,False,False
46,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/LoadContinuousDataAndSingleGraph.java,0.0,False,True
71,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestSemEstimator.java,0.0,False,False
81,cmu-phil/tetrad,fc327a01b68937e9a8467274c08cf762ea9f9697,edu/cmu/tetrad/test/TestMatrix.java,0.0,False,False
105,cmu-phil/tetrad,36dd1d270b1f550b4ba297de5757a73f86dd4636,edu/pitt/dbmi/data/reader/validation/covariance/LowerCovarianceDataFileValidationTest.java,0.0,False,False
112,cmu-phil/tetrad,36dd1d270b1f550b4ba297de5757a73f86dd4636,edu/cmu/tetrad/test/TestFas.java,0.0,False,False
116,cmu-phil/tetrad,36dd1d270b1f550b4ba297de5757a73f86dd4636,edu/cmu/tetrad/test/TestPcd.java,0.0,False,False
118,cmu-phil/tetrad,36dd1d270b1f550b4ba297de5757a73f86dd4636,edu/cmu/tetrad/test/TestFci.java,0.0,False,False
120,cmu-phil/tetrad,36dd1d270b1f550b4ba297de5757a73f86dd4636,edu/cmu/tetrad/algcomparison/TimeoutComparisonTest.java,0.0,False,True
127,cmu-phil/tetrad,36dd1d270b1f550b4ba297de5757a73f86dd4636,edu/cmu/tetrad/test/TestDiscreteProbs.java,0.0,False,False
139,cmu-phil/tetrad,36dd1d270b1f550b4ba297de5757a73f86dd4636,edu/cmu/tetrad/test/TestHistogram.java,0.0,False,False
150,cmu-phil/tetrad,36dd1d270b1f550b4ba297de5757a73f86dd4636,edu/cmu/tetrad/test/TestRegression.java,0.0,False,False
155,cmu-phil/tetrad,36dd1d270b1f550b4ba297de5757a73f86dd4636,edu/cmu/tetrad/test/TestGFci.java,0.0,False,False
178,cmu-phil/tetrad,36dd1d270b1f550b4ba297de5757a73f86dd4636,edu/cmu/tetrad/test/TestCombinationGenerator.java,0.0,False,False
191,cmu-phil/tetrad,1770bd7925d66cae5e16d67ef1f6bf6e9217f30b,edu/pitt/dbmi/data/reader/covariance/LowerCovarianceDataFileReaderTest.java,0.0,False,False
206,cmu-phil/tetrad,1770bd7925d66cae5e16d67ef1f6bf6e9217f30b,edu/cmu/tetrad/test/TestCpc.java,0.0,False,False
209,cmu-phil/tetrad,1770bd7925d66cae5e16d67ef1f6bf6e9217f30b,edu/cmu/tetrad/test/TestGrasp.java,0.0,False,False
214,cmu-phil/tetrad,1770bd7925d66cae5e16d67ef1f6bf6e9217f30b,edu/cmu/tetrad/test/TestRfciBsc.java,0.0,False,False
216,cmu-phil/tetrad,1770bd7925d66cae5e16d67ef1f6bf6e9217f30b,edu/cmu/tetrad/test/TestConditionalGaussianSimulation.java,0.0,False,True
231,cmu-phil/tetrad,1770bd7925d66cae5e16d67ef1f6bf6e9217f30b,edu/cmu/tetrad/test/TestCovarianceMatrix.java,0.0,False,False
233,cmu-phil/tetrad,1770bd7925d66cae5e16d67ef1f6bf6e9217f30b,edu/cmu/tetrad/test/TestDiscretizer.java,0.0,False,False
