,App,SHA,TestFilePath,ExtractClass,isExtractClass,prediction
2,codestory/fluent-http,28da27e23e36fb2fc05218e8a1b15749569c9bfd,net/codestory/http/compilers/CoffeeCompilerTest.java,0.0,False,True
23,codestory/fluent-http,28da27e23e36fb2fc05218e8a1b15749569c9bfd,net/codestory/http/markdown/FormulaPluginTest.java,0.0,False,False
32,codestory/fluent-http,28da27e23e36fb2fc05218e8a1b15749569c9bfd,net/codestory/http/misc/UrlConcatTest.java,0.0,False,True
41,codestory/fluent-http,28da27e23e36fb2fc05218e8a1b15749569c9bfd,net/codestory/http/routes/RouteCollectionTest.java,0.0,False,True
48,codestory/fluent-http,28da27e23e36fb2fc05218e8a1b15749569c9bfd,net/codestory/http/templating/ViewCompilerTest.java,0.0,False,True
58,codestory/fluent-http,9c8e3c7efef63780774d529fe21487a24e408701,net/codestory/http/compilers/CompilersTest.java,0.0,False,True
72,codestory/fluent-http,9c8e3c7efef63780774d529fe21487a24e408701,net/codestory/http/internal/SimpleCookiesTest.java,0.0,False,True
79,codestory/fluent-http,9c8e3c7efef63780774d529fe21487a24e408701,net/codestory/http/markdown/TablePluginTest.java,0.0,False,False
94,codestory/fluent-http,9c8e3c7efef63780774d529fe21487a24e408701,net/codestory/http/routes/ReflectionRouteTest.java,0.0,False,False
105,codestory/fluent-http,9c8e3c7efef63780774d529fe21487a24e408701,net/codestory/http/templating/helpers/WebjarHelperSourceTest.java,0.0,False,True
111,codestory/fluent-http,de24040c41685d83a75c17d9edd3825189fc6c36,net/codestory/http/compilers/CoffeeSourceMapCompilerTest.java,0.0,False,False
118,codestory/fluent-http,de24040c41685d83a75c17d9edd3825189fc6c36,net/codestory/http/filters/auth/AuthDataTest.java,0.0,False,False
128,codestory/fluent-http,de24040c41685d83a75c17d9edd3825189fc6c36,net/codestory/http/io/ClasspathScannerTest.java,0.0,False,True
131,codestory/fluent-http,de24040c41685d83a75c17d9edd3825189fc6c36,net/codestory/http/markdown/FormulaPluginTest.java,0.0,False,False
161,codestory/fluent-http,de24040c41685d83a75c17d9edd3825189fc6c36,net/codestory/http/types/ContentTypesTest.java,0.0,False,True
166,codestory/fluent-http,f07080fab068582cf80a595d2c740836f14b8ed2,net/codestory/http/compilers/CompilersTest.java,0.0,False,True
168,codestory/fluent-http,f07080fab068582cf80a595d2c740836f14b8ed2,net/codestory/http/convert/TypeConvertTest.java,0.0,False,True
195,codestory/fluent-http,f07080fab068582cf80a595d2c740836f14b8ed2,net/codestory/http/misc/WebJarUrlFinderTest.java,0.0,False,True
204,codestory/fluent-http,f07080fab068582cf80a595d2c740836f14b8ed2,net/codestory/http/routes/RoutesWithPatternTest.java,0.0,False,False
213,codestory/fluent-http,f07080fab068582cf80a595d2c740836f14b8ed2,net/codestory/http/templating/helpers/WebjarHelperSourceTest.java,0.0,False,False
225,codestory/fluent-http,517f42f3eefe6a2e9dac2a7c2bb08861eb68b4de,net/codestory/http/errors/HttpExceptionTest.java,0.0,False,True
