,App,SHA,TestFilePath,EncapsulateAttribute,isEncapsulateAttribute,prediction
0,opencb/opencga,1319dca78325329eff09996d47169d24be609317,org/opencb/opencga/analysis/clinical/ClinicalUtilsTest.java,0.0,False,True
6,opencb/opencga,1319dca78325329eff09996d47169d24be609317,org/opencb/opencga/analysis/rga/RgaQueryParserTest.java,0.0,False,True
17,opencb/opencga,1319dca78325329eff09996d47169d24be609317,org/opencb/opencga/analysis/variant/samples/VariantQueryOptimizerTest.java,0.0,False,True
18,opencb/opencga,1319dca78325329eff09996d47169d24be609317,org/opencb/opencga/app/cli/analysis/VariantQueryCommandUtilsTest.java,0.0,False,True
24,opencb/opencga,1319dca78325329eff09996d47169d24be609317,org/opencb/opencga/catalog/db/mongodb/AuthorizationMongoDBAdaptorTest.java,0.0,False,True
28,opencb/opencga,1319dca78325329eff09996d47169d24be609317,org/opencb/opencga/catalog/db/mongodb/MetaMongoDBAdaptorTest.java,0.0,False,False
69,opencb/opencga,1319dca78325329eff09996d47169d24be609317,org/opencb/opencga/client/rest/UserClientTest.java,0.0,False,True
76,opencb/opencga,1319dca78325329eff09996d47169d24be609317,org/opencb/opencga/core/config/storage/IndexFieldConfigurationTest.java,0.0,False,True
80,opencb/opencga,1319dca78325329eff09996d47169d24be609317,org/opencb/opencga/master/monitor/executors/K8SExecutorTest.java,0.0,False,True
81,opencb/opencga,1319dca78325329eff09996d47169d24be609317,org/opencb/opencga/master/monitor/executors/LocalExecutorTest.java,0.0,False,True
84,opencb/opencga,1319dca78325329eff09996d47169d24be609317,org/opencb/opencga/server/generator/writers/ParentClientRestApiWriterTest.java,0.0,False,True
97,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/analysis/clinical/exomiser/ExomiserInterpretationAnalysisTest.java,0.0,False,True
104,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/analysis/tools/ToolExecutorFactoryTest.java,0.0,False,True
106,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/analysis/variant/CatalogUtilsTest.java,0.0,False,False
114,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/app/cli/analysis/VariantQueryCommandUtilsTest.java,0.0,False,True
115,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/app/cli/analysis/InternalMainTest.java,0.0,False,True
121,opencb/opencga,026500f25a9c59c1bac60d1be8f1912e0d319ebc,org/opencb/opencga/catalog/db/mongodb/FileMongoDBAdaptorTest.java,0.0,False,True
