App,SHA,Tag,TestFilePath,isInlineVariable,prediction
karakun/OpenWebStart,a89d65c3224e251bafdb570087c0d89961bf627e,"v0.3.2, v0.4.0",openwebstart.src.test.java.com.openwebstart.jvm.RemoteRuntimeManagerTest.java,False,True
karakun/OpenWebStart,a89d65c3224e251bafdb570087c0d89961bf627e,"v0.3.2, v0.4.0",openwebstart.src.test.java.com.openwebstart.jvm.LocalRuntimeManagerTest.java,False,False
karakun/OpenWebStart,792365ca640a99fc42a0badf039ea9ee3716af8b,"v1.0.0, v1.1.0",openwebstart.src.test.java.com.openwebstart.proxy.util.CidrUtilsTest.java,False,False
karakun/OpenWebStart,196ef1989ca7f02b542d0192a92463095d58cce9,"v1.1.0, v1.1.1",openwebstart.src.test.java.com.openwebstart.jvm.LocalRuntimeManagerTest.java,False,False
karakun/OpenWebStart,14e551c703bd68ed646e68b2b47d90ee90d2c8ab,"v1.1.1, v1.1.2",openwebstart.src.test.java.com.openwebstart.proxy.windows.WindowsProxyUtilsTest.java,False,True
karakun/OpenWebStart,14e551c703bd68ed646e68b2b47d90ee90d2c8ab,"v1.1.1, v1.1.2",openwebstart.src.test.java.com.openwebstart.proxy.pac.PacFileEvaluatorTest.java,False,False
karakun/OpenWebStart,7878bcda4f7c71b542e85d59e41e9d5ee9eb8075,"v1.1.6, v1.1.7",openwebstart.src.test.java.com.openwebstart.util.ExtractUtilTest.java,False,False
karakun/OpenWebStart,25accfdc6bbd57e6cd3aaae2b9069febb4aa05d8,"v1.1.8, v1.2.0",openwebstart.src.test.java.com.openwebstart.os.mac.AppFactoryTest.java,False,False
karakun/OpenWebStart,9350bed8c9dd84169ba361f0382002a53e107c99,"v1.2.2, v1.3.0",openwebstart.src.test.java.com.openwebstart.jvm.json.JsonHandlerTest.java,False,False
karakun/OpenWebStart,61cd5bf9d36962d02e37fd61fc468f3d293d2eaa,"v1.4.0, v1.5.0",openwebstart.src.test.java.com.openwebstart.jvm.RemoteRuntimeManagerTest.java,False,False
