,App,SHA,TestFilePath,ReplaceConditionalByParameterizedTest,isReplaceConditionalByParameterizedTest,prediction
2,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/api/alternative/CeoCompensationTest.java,0.0,False,True
12,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/api/datapoint/FieldMetadataTest.java,0.0,False,False
21,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/api/marketdata/AuctionTest.java,0.0,False,True
33,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/api/marketdata/TradeTest.java,0.0,False,True
36,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/api/refdata/ExchangeSymbolTest.java,0.0,False,True
47,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/api/refdata/v1/SectorTest.java,0.0,False,False
48,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/api/refdata/v1/SymbolTest.java,0.0,False,True
63,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/api/stocks/CompanyTest.java,0.0,False,True
71,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/api/stocks/IpoTest.java,0.0,False,True
72,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/api/stocks/IposTest.java,0.0,False,True
89,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/api/stocks/TodayEarningsTest.java,0.0,False,True
131,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/mapper/DeepChannelSerializerTest.java,0.0,False,True
164,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/mapper/SymbolTypeSerializerTest.java,0.0,False,True
181,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/rest/request/account/UsageRequestBuilderTest.java,0.0,False,True
187,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/rest/request/alternative/SentimentRequestBuilderTest.java,0.0,False,True
201,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/rest/request/marketdata/BookRequestBuilderTest.java,0.0,False,True
204,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/rest/request/marketdata/LastTradeRequestBuilderTest.java,0.0,False,True
205,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/rest/request/marketdata/OfficialPriceRequestBuilderTest.java,0.0,False,True
207,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/rest/request/marketdata/SecurityEventRequestBuilderTest.java,0.0,False,True
214,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/rest/request/options/OptionsRequestBuilderTest.java,0.0,False,True
215,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/rest/request/refdata/AbstractDailyListRequestBuilderTest.java,0.0,False,True
217,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/rest/request/refdata/IEXDividendsRequestBuilderTest.java,0.0,False,True
222,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/rest/request/refdata/v1/ExchangeSymbolsRequestBuilderTest.java,0.0,False,True
223,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/rest/request/refdata/v1/FxSymbolRequestBuilderTest.java,0.0,False,True
235,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/rest/request/refdata/v1/UsHolidayAndTradingDateRequestBuilderTest.java,0.0,False,True
270,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/rest/request/stocks/v1/DividendsRequestBuilderTest.java,0.0,False,True
280,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/rest/request/stocks/v1/KeyStatsRequestBuilderTest.java,0.0,False,True
282,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/rest/request/stocks/v1/PreviousMarketRequestBuilderTest.java,0.0,False,True
284,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/rest/request/stocks/v1/PriceTargetRequestBuilderTest.java,0.0,False,True
308,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/socket/request/marketdata/deep/DeepAsyncRequestTest.java,0.0,False,True
311,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/sse/endpoint/GenericSseEndpointTest.java,0.0,False,True
317,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/sse/request/alternative/CryptoBookSseRequestBuilderTest.java,0.0,False,True
318,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/sse/request/alternative/CryptoEventSseRequestBuilderTest.java,0.0,False,True
323,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/sse/request/marketdata/BookSseRequestBuilderTest.java,0.0,False,True
324,wojciechzankowski/iextrading4j,25b8d312fea1bb07dae2ecb63b8fcc78cd1a32ed,pl/zankowski/iextrading4j/client/sse/request/marketdata/DeepSseRequestBuilderTest.java,0.0,False,True
338,wojciechzankowski/iextrading4j,f1ab9a1bdf6c0c8852fcd7784fc8954decad8f31,pl/zankowski/iextrading4j/api/alternative/CeoCompensationTest.java,0.0,False,True
342,wojciechzankowski/iextrading4j,f1ab9a1bdf6c0c8852fcd7784fc8954decad8f31,pl/zankowski/iextrading4j/api/alternative/SentimentTest.java,0.0,False,True
363,wojciechzankowski/iextrading4j,f1ab9a1bdf6c0c8852fcd7784fc8954decad8f31,pl/zankowski/iextrading4j/api/marketdata/OfficialPriceTest.java,0.0,False,True
364,wojciechzankowski/iextrading4j,f1ab9a1bdf6c0c8852fcd7784fc8954decad8f31,pl/zankowski/iextrading4j/api/marketdata/OpHaltStatusTest.java,0.0,False,True
378,wojciechzankowski/iextrading4j,f1ab9a1bdf6c0c8852fcd7784fc8954decad8f31,pl/zankowski/iextrading4j/api/refdata/v1/ExchangeTest.java,0.0,False,True
