App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isRefactored
walmartlabs/concord,c36b460589240c1edcfbf0b1997070238f3cbc59,"0.1.0, 0.2.0",plugins.formats.yaml2.src.test.java.com.walmartlabs.concord.plugins.yaml2.YamlParserTest.java,29,2,0,0,0,0,25,25,0,0,0,0,0,0,0.0,23.0,1,0,0,0,25,0,418,31,88,293,18,0.04,28,28,28,1,1,0,100.0,29,29,29,1,1,1,True
walmartlabs/concord,acad65ac925deb12ca8d7c34575c75ceb7a38b9d,"0.3.0, 0.3.1",server.impl.src.test.java.com.walmartlabs.concord.server.project.ProjectConfigurationDaoTest.java,3,1,1,0,0,0,3,0,0,0,0,0,0,0,3.0,8.0,0,0,0,0,3,0,53,3,8,31,7,0.13,1,1,1,1,1,0,100.0,1,1,1,0,0,0,True
walmartlabs/concord,acad65ac925deb12ca8d7c34575c75ceb7a38b9d,"0.3.0, 0.3.1",server.impl.src.test.java.com.walmartlabs.concord.server.project.ConfigurationUtilsTest.java,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2.0,7.0,1,0,0,0,2,0,28,2,4,9,7,0.25,1,1,1,1,1,0,100.0,2,2,2,1,1,1,True
walmartlabs/concord,acad65ac925deb12ca8d7c34575c75ceb7a38b9d,"0.3.0, 0.3.1",plugins.tasks.nexus.src.test.java.com.walmartlabs.concord.plugins.nexus.perf2.PerfTaskTest.java,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0,1,0,0,1,0,42,3,8,33,0,0.0,1,1,1,1,1,0,100.0,2,2,2,1,1,1,True
walmartlabs/concord,acad65ac925deb12ca8d7c34575c75ceb7a38b9d,"0.3.0, 0.3.1",plugins.tasks.jenkins.src.test.java.com.walmartlabs.concord.plugins.jenkins.TriggerJobTaskTest.java,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,0,17,1,3,16,0,0.0,0,0,0,1,1,0,100.0,1,1,1,1,1,1,False
walmartlabs/concord,acad65ac925deb12ca8d7c34575c75ceb7a38b9d,"0.3.0, 0.3.1",plugins.formats.yaml2.src.test.java.com.walmartlabs.concord.plugins.yaml2.YamlParserTest.java,32,3,0,0,0,0,28,28,0,0,0,0,0,0,0.0,26.0,1,0,0,0,28,0,470,34,100,338,22,0.05,2,2,2,1,1,0,100.0,6,6,6,4,4,4,True
walmartlabs/concord,acad65ac925deb12ca8d7c34575c75ceb7a38b9d,"0.3.0, 0.3.1",plugins.formats.yaml.src.test.java.com.walmartlabs.concord.plugins.yaml.YamlParserTest.java,14,0,0,0,0,0,13,10,0,0,0,0,0,0,0.0,0.0,0,9,0,0,13,0,151,15,49,104,0,0.0,0,0,0,1,1,0,100.0,1,1,1,1,1,1,False
walmartlabs/concord,1cc3e8d3bd050eb3b12cb7822de0ee02199b3f10,"0.20.1, 0.22.0",server.impl.src.test.java.com.walmartlabs.concord.server.user.UserPermissionCleanerTest.java,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,2,0,40,2,6,28,5,0.13,2,2,2,1,1,0,100.0,2,2,2,0,0,0,True
walmartlabs/concord,1cc3e8d3bd050eb3b12cb7822de0ee02199b3f10,"0.20.1, 0.22.0",server.impl.src.test.java.com.walmartlabs.concord.server.user.UserDaoTest.java,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0,0,1,0,1,0,21,2,5,14,2,0.1,2,2,2,1,1,0,100.0,2,2,2,0,0,0,True
walmartlabs/concord,1cc3e8d3bd050eb3b12cb7822de0ee02199b3f10,"0.20.1, 0.22.0",server.impl.src.test.java.com.walmartlabs.concord.server.user.RoleDaoTest.java,2,1,0,0,0,0,2,0,0,0,0,0,0,0,1.0,2.0,0,1,1,0,2,0,27,2,4,16,9,0.33,2,2,2,1,1,0,100.0,2,2,2,0,0,0,True
walmartlabs/concord,1cc3e8d3bd050eb3b12cb7822de0ee02199b3f10,"0.20.1, 0.22.0",server.impl.src.test.java.com.walmartlabs.concord.server.template.TemplateResolverTest.java,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0,0,1,0,1,0,9,1,2,7,2,0.22,2,2,2,1,1,0,100.0,2,2,2,0,0,0,True
walmartlabs/concord,1cc3e8d3bd050eb3b12cb7822de0ee02199b3f10,"0.20.1, 0.22.0",server.impl.src.test.java.com.walmartlabs.concord.server.template.TemplateDaoTest.java,3,2,0,0,0,0,2,1,0,0,0,0,0,0,2.0,4.0,0,0,1,0,2,0,32,3,7,18,7,0.22,2,2,2,1,1,0,100.0,2,2,2,0,0,0,True
walmartlabs/concord,1cc3e8d3bd050eb3b12cb7822de0ee02199b3f10,"0.20.1, 0.22.0",server.impl.src.test.java.com.walmartlabs.concord.server.security.ldap.LdapDaoTest.java,2,1,0,0,0,0,2,0,0,0,0,0,0,0,1.0,2.0,0,1,1,0,2,0,32,2,4,16,9,0.28,2,2,2,1,1,0,100.0,2,2,2,0,0,0,True
walmartlabs/concord,1cc3e8d3bd050eb3b12cb7822de0ee02199b3f10,"0.20.1, 0.22.0",server.impl.src.test.java.com.walmartlabs.concord.server.security.apikey.ApiKeyDaoTest.java,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,1,0,7,1,2,4,1,0.14,2,2,2,1,1,0,100.0,2,2,2,0,0,0,True
walmartlabs/concord,1cc3e8d3bd050eb3b12cb7822de0ee02199b3f10,"0.20.1, 0.22.0",server.impl.src.test.java.com.walmartlabs.concord.server.security.SecretDaoTest.java,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,1,0,1,0,17,1,1,10,2,0.12,2,2,2,1,1,0,100.0,2,2,2,0,0,0,True
walmartlabs/concord,1cc3e8d3bd050eb3b12cb7822de0ee02199b3f10,"0.20.1, 0.22.0",server.impl.src.test.java.com.walmartlabs.concord.server.project.kv.KvDaoTest.java,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0,0,1,0,1,0,21,1,3,7,1,0.05,2,2,2,1,1,0,100.0,2,2,2,0,0,0,True
walmartlabs/concord,1cc3e8d3bd050eb3b12cb7822de0ee02199b3f10,"0.20.1, 0.22.0",server.impl.src.test.java.com.walmartlabs.concord.server.project.ProjectDaoTest.java,5,3,0,0,0,0,3,2,0,0,0,0,0,0,2.0,4.0,0,0,1,0,3,0,68,5,11,31,14,0.21,2,2,1,2,1,0,100.0,3,2,2,1,1,0,True
