App,SHA,Tag,TestFilePath,isExtractVariable,prediction
vaadin/framework,4c450752a112f5fafb47b074169db7a133cda3ee,"7.7.7, 7.7.8",server.src.test.java.com.vaadin.tests.server.component.fieldgroup.BeanFieldGroupTest.java,False,True
vaadin/framework,4c450752a112f5fafb47b074169db7a133cda3ee,"7.7.7, 7.7.8",server.src.test.java.com.vaadin.tests.data.converter.ConverterFactoryTest.java,False,False
vaadin/framework,0b28903d785ad7a44e9796823d82302cf44c064b,"7.7.9, 7.7.10",uitest.src.test.java.com.vaadin.tests.application.MissingHierarchyDetectionTest.java,False,False
vaadin/framework,0b28903d785ad7a44e9796823d82302cf44c064b,"7.7.9, 7.7.10",server.src.test.java.com.vaadin.util.CurrentInstanceTest.java,False,True
vaadin/framework,8fd0d57f4441cc74e69453377b33102182c43cf5,"7.7.11, 7.7.12",uitest.src.test.java.com.vaadin.tests.components.window.BackspaceKeyWithModalOpenedTest.java,False,True
vaadin/framework,274dd18668f1ef253dd824f6463412f9d0a1e73e,"7.7.14, 7.7.15",uitest.src.test.java.com.vaadin.tests.components.upload.InterruptUploadTest.java,False,False
vaadin/framework,274dd18668f1ef253dd824f6463412f9d0a1e73e,"7.7.14, 7.7.15",uitest.src.test.java.com.vaadin.tests.tooltip.StationaryTooltipTest.java,False,False
vaadin/framework,274dd18668f1ef253dd824f6463412f9d0a1e73e,"7.7.14, 7.7.15",uitest.src.test.java.com.vaadin.tests.tooltip.AdjacentElementsWithTooltipsTest.java,False,False
vaadin/framework,274dd18668f1ef253dd824f6463412f9d0a1e73e,"7.7.14, 7.7.15",uitest.src.test.java.com.vaadin.tests.components.ui.WindowAndUIShortcutsTest.java,False,True
vaadin/framework,274dd18668f1ef253dd824f6463412f9d0a1e73e,"7.7.14, 7.7.15",uitest.src.test.java.com.vaadin.tests.components.table.ColumnCollapsingAndColumnExpansionTest.java,False,True
vaadin/framework,274dd18668f1ef253dd824f6463412f9d0a1e73e,"7.7.14, 7.7.15",uitest.src.test.java.com.vaadin.tests.components.menubar.MenuBarTooltipsNearEdgeTest.java,False,False
vaadin/framework,274dd18668f1ef253dd824f6463412f9d0a1e73e,"7.7.14, 7.7.15",uitest.src.test.java.com.vaadin.tests.components.menubar.MenuBarSubmenusClosingValoTest.java,False,True
vaadin/framework,274dd18668f1ef253dd824f6463412f9d0a1e73e,"7.7.14, 7.7.15",uitest.src.test.java.com.vaadin.tests.application.WebBrowserTimeZoneTest.java,False,True
vaadin/framework,274dd18668f1ef253dd824f6463412f9d0a1e73e,"7.7.14, 7.7.15",uitest.src.test.java.com.vaadin.tests.application.ReconnectDialogUITest.java,False,True
vaadin/framework,f1d5ddcf597caccfc2cc77f66f116754cf6105a5,"7.7.15, 7.7.16",uitest.src.test.java.com.vaadin.tests.requesthandlers.AppResource404Test.java,True,False
vaadin/framework,f1d5ddcf597caccfc2cc77f66f116754cf6105a5,"7.7.15, 7.7.16",uitest.src.test.java.com.vaadin.tests.components.menubar.MenuBarIconsTest.java,False,False
vaadin/framework,a279e1d424ade4608c10e56d3311ac4da3c76630,"7.7.18, 7.7.21",uitest.src.test.java.com.vaadin.tests.components.combobox.ComboboxPageLengthZeroFilterTest.java,False,False
vaadin/framework,a279e1d424ade4608c10e56d3311ac4da3c76630,"7.7.18, 7.7.21",server.src.test.java.com.vaadin.server.VaadinPortletServiceTest.java,False,True
vaadin/framework,a279e1d424ade4608c10e56d3311ac4da3c76630,"7.7.18, 7.7.21",uitest.src.test.java.com.vaadin.tests.contextclick.TreeContextClickTest.java,True,False
vaadin/framework,a279e1d424ade4608c10e56d3311ac4da3c76630,"7.7.18, 7.7.21",uitest.src.test.java.com.vaadin.tests.components.ui.TextAreaEventPropagationTest.java,False,False
