App,SHA,Tag,TestFilePath,isExtractMethod,prediction
groupon/DotCi,54cc027d15d10750bb4a1b0c18d4968ed3bd37c7,"DotCi-2.0.0, DotCi-2.1.0",src.test.java.com.groupon.jenkins.github.CommitStatusUpdateListenerTest.java,False,False
groupon/DotCi,3f4aa8586b77b5da6346659e5eed9442d1f6a341,"DotCi-2.1.0, DotCi-2.2",src.test.java.com.groupon.jenkins.mongo.DynamicProjectRepositoryTest.java,False,True
groupon/DotCi,3f4aa8586b77b5da6346659e5eed9442d1f6a341,"DotCi-2.1.0, DotCi-2.2",src.test.java.com.groupon.jenkins.mongo.MongoRepositoryTest.java,False,True
groupon/DotCi,3f4aa8586b77b5da6346659e5eed9442d1f6a341,"DotCi-2.1.0, DotCi-2.2",src.test.java.com.groupon.jenkins.buildtype.dockerimage.DockerImageBuildConfigurationTest.java,False,False
groupon/DotCi,764f1a38f1dee6181cba9adff35504a86cd12719,"DotCi-2.3, DotCi-2.5",src.test.java.com.groupon.jenkins.buildtype.dockerimage.DockerImageBuildConfigurationTest.java,False,True
groupon/DotCi,e17f246710c1e7a6c24aa5cba2e5beb751ddf690,"DotCi-2.5, DotCi-2.6.0",src.test.java.com.groupon.jenkins.mongo.DynamicProjectRepositoryTest.java,False,True
groupon/DotCi,e17f246710c1e7a6c24aa5cba2e5beb751ddf690,"DotCi-2.5, DotCi-2.6.0",src.test.java.com.groupon.jenkins.dynamic.build.DynamicBuildModelTest.java,False,True
groupon/DotCi,e17f246710c1e7a6c24aa5cba2e5beb751ddf690,"DotCi-2.5, DotCi-2.6.0",src.test.java.com.groupon.jenkins.buildtype.dockerimage.DockerImageBuildConfigurationTest.java,False,False
groupon/DotCi,e17f246710c1e7a6c24aa5cba2e5beb751ddf690,"DotCi-2.5, DotCi-2.6.0",src.test.java.com.groupon.jenkins.util.GithubOauthLoginActionTest.java,False,False
groupon/DotCi,23c8d2fa91be936d38c230f6d4da2d6338d66836,"DotCi-2.9.2, DotCi-2.10.0",src.test.java.com.groupon.jenkins.github.services.GithubRepositoryServiceTest.java,False,True
groupon/DotCi,4d64fb69630f475d877273db786a235f792f08a7,"DotCi-2.19.1, DotCi-2.19.3",src.test.java.com.groupon.jenkins.buildtype.dockercompose.BuildConfigurationTest.java,True,False
groupon/DotCi,54cca29039ab7e318c805d73f241f95fb9c072e2,"DotCi-2.20.1, DotCi-2.21.0",src.test.java.com.groupon.jenkins.buildtype.dockercompose.BuildConfigurationTest.java,False,True
groupon/DotCi,ff2d32d4e32c5728de3907b8ea265743b5167026,"DotCi-2.22.1, DotCi-2.22.26.0",src.test.java.com.groupon.jenkins.buildtype.dockercompose.BuildConfigurationTest.java,False,False
groupon/DotCi,ff2d32d4e32c5728de3907b8ea265743b5167026,"DotCi-2.22.1, DotCi-2.22.26.0",src.test.java.com.groupon.jenkins.extensions.DotCiExtensionsHelperTest.java,False,True
groupon/DotCi,56cc0a3b92f5bd51c7057c77d47e776c641e5182,"DotCi-2.25.1, DotCi-2.26.0",src.test.java.com.groupon.jenkins.buildtype.dockercompose.BuildConfigurationTest.java,False,True
groupon/DotCi,4bffa4daad47dcb36737784e72f1a10ef1c7f66b,"DotCi-2.27.3, DotCi-2.28.0",src.test.java.com.groupon.jenkins.buildtype.dockercompose.DockerComposeEnvContributorTest.java,False,True
groupon/DotCi,aee8c5ed34e048ccf1a3191f999f0aaffcc55d03,"DotCi-2.28.0, DotCi-2.28.1",src.test.java.com.groupon.jenkins.buildtype.dockercompose.BuildConfigurationTest.java,False,True
groupon/DotCi,9f193e0fe3f789569788a3548530caaca3915445,"DotCi-2.28.1, DotCi-2.30.0",src.test.java.com.groupon.jenkins.mongo.CauseActionConverterTest.java,False,True
groupon/DotCi,5c0086379cf2165e04d7315af1079ff198f76aad,"DotCi-2.35.0, DotCi-2.36.0",src.test.java.com.groupon.jenkins.github.GithubWebhookTest.java,False,True
groupon/DotCi,5c0086379cf2165e04d7315af1079ff198f76aad,"DotCi-2.35.0, DotCi-2.36.0",src.test.java.com.groupon.jenkins.dynamic.build.cause.BuildCauseTest.java,False,False
groupon/DotCi,5c0086379cf2165e04d7315af1079ff198f76aad,"DotCi-2.35.0, DotCi-2.36.0",src.test.java.com.groupon.jenkins.dynamic.build.DynamicBuildModelTest.java,False,True
groupon/DotCi,d9ba79d42da1a5cbd2ea48e3cb3f18b24e821f41,"DotCi-2.36.2, DotCi-2.37.0",src.test.java.com.groupon.jenkins.github.CommitStatusUpdateQueueListenerTest.java,False,True
groupon/DotCi,099feb29d7cead2c4c193b5080dbc320cea0ff29,"DotCi-2.38.3, DotCi-2.38.4",src.test.java.com.groupon.jenkins.dynamic.build.DynamicBuildModelTest.java,False,True
groupon/DotCi,6b8b910fd582eca13b79b9ab38387ec959a4c098,"DotCi-2.38.5, DotCi-2.38.6",src.test.java.com.groupon.jenkins.buildtype.util.shell.ShellCommandsTest.java,False,True
groupon/DotCi,6b8b910fd582eca13b79b9ab38387ec959a4c098,"DotCi-2.38.5, DotCi-2.38.6",src.test.java.com.groupon.jenkins.buildtype.dockercompose.BuildConfigurationTest.java,False,False
groupon/DotCi,a1af5381174df1a23b5df9d7ca133216f982d79d,"DotCi-2.38.6, DotCi-2.38.7",src.test.java.com.groupon.jenkins.util.GroovyYamlTemplateProcessorTest.java,False,False
groupon/DotCi,a1af5381174df1a23b5df9d7ca133216f982d79d,"DotCi-2.38.6, DotCi-2.38.7",src.test.java.com.groupon.jenkins.util.GithubOauthLoginActionTest.java,False,True
groupon/DotCi,a1af5381174df1a23b5df9d7ca133216f982d79d,"DotCi-2.38.6, DotCi-2.38.7",src.test.java.com.groupon.jenkins.notifications.PusherEmailNotifierTest.java,False,False
groupon/DotCi,a1af5381174df1a23b5df9d7ca133216f982d79d,"DotCi-2.38.6, DotCi-2.38.7",src.test.java.com.groupon.jenkins.dynamic.build.execution.WorkspaceFileExporterTest.java,False,True
groupon/DotCi,a1af5381174df1a23b5df9d7ca133216f982d79d,"DotCi-2.38.6, DotCi-2.38.7",src.test.java.com.groupon.jenkins.dynamic.build.commithistory.CommitHistoryViewTest.java,False,False
groupon/DotCi,a1af5381174df1a23b5df9d7ca133216f982d79d,"DotCi-2.38.6, DotCi-2.38.7",src.test.java.com.groupon.jenkins.dynamic.build.GithubBranchParameterDefinitionTest.java,False,False
groupon/DotCi,5870f7440a1757efe49d1d8686fc492eb626f6c6,"DotCi-2.39.6, DotCi-2.39.7",src.test.java.com.groupon.jenkins.buildsetup.GithubReposControllerTest.java,False,True
groupon/DotCi,6b9e91bd4007cee1337b4e2ef7c49b330f4b5d71,"DotCi-2.39.7, DotCi-2.39.8",src.test.java.com.groupon.jenkins.github.CommitStatusUpdateRunListenerTest.java,False,True
