App,SHA,Tag,TestFilePath,isModifyMethodAnnotation,prediction
ozimov/spring-boot-email-tools,6cac630d997abe7f7fc82023fd70047a357e296b,"0.2.0, 0.3.0",spring-boot-email-core.src.test.java.it.ozimov.springboot.mail.model.impl.EmailImplTest.java,False,True
ozimov/spring-boot-email-tools,3638ee40e582463a490e6bc3c17ccd8f62703c14,"0.3.1, 0.3.2",spring-boot-email-core.src.test.java.it.ozimov.springboot.templating.mail.model.impl.EmailAttachmentImplTest.java,False,True
ozimov/spring-boot-email-tools,21832a804fccb2b450d6033d3c5230146ba7f7c5,"0.3.4, 0.3.5",spring-boot-email-core.src.test.java.it.ozimov.springboot.templating.mail.utils.EmailToMimeMessageTest.java,False,False
ozimov/spring-boot-email-tools,0e24812dd73ee6327cc1d0ec96c42abbfde6bb2e,"0.3.5, 0.3.6",spring-boot-email-template-engines.spring-boot-thymeleaf-email.src.test.java.it.ozimov.springboot.templating.mail.service.ThymeleafTemplateServiceTest.java,False,False
ozimov/spring-boot-email-tools,0e24812dd73ee6327cc1d0ec96c42abbfde6bb2e,"0.3.5, 0.3.6",spring-boot-email-template-engines.spring-boot-pebble-email.src.test.java.it.ozimov.springboot.templating.mail.service.PebbleTemplateServiceTest.java,False,False
ozimov/spring-boot-email-tools,0e24812dd73ee6327cc1d0ec96c42abbfde6bb2e,"0.3.5, 0.3.6",spring-boot-email-template-engines.spring-boot-mustache-email.src.test.java.it.ozimov.springboot.templating.mail.service.MustacheTemplateServiceTest.java,False,False
ozimov/spring-boot-email-tools,0e24812dd73ee6327cc1d0ec96c42abbfde6bb2e,"0.3.5, 0.3.6",spring-boot-email-template-engines.spring-boot-freemarker-email.src.test.java.it.ozimov.springboot.templating.mail.service.FreemarkerTemplateServiceTest.java,False,False
ozimov/spring-boot-email-tools,0e24812dd73ee6327cc1d0ec96c42abbfde6bb2e,"0.3.5, 0.3.6",spring-boot-email-core.src.test.java.it.ozimov.springboot.templating.mail.service.PriorityQueueSchedulerServiceTest.java,False,True
ozimov/spring-boot-email-tools,e09fdc042714654fb5efe38226077dded6282651,"0.3.8, 0.4.0",spring-boot-email-core.src.test.java.it.ozimov.springboot.templating.mail.service.defaultimpl.DefaultPersistenceServiceTest.java,False,True
ozimov/spring-boot-email-tools,e09fdc042714654fb5efe38226077dded6282651,"0.3.8, 0.4.0",spring-boot-email-core.src.test.java.it.ozimov.springboot.templating.mail.model.EmailSchedulingDataTest.java,False,True
ozimov/spring-boot-email-tools,e09fdc042714654fb5efe38226077dded6282651,"0.3.8, 0.4.0",spring-boot-email-core.src.test.java.it.ozimov.springboot.templating.mail.service.defaultimpl.PriorityQueueSchedulerServiceTest.java,False,False
ozimov/spring-boot-email-tools,e09fdc042714654fb5efe38226077dded6282651,"0.3.8, 0.4.0",spring-boot-email-core.src.test.java.it.ozimov.springboot.templating.mail.service.EmailEmbeddedRedisTest.java,False,False
ozimov/spring-boot-email-tools,e09fdc042714654fb5efe38226077dded6282651,"0.3.8, 0.4.0",spring-boot-email-core.src.test.java.it.ozimov.springboot.templating.mail.utils.TimeUtilsTest.java,False,False
ozimov/spring-boot-email-tools,e09fdc042714654fb5efe38226077dded6282651,"0.3.8, 0.4.0",spring-boot-email-core.src.test.java.it.ozimov.springboot.templating.mail.model.DefaultEmailSchedulingDataTest.java,False,False
