App,SHA,Tag,TestFilePath,isRefactored,prediction
apache/pulsar,5125279b50f7a3da8c211b698580e1d2f4dd65e2,"v1.18, v1.19.0-incubating",pulsar-broker.src.test.java.org.apache.pulsar.broker.service.ReplicatorTest.java,False,False
apache/pulsar,5125279b50f7a3da8c211b698580e1d2f4dd65e2,"v1.18, v1.19.0-incubating",pulsar-broker.src.test.java.org.apache.pulsar.broker.service.PersistentTopicTest.java,False,True
apache/pulsar,5125279b50f7a3da8c211b698580e1d2f4dd65e2,"v1.18, v1.19.0-incubating",pulsar-broker.src.test.java.org.apache.pulsar.broker.service.BrokerServiceTest.java,False,True
apache/pulsar,5125279b50f7a3da8c211b698580e1d2f4dd65e2,"v1.18, v1.19.0-incubating",pulsar-broker.src.test.java.org.apache.pulsar.broker.namespace.NamespaceServiceTest.java,False,False
apache/pulsar,d3261ed4dc86f4cdf5ad6a246c532212f064967a,"v2.1.0-incubating-candidate-3, v2.1.0-incubating-candidate-4",pulsar-broker.src.test.java.org.apache.pulsar.broker.admin.NamespacesTest.java,False,False
apache/pulsar,c8cf25b023f0b2a81334d9fd94b0676b9f4ac0d7,"v2.2.0, v2.2.1-candidate-1",pulsar-broker-auth-athenz.src.test.java.org.apache.pulsar.broker.authentication.AuthenticationProviderAthenzTest.java,False,False
apache/pulsar,78125b0fc4c48fbf8bf737867085e8c347462029,"v2.3.0, v2.3.1-candidate-1",pulsar-client.src.test.java.org.apache.pulsar.client.impl.schema.KeyValueSchemaTest.java,False,False
apache/pulsar,78125b0fc4c48fbf8bf737867085e8c347462029,"v2.3.0, v2.3.1-candidate-1",pulsar-client.src.test.java.org.apache.pulsar.client.impl.schema.JSONSchemaTest.java,False,True
apache/pulsar,78125b0fc4c48fbf8bf737867085e8c347462029,"v2.3.0, v2.3.1-candidate-1",pulsar-client.src.test.java.org.apache.pulsar.client.impl.schema.AvroSchemaTest.java,False,False
apache/pulsar,cc746322d51cea14b04092370bcebf695721fe70,"v2.4.0, v2.4.1-candidate-1",pulsar-functions.worker.src.test.java.org.apache.pulsar.functions.worker.FunctionRuntimeManagerTest.java,True,False
