Project,Model,id,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
ofdrw,nearmissunder2_svm,9.0,0.0,6.0,3.0,1.0,0.0,0.0,-1.0,0.611111111111111,-1.0,-0.408248290463863,nan
questdb,smoteover_randomforest,NO_FILE
ofdrw,randomover_randomforest,9.0,0.0,6.0,2.0,1.0,0.0,0.0,-1.0,0.6333333333333333,-1.0,-0.5,nan
arangodb-java-driver,randomover_decisiontree,NO_FILE
logicng,nearmissunder1_logisticregression,NO_FILE
acs-aem-commons,randomover_svm,51.0,49.0,60.0,44.0,48.0,0.4495412844036697,0.5051546391752577,0.4626865671641791,0.6724541900845661,0.4757281553398058,-0.0719828216896959,0.5860714285714286
dotci,svm,NO_FILE
azure-maven-plugins,smoteover_naivebayes,26.0,64.0,31.0,67.0,69.0,0.6736842105263158,0.4812030075187969,0.5670995670995671,0.3863468720821662,0.5614035087719299,0.1656022756178104,0.6533428593975469
sonar-pmd,borderlinesmote_randomforest,NO_FILE
sentinel,smoteover_logisticregression,NO_FILE
freeacs,logisticregression,NO_FILE
iota-java,borderlinesmote_decisiontree,NO_FILE
starrocks-connector-for-apache-flink,smoteover_svm,NO_FILE
json-schema,borderlinesmote_randomforest,NO_FILE
logicng,nearmissunder2_naivebayes,NO_FILE
dotci,randomunder_logisticregression,NO_FILE
json-schema,nearmissunder2_naivebayes,17.0,11.0,4.0,10.0,28.0,0.7333333333333333,0.282051282051282,0.3962264150943396,0.2833333333333333,0.4074074074074074,-0.0035850584976526,0.4821428571428571
json-schema,decisiontree,17.0,26.0,12.0,2.0,7.0,0.6842105263157895,0.7878787878787878,0.5957446808510638,0.7562499999999999,0.732394366197183,-0.0805037178403068,0.419047619047619
sureness,nearmissunder2_extratree,NO_FILE
acs-aem-commons,randomover_extratree,51.0,66.0,75.0,27.0,31.0,0.4680851063829787,0.6804123711340206,0.4673366834170854,0.8056721294930937,0.5546218487394958,-0.0603657114525366,0.5820833333333334
poli,nearmissunder3_naivebayes,NO_FILE
freeacs,randomover_svm,NO_FILE
opencga,nearmissunder3_randomforest,23.0,49.0,39.0,41.0,28.0,0.5568181818181818,0.6363636363636364,0.5732484076433121,0.4011113276006893,0.5939393939393939,0.1499384780210883,0.718165319528956
emissary,logisticregression,NO_FILE
admiral,nearmissunder2_decisiontree,11.0,22.0,20.0,22.0,13.0,0.5238095238095238,0.6285714285714286,0.5714285714285714,0.5625925925925926,0.5714285714285715,0.1523809523809524,0.5345864661654135
acs-aem-commons,nearmissunder2_svm,51.0,42.0,51.0,53.0,55.0,0.4516129032258064,0.4329896907216495,0.472636815920398,0.6336234959787728,0.4421052631578947,-0.0575205029675031,0.5990873015873015
googleads-java-lib,randomover_logisticregression,NO_FILE
dayon,nearmissunder2_randomforest,NO_FILE
iotdb,nearmissunder1_naivebayes,NO_FILE
admiral,borderlinesmote_randomforest,NO_FILE
freeacs,randomover_randomforest,NO_FILE
freeacs,randomunder_logisticregression,NO_FILE
kapua,adasyn_logisticregression,NO_FILE
rxjava2-extras,smoteover_naivebayes,NO_FILE
iotdb,randomover_randomforest,NO_FILE
kubernetes-client,adasyn_randomforest,NO_FILE
mongock,randomunder_svm,NO_FILE
rtree,nearmissunder3_extratree,NO_FILE
googleads-java-lib,adasyn_naivebayes,NO_FILE
rxjava2-jdbc,randomunder_extratree,NO_FILE
opencga,borderlinesmote_decisiontree,23.0,55.0,51.0,31.0,20.0,0.5188679245283019,0.7333333333333333,0.5477707006369427,0.5565501884370866,0.6077348066298343,0.118799603980544,0.631785789967608
json-schema,adasyn_decisiontree,NO_FILE
nuls-v1,extratree,NO_FILE
concord,adasyn_logisticregression,NO_FILE
kubernetes-client,randomforest,NO_FILE
htmlunit-driver,extratree,NO_FILE
jts,nearmissunder1_svm,NO_FILE
sonar-findbugs,smoteover_svm,NO_FILE
acs-aem-commons,randomunder_decisiontree,51.0,66.0,57.0,41.0,36.0,0.5365853658536586,0.6470588235294118,0.535,0.5860173721080931,0.5866666666666668,0.0672150778983751,0.5301984126984127
dotci,randomunder_naivebayes,NO_FILE
java-diff-utils,randomunder_randomforest,NO_FILE
fluent-http,decisiontree,NO_FILE
dotci,nearmissunder1_svm,NO_FILE
mongock,naivebayes,NO_FILE
acs-aem-commons,adasyn_naivebayes,NO_FILE
arangodb-java-driver,nearmissunder3_logisticregression,NO_FILE
mongock,borderlinesmote_decisiontree,NO_FILE
thorntail,extratree,NO_FILE
htmlunit-driver,borderlinesmote_naivebayes,NO_FILE
thorntail,smoteover_randomforest,NO_FILE
admiral,randomunder_logisticregression,11.0,17.0,21.0,20.0,18.0,0.4473684210526316,0.4857142857142857,0.4868421052631579,0.4452083333333333,0.4657534246575342,-0.0263981838674227,0.4458020050125313
core-geonetwork,decisiontree,NO_FILE
jaxrs-analyzer,nearmissunder3_logisticregression,NO_FILE
logicng,nearmissunder2_svm,NO_FILE
dotci,extratree,NO_FILE
core-geonetwork,nearmissunder1_naivebayes,NO_FILE
instancio,nearmissunder3_svm,NO_FILE
java-diff-utils,nearmissunder3_naivebayes,NO_FILE
thorntail,adasyn_decisiontree,NO_FILE
sermant,adasyn_extratree,NO_FILE
framework,randomunder_randomforest,NO_FILE
mybatis-flex,extratree,NO_FILE
restx,smoteover_randomforest,5.0,4.0,3.0,2.0,3.0,0.5714285714285714,0.5714285714285714,0.5,0.7,0.5714285714285714,-0.0285714285714285,0.5
spring-boot-email-tools,borderlinesmote_extratree,NO_FILE
starrocks-connector-for-apache-flink,randomover_decisiontree,NO_FILE
fluent-http,nearmissunder2_extratree,NO_FILE
openwebstart,nearmissunder2_naivebayes,8.0,1.0,5.0,1.0,1.0,0.1666666666666666,0.5,0.25,0.75,0.25,-0.3333333333333333,0.5
sonar-pmd,nearmissunder2_extratree,5.0,12.0,2.0,3.0,9.0,0.8571428571428571,0.5714285714285714,0.5769230769230769,0.5375,0.6857142857142857,0.1355261854357877,0.65
cucable-plugin,adasyn_randomforest,NO_FILE
rtree,adasyn_extratree,NO_FILE
thorntail,randomover_naivebayes,NO_FILE
graphhopper,randomover_svm,53.0,48.0,42.0,43.0,40.0,0.5333333333333333,0.5454545454545454,0.5260115606936416,0.5975768321513003,0.5393258426966293,0.0513712489505161,0.6248737373737372
sofa-rpc,nearmissunder1_decisiontree,8.0,2.0,4.0,0.0,2.0,0.3333333333333333,0.5,0.25,0.8333333333333334,0.4,-0.5773502691896258,nan
questdb,nearmissunder1_decisiontree,NO_FILE
thorntail,adasyn_extratree,NO_FILE
PowerJob,randomover_logisticregression,NO_FILE
iota-java,adasyn_extratree,NO_FILE
azure-maven-plugins,nearmissunder2_randomforest,26.0,77.0,36.0,69.0,53.0,0.6814159292035398,0.5923076923076923,0.6212765957446809,0.5926628227048395,0.6337448559670781,0.2482170749518041,0.6729444383741259
cucable-plugin,nearmissunder2_decisiontree,15.0,4.0,8.0,4.0,1.0,0.3333333333333333,0.8,0.4705882352941176,0.76,0.4705882352941176,0.1333333333333333,0.7777777777777778
zanata-platform,smoteover_decisiontree,53.0,134.0,48.0,31.0,138.0,0.7362637362637363,0.4926470588235294,0.4700854700854701,0.4952697284440704,0.5903083700440529,-0.0960771051965407,0.2109049231690741
mongock,randomover_logisticregression,NO_FILE
PowerJob,borderlinesmote_naivebayes,NO_FILE
PowerJob,borderlinesmote_decisiontree,NO_FILE
sermant,nearmissunder1_svm,5.0,4.0,6.0,4.0,3.0,0.4,0.5714285714285714,0.4705882352941176,0.5803571428571428,0.4705882352941176,-0.0285714285714285,0.5208333333333334
argus,nearmissunder3_extratree,NO_FILE
acs-aem-commons,randomforest,51.0,72.0,80.0,24.0,25.0,0.4736842105263157,0.7422680412371134,0.4776119402985074,0.8064322592166173,0.5783132530120482,-0.0313795371381341,0.5542063492063493
itext7,adasyn_logisticregression,31.0,135.0,45.0,34.0,103.0,0.75,0.5672268907563025,0.5331230283911672,0.5704212070272081,0.645933014354067,-0.0020898444081077,0.4833848982542727
iextrading4j,nearmissunder2_extratree,NO_FILE
robot,randomover_svm,10.0,2.0,4.0,7.0,3.0,0.3333333333333333,0.4,0.5625,0.3611111111111111,0.3636363636363636,0.0348155311911395,0.6944444444444444
emissary,decisiontree,NO_FILE
azure-maven-plugins,randomover_naivebayes,26.0,69.0,42.0,59.0,64.0,0.6216216216216216,0.518796992481203,0.5470085470085471,0.4732153467447585,0.5655737704918034,0.1021225445965626,0.6484707566738817
