App,SHA,Tag,TestFilePath,isRefactored,prediction
davidmoten/rxjava2-jdbc,43ba4b128f57a7653902169599e93b761bf17ff8,"0.1-RC6, 0.1-RC7",src.test.java.org.davidmoten.rx.jdbc.DatabaseTest.java,False,True
davidmoten/rxjava2-jdbc,080df75cc99ec71615f22d0bcf80f23f5f9dcf1d,"0.1-RC7, 0.1-RC8",src.test.java.org.davidmoten.rx.jdbc.DatabaseTest.java,True,False
davidmoten/rxjava2-jdbc,a86334ac9d598df871289fdb420fb8bdb5cd3ed1,"0.1-RC8, 0.1-RC9",src.test.java.org.davidmoten.rx.jdbc.pool.PoolTest.java,True,True
davidmoten/rxjava2-jdbc,a86334ac9d598df871289fdb420fb8bdb5cd3ed1,"0.1-RC8, 0.1-RC9",src.test.java.org.davidmoten.rx.jdbc.DatabaseTest.java,True,False
davidmoten/rxjava2-jdbc,b6cef051d65efac447f23ae407183c10868fcd00,"0.1-RC9, 0.1-RC10",src.test.java.org.davidmoten.rx.jdbc.DatabaseTest.java,False,True
davidmoten/rxjava2-jdbc,ad39dd141d0cab443014494cae58582f000a8d30,"0.1-RC13, 0.1-RC14",src.test.java.org.davidmoten.rx.jdbc.DatabaseTest.java,True,True
davidmoten/rxjava2-jdbc,cb20bb33e4332a19c51ea6dc430fc6b94692a154,"0.1-RC14, 0.1-RC16",src.test.java.org.davidmoten.rx.jdbc.pool.NonBlockingPoolTest.java,True,True
davidmoten/rxjava2-jdbc,e2b1c2eaa5e957f2f8dd0c7ac39add3e0c4edf6d,"0.1-RC17, 0.1-RC18",src.test.java.org.davidmoten.rx.pool.NonBlockingPoolTest.java,False,True
davidmoten/rxjava2-jdbc,5dc403bc40a12c915a02e52d3bc62a0576f0b389,"0.1-RC19, 0.1-RC21",rxjava2-jdbc.src.test.java.org.davidmoten.rx.jdbc.DatabaseTest.java,True,True
davidmoten/rxjava2-jdbc,bcfb9f6d748762d307ecf13c943a22bfad2c8589,"0.1-RC21, 0.1-RC22",rxjava2-jdbc.src.test.java.org.davidmoten.rx.jdbc.DatabaseTest.java,True,True
davidmoten/rxjava2-jdbc,bcfb9f6d748762d307ecf13c943a22bfad2c8589,"0.1-RC21, 0.1-RC22",rxjava2-jdbc.src.test.java.org.davidmoten.rx.jdbc.SqlInfoTest.java,False,False
davidmoten/rxjava2-jdbc,07bb2f2b025293c6117fe0430cf49515f86d56a2,"0.1-RC22, 0.1-RC23",rxjava2-jdbc.src.test.java.org.davidmoten.rx.jdbc.DatabaseTest.java,True,True
davidmoten/rxjava2-jdbc,aae881f74a1815c33e5a1f9bf4e034de363d6068,"0.1-RC23, 0.1-RC26",rxjava2-jdbc.src.test.java.org.davidmoten.rx.jdbc.DatabaseTest.java,True,True
davidmoten/rxjava2-jdbc,75453f50ec32895d2fe709f82b785cbe5916196e,"0.1-RC30, 0.1-RC31",rxjava2-jdbc.src.test.java.org.davidmoten.rx.jdbc.DatabaseTest.java,False,True
davidmoten/rxjava2-jdbc,79752517dc14ed0f7b1509b3b6e005bda657a033,"0.1-RC33, 0.1-RC34",rxjava2-pool.src.test.java.org.davidmoten.rx.pool.NonBlockingPoolTest.java,True,True
davidmoten/rxjava2-jdbc,540f3ee07387a322ca09860b85e8ac62971dfbee,"0.1-RC42, 0.2.0",rxjava2-jdbc.src.test.java.org.davidmoten.rx.jdbc.DatabaseTest.java,False,True
davidmoten/rxjava2-jdbc,2e52dc65eb59aafddd3cbdf3347fb08660d87058,"0.2.9, 0.2.10",rxjava2-jdbc.src.test.java.org.davidmoten.rx.jdbc.DatabaseTest.java,True,True
