App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isReplaceVariableWithAttribute
itext/itext7,eed0ef2733c743fd4b4db851f61941a1b2a8ec19,"7.0.0-RC.20160201, 7.0.0-RC.20160321",kernel.src.test.java.com.itextpdf.kernel.pdf.PdfEncryptionTest.java,13,0,0,0,0,0,8,0,0,0,0,0,0,0,0.0,0.0,0,8,0,0,8,0,118.0,13.0,29.0,50.0,3.0,0.03,39,39,20,2,2,0,94.17,71,68,36,32,29,16,False
itext/itext7,eed0ef2733c743fd4b4db851f61941a1b2a8ec19,"7.0.0-RC.20160201, 7.0.0-RC.20160321",layout.src.test.java.com.itextpdf.layout.TableTest.java,30,0,5,0,0,0,29,0,27,0,0,0,0,0,27.0,220.0,0,0,0,1,29,0,489.0,31.0,97.0,172.0,29.0,0.06,174,102,87,2,1,0,100.0,178,106,89,4,4,2,False
itext/itext7,eed0ef2733c743fd4b4db851f61941a1b2a8ec19,"7.0.0-RC.20160201, 7.0.0-RC.20160321",kernel.src.test.java.com.itextpdf.kernel.parser.TextRenderInfoTest.java,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,3,0,73.0,3.0,7.0,15.0,3.0,0.04,2,2,1,2,1,0,100.0,4,2,2,2,2,1,False
itext/itext7,eed0ef2733c743fd4b4db851f61941a1b2a8ec19,"7.0.0-RC.20160201, 7.0.0-RC.20160321",kernel.src.test.java.com.itextpdf.kernel.parser.GlyphTextEventListenerTest.java,3,1,0,0,0,0,3,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,3,0,37.0,3.0,6.0,11.0,4.0,0.11,0,0,0,1,1,0,100.0,1,1,1,1,1,1,False
itext/itext7,eed0ef2733c743fd4b4db851f61941a1b2a8ec19,"7.0.0-RC.20160201, 7.0.0-RC.20160321",kernel.src.test.java.com.itextpdf.kernel.pdf.canvas.PdfFontTest.java,42,15,2,0,0,0,40,0,24,0,1,0,0,0,6.0,16.0,4,0,1,0,40,0,753.0,42.0,120.0,687.0,66.0,0.09,87,62,14,6,4,2,53.3,142,67,24,55,35,9,False
itext/itext7,eed0ef2733c743fd4b4db851f61941a1b2a8ec19,"7.0.0-RC.20160201, 7.0.0-RC.20160321",kernel.src.test.java.com.itextpdf.kernel.pdf.PdfDocumentTest.java,12,5,1,0,0,0,11,0,1,0,0,0,0,0,10.0,43.0,0,0,0,0,11,0,194.0,12.0,27.0,96.0,19.0,0.1,-1437,10,-359,4,3,2,98.31,20,11,5,1457,1443,364,False
itext/itext7,f85e4990cc1967edca654b44cc70bac589144a8a,"7.0.0-RC.20160321, 7.0.0-RC.20160406",kernel.src.test.java.com.itextpdf.kernel.pdf.PdfDocumentTest.java,13,6,1,0,0,0,12,0,1,0,0,0,0,0,11.0,44.0,0,0,0,0,12,0,201.0,13.0,30.0,104.0,22.0,0.11,10,12,5,2,2,0,50.0,25,16,12,15,11,8,False
itext/itext7,f85e4990cc1967edca654b44cc70bac589144a8a,"7.0.0-RC.20160321, 7.0.0-RC.20160406",kernel.src.test.java.com.itextpdf.kernel.pdf.canvas.PdfFontTest.java,42,15,2,0,0,0,40,0,24,0,1,0,0,0,6.0,16.0,4,0,1,0,40,0,753.0,42.0,120.0,687.0,66.0,0.09,2,2,2,1,1,0,100.0,19,19,19,17,17,17,False
itext/itext7,ed042f3ff209ceb0a5571415937bb5aaba8bd5ff,"7.0.0-RC.20160406, 7.0.0",kernel.src.test.java.com.itextpdf.kernel.pdf.PdfReaderTest.java,62,42,32,0,0,0,57,0,4,0,0,0,0,0,51.0,218.0,15,0,1,0,57,0,1155.0,62.0,166.0,576.0,253.0,0.22,28,28,7,4,2,0,76.27,73,42,18,45,42,11,False
itext/itext7,ed042f3ff209ceb0a5571415937bb5aaba8bd5ff,"7.0.0-RC.20160406, 7.0.0",kernel.src.test.java.com.itextpdf.kernel.pdf.PdfPagesTest.java,12,3,8,0,0,0,9,0,5,0,0,0,0,0,5.0,16.0,0,2,0,0,9,0,203.0,12.0,43.0,101.0,16.0,0.08,11,12,2,6,2,0,80.0,23,12,4,12,3,2,False
