App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isInvertCondition
apache/pulsar,29494905d677f1b525b2863c34d10f26ab7868ce,"v1.14, v1.15",managed-ledger.src.test.java.org.apache.bookkeeper.mledger.impl.ManagedCursorContainerTest.java,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,292,6,12,40,64,0.22,509,507,254,2,2,1,99.22,510,507,255,1,1,0,False
apache/pulsar,29494905d677f1b525b2863c34d10f26ab7868ce,"v1.14, v1.15",pulsar-broker.src.test.java.com.yahoo.pulsar.broker.loadbalance.SimpleLoadManagerImplTest.java,14,3,0,0,0,0,7,0,0,1,0,0,0,0,2.0,6.0,0,0,0,0,10,0,300,14,28,139,18,0.06,488,488,163,3,3,2,94.57,502,488,167,14,12,5,False
apache/pulsar,29494905d677f1b525b2863c34d10f26ab7868ce,"v1.14, v1.15",pulsar-client-tools.src.test.java.com.yahoo.pulsar.client.cli.PulsarClientToolTest.java,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,1,0,23,3,8,8,1,0.04,82,85,41,2,1,0,100.0,98,85,49,16,16,8,False
apache/pulsar,29494905d677f1b525b2863c34d10f26ab7868ce,"v1.14, v1.15",pulsar-broker.src.test.java.com.yahoo.pulsar.broker.service.ServerCnxTest.java,36,26,4,0,0,0,29,0,0,0,0,0,0,6,8.0,32.0,9,0,0,0,29,0,667,45,112,534,127,0.19,1221,1137,204,6,2,1,99.79,1323,1137,220,102,70,17,False
apache/pulsar,5125279b50f7a3da8c211b698580e1d2f4dd65e2,"v1.18, v1.19.0-incubating",pulsar-broker.src.test.java.org.apache.pulsar.broker.service.ReplicatorTest.java,16,2,7,0,0,0,14,0,0,0,0,0,0,6,,,1,0,0,0,14,0,472,25,79,239,29,0.06,3,3,1,3,2,0,54.12,44,23,15,41,23,14,False
apache/pulsar,5125279b50f7a3da8c211b698580e1d2f4dd65e2,"v1.18, v1.19.0-incubating",pulsar-broker.src.test.java.org.apache.pulsar.broker.service.PersistentTopicTest.java,21,9,1,0,0,0,18,0,0,0,0,1,0,2,9.0,58.0,3,4,0,0,18,0,556,39,114,431,40,0.07,32,19,6,5,3,0,47.56,98,29,20,66,24,13,False
apache/pulsar,5125279b50f7a3da8c211b698580e1d2f4dd65e2,"v1.18, v1.19.0-incubating",pulsar-broker.src.test.java.org.apache.pulsar.broker.service.BrokerServiceTest.java,16,12,5,0,0,0,14,0,0,0,0,2,0,3,10.0,36.0,5,0,0,0,14,0,618,16,60,242,60,0.1,26,20,5,5,2,0,54.81,65,25,13,39,22,8,False
apache/pulsar,5125279b50f7a3da8c211b698580e1d2f4dd65e2,"v1.18, v1.19.0-incubating",pulsar-broker.src.test.java.org.apache.pulsar.broker.namespace.NamespaceServiceTest.java,9,4,0,0,0,0,6,0,0,1,0,1,0,0,6.0,13.0,0,0,0,0,6,0,173,10,30,152,13,0.08,-5,4,-2,3,2,0,59.41,48,32,16,53,28,18,False
apache/pulsar,d3261ed4dc86f4cdf5ad6a246c532212f064967a,"v2.1.0-incubating-candidate-3, v2.1.0-incubating-candidate-4",pulsar-broker.src.test.java.org.apache.pulsar.broker.admin.NamespacesTest.java,28,12,1,1,0,0,21,0,0,0,0,1,0,0,11.0,25.0,8,0,0,0,21,0,810,59,136,423,59,0.07,41,41,41,1,1,0,100.0,57,57,57,16,16,16,False
apache/pulsar,c8cf25b023f0b2a81334d9fd94b0676b9f4ac0d7,"v2.2.0, v2.2.1-candidate-1",pulsar-broker-auth-athenz.src.test.java.org.apache.pulsar.broker.authentication.AuthenticationProviderAthenzTest.java,5,1,0,0,0,0,4,0,0,0,0,0,0,0,1.0,3.0,0,0,0,0,4,0,100,5,15,36,3,0.03,27,27,27,1,1,0,100.0,30,30,30,3,3,3,False
apache/pulsar,78125b0fc4c48fbf8bf737867085e8c347462029,"v2.3.0, v2.3.1-candidate-1",pulsar-client.src.test.java.org.apache.pulsar.client.impl.schema.KeyValueSchemaTest.java,8,8,0,0,0,0,0,0,0,0,0,0,0,0,8.0,56.0,0,0,0,0,8,0,152,8,8,108,46,0.3,116,116,58,2,2,1,97.62,142,140,71,26,24,13,False
apache/pulsar,78125b0fc4c48fbf8bf737867085e8c347462029,"v2.3.0, v2.3.1-candidate-1",pulsar-client.src.test.java.org.apache.pulsar.client.impl.schema.JSONSchemaTest.java,10,8,2,0,0,0,1,0,0,0,0,0,0,0,10.0,61.0,2,0,0,0,10,0,194,10,15,125,37,0.19,135,135,135,1,1,0,100.0,151,151,151,16,16,16,False
apache/pulsar,78125b0fc4c48fbf8bf737867085e8c347462029,"v2.3.0, v2.3.1-candidate-1",pulsar-client.src.test.java.org.apache.pulsar.client.impl.schema.AvroSchemaTest.java,7,7,2,0,0,0,2,0,0,0,0,0,0,0,7.0,27.0,0,0,0,0,7,0,153,7,14,112,25,0.16,224,74,56,4,3,0,51.23,234,74,58,10,9,2,False
apache/pulsar,cc746322d51cea14b04092370bcebf695721fe70,"v2.4.0, v2.4.1-candidate-1",pulsar-functions.worker.src.test.java.org.apache.pulsar.functions.worker.FunctionRuntimeManagerTest.java,6,6,2,0,0,0,6,0,0,0,0,0,0,0,6.0,32.0,1,0,0,0,6,0,355,13,43,326,36,0.1,-40,4,-20,2,2,0,94.74,37,32,18,77,76,38,False
apache/pulsar,cc746322d51cea14b04092370bcebf695721fe70,"v2.4.0, v2.4.1-candidate-1",pulsar-client.src.test.java.org.apache.pulsar.client.impl.schema.generic.GenericSchemaImplTest.java,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,6.0,0,5,2,0,5,0,100,9,17,68,6,0.06,56,55,19,3,2,1,98.92,121,117,40,65,62,22,False
apache/pulsar,cc746322d51cea14b04092370bcebf695721fe70,"v2.4.0, v2.4.1-candidate-1",pulsar-client.src.test.java.org.apache.pulsar.client.impl.schema.generic.MultiVersionSchemaInfoProviderTest.java,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,1,0,19,2,4,20,1,0.05,-1,0,0,2,2,0,69.23,6,4,3,7,5,4,False
