App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isReplacePipelineWithLoop
freeacs/freeacs,95e14ee45c714528161760fc8504c68b293a7b50,"1.0-RC1, freeacs-2.0.0-RC3",tr069.src.test.java.com.github.freeacs.tr069.PropertiesTest.java,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,0,0,0,0,4,0,46,5,6,32,4,0.09,86,70,43,2,1,0,100.0,89,70,44,3,3,2,False
freeacs/freeacs,68b6784521266f8042fcde91c83b382df80ef917,"freeacs-2.0.0-RC9, freeacs-2.0.0-RC10",stun.src.test.java.com.github.freeacs.stun.KickTest.java,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,21,4,9,4,2,0.1,7,7,7,1,1,0,100.0,12,12,12,5,5,5,False
freeacs/freeacs,f0dd00c4a4624738eb54cb7360b13df0b370b316,"v2.0.2, v2.0.3",stun.src.test.java.com.github.freeacs.stun.KickTest.java,4,1,0,0,0,0,3,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,3,0,35,4,12,29,4,0.11,-9,2,-4,2,1,0,100.0,23,20,12,32,31,16,False
freeacs/freeacs,f0dd00c4a4624738eb54cb7360b13df0b370b316,"v2.0.2, v2.0.3",syslog.src.test.java.com.github.freeacs.syslogserver.SyslogClientTest.java,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,66,7,21,16,0,0.0,-57,-57,-57,1,1,0,100.0,7,7,7,64,64,64,False
freeacs/freeacs,303829c24627e11065f7abefe1a7c842b9670894,"v2.0.3.6, v2.0.3.7",dbi.src.test.java.com.github.freeacs.dbi.JobsTest.java,2,1,0,0,0,0,2,0,0,0,0,0,0,0,2.0,3.0,0,0,0,0,2,0,39,2,6,21,6,0.15,60,34,30,2,1,0,100.0,75,49,38,15,15,8,False
freeacs/freeacs,303829c24627e11065f7abefe1a7c842b9670894,"v2.0.3.6, v2.0.3.7",dbi.src.test.java.com.github.freeacs.dbi.GroupsTest.java,2,1,0,0,0,0,2,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,2,0,21,2,6,11,4,0.19,42,28,21,2,1,0,100.0,45,31,22,3,3,2,False
freeacs/freeacs,303829c24627e11065f7abefe1a7c842b9670894,"v2.0.3.6, v2.0.3.7",dbi.src.test.java.com.github.freeacs.dbi.GroupParametersTest.java,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2.0,4.0,0,0,0,0,2,0,30,2,6,19,2,0.07,57,40,28,2,1,0,100.0,63,46,32,6,6,3,False
freeacs/freeacs,303829c24627e11065f7abefe1a7c842b9670894,"v2.0.3.6, v2.0.3.7",dbi.src.test.java.com.github.freeacs.dbi.FilesTest.java,2,1,0,0,0,0,2,0,1,0,0,0,0,0,2.0,7.0,0,0,0,1,2,0,25,2,6,15,3,0.12,44,30,22,2,1,0,100.0,47,33,24,3,3,2,False
freeacs/freeacs,303829c24627e11065f7abefe1a7c842b9670894,"v2.0.3.6, v2.0.3.7",dbi.src.test.java.com.github.freeacs.dbi.UnitJobsTest.java,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,22,1,3,13,2,0.09,37,26,18,2,1,0,100.0,39,28,20,2,2,1,False
freeacs/freeacs,303829c24627e11065f7abefe1a7c842b9670894,"v2.0.3.6, v2.0.3.7",dbi.src.test.java.com.github.freeacs.dbi.ACSUnitTest.java,5,3,0,0,0,0,5,0,0,0,0,0,0,0,4.0,7.0,0,1,0,0,5,0,73,5,15,44,10,0.14,123,130,62,2,1,0,100.0,166,130,83,43,43,22,False
freeacs/freeacs,303829c24627e11065f7abefe1a7c842b9670894,"v2.0.3.6, v2.0.3.7",dbi.src.test.java.com.github.freeacs.dbi.UnittypesTest.java,4,2,0,0,0,0,3,0,0,0,0,0,0,0,2.0,8.0,0,0,0,0,4,0,30,4,7,20,8,0.27,61,38,20,3,1,0,100.0,75,40,25,14,12,5,False
