App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isExtractClass
mongock/mongock,66f71f4c1f33ee08af63b1b18a9fed52c2eeb170,"mongock-5.0.1.BETA, mongock-5.0.24",mongock-core.mongock-runner.mongock-runner-core.src.test.java.io.mongock.runner.core.builder.RunnerBuilderBaseTest.java,12,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0,13.0,0,5,0,0,7,0,104.0,13.0,24.0,78.0,8.0,0.08,265,266,53,5,2,1,99.64,272,266,54,7,4,1,False
mongock/mongock,66f71f4c1f33ee08af63b1b18a9fed52c2eeb170,"mongock-5.0.1.BETA, mongock-5.0.24",mongock-core.mongock-driver.mongock-driver-core.src.test.java.io.mongock.driver.core.driver.ConnectionDriverBaseTest.java,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,1,0,0,1,0,47.0,1.0,2.0,3.0,0.0,0.0,117,117,23,5,2,1,99.24,124,117,25,7,6,1,False
mongock/mongock,66f71f4c1f33ee08af63b1b18a9fed52c2eeb170,"mongock-5.0.1.BETA, mongock-5.0.24",mongock-core.mongock-driver.mongock-driver-api.src.test.java.io.mongock.driver.api.entry.ChangeEntryServiceTest.java,14,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,2,0,116.0,14.0,26.0,59.0,27.0,0.23,254,185,42,6,2,1,97.12,283,205,47,29,20,5,False
mongock/mongock,4d8c4db9d1364000f12ebd291a2de013234f99cd,"mongock-5.0.24, mongock-5.0.28",mongock-core.mongock-driver.mongock-driver-api.src.test.java.io.mongock.driver.api.lock.guard.proxy.LockGuardProxyTest.java,20,0,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0.0,0,8,0,0,19,0,74.0,20.0,29.0,62.0,11.0,0.15,0,0,0,1,1,0,100.0,2,2,2,2,2,2,False
mongock/mongock,3d6386103553f1df79a8188976d8eadab38f1b48,"mongock-5.0.29, mongock-5.0.31",mongock-core.mongock-runner.mongock-runner-core.src.test.java.io.mongock.runner.core.builder.RunnerBuilderBaseTest.java,13,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,16.0,0,6,0,0,8,0,115.0,14.0,26.0,87.0,8.0,0.07,0,0,0,1,1,0,100.0,1,1,1,1,1,1,False
mongock/mongock,c8548d6663592ae3e25039fc8686cba5772a814f,"mongock-5.0.31, mongock-5.0.32",mongock-core.mongock-runner.mongock-runner-core.src.test.java.io.mongock.runner.core.ChangeLogServiceTest.java,28,21,0,0,0,0,0,0,0,0,0,0,0,0,12.0,24.0,8,1,0,0,24,0,369.0,28.0,42.0,313.0,204.0,0.55,15,15,15,1,1,0,100.0,23,23,23,8,8,8,False
mongock/mongock,fc0d2432eecb4871ad9c88fd46d8262cf3365ba8,"mongock-5.0.33, mongock-5.0.36",mongock-core.mongock-driver.mongock-driver-api.src.test.java.io.mongock.driver.api.entry.ChangeEntryServiceTest.java,14,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,2,0,113.0,14.0,26.0,59.0,27.0,0.24,0,0,0,1,1,0,100.0,2,2,2,2,2,2,False
mongock/mongock,fc0d2432eecb4871ad9c88fd46d8262cf3365ba8,"mongock-5.0.33, mongock-5.0.36",mongock-core.mongock-runner.mongock-runner-core.src.test.java.io.mongock.runner.core.builder.RunnerBuilderBaseTest.java,13,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,16.0,0,6,0,0,8,0,115.0,14.0,26.0,87.0,8.0,0.07,1,1,1,1,1,0,100.0,2,2,2,1,1,1,False
mongock/mongock,fc0d2432eecb4871ad9c88fd46d8262cf3365ba8,"mongock-5.0.33, mongock-5.0.36",mongock-core.mongock-driver.mongock-driver-core.src.test.java.io.mongock.driver.core.driver.ConnectionDriverBaseTest.java,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,1,0,0,1,0,47.0,1.0,2.0,3.0,0.0,0.0,1,1,1,1,1,0,100.0,4,4,4,3,3,3,False
mongock/mongock,3fc74b200aec63848a864644fd62e0b2cde0267e,"mongock-5.0.36, mongock-5.0.37",mongock-core.mongock-runner.mongock-runner-core.src.test.java.io.mongock.runner.core.executor.MongockRunnerTest.java,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,8,0,67.0,10.0,16.0,45.0,0.0,0.0,0,0,0,2,1,0,100.0,9,8,4,9,8,4,False
mongock/mongock,3fc74b200aec63848a864644fd62e0b2cde0267e,"mongock-5.0.36, mongock-5.0.37",mongock-core.mongock-runner.mongock-runner-core.src.test.java.io.mongock.runner.core.builder.RunnerBuilderBaseTest.java,13,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,16.0,0,6,0,0,8,0,115.0,14.0,26.0,87.0,8.0,0.07,-2,0,-1,2,1,0,100.0,14,12,7,16,12,8,False
