App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isPushDownMethod
locationtech/jts,89c16d49e917385d9f46e6596d0ba28d5765e874,"1.16.0-RC1, 1.16.1",modules.core.src.test.java.org.locationtech.jts.geom.impl.CoordinateArraySequenceTest.java,6,3,0,1,0,0,0,0,0,0,0,0,0,0,3.0,28.0,2,0,0,0,3,0,146.0,7.0,9.0,39.0,76.0,0.52,43,41,22,2,1,0,100.0,52,49,26,9,8,4,False
locationtech/jts,bac855f9fe3a75af523b43f95f4b9a09b4ab5359,"jts-1.15.0, jts-1.15.1",modules.core.src.test.java.org.locationtech.jts.geom.CoordinateSequencesTest.java,26,0,0,1,0,0,0,0,0,7,0,0,0,0,2.0,4.0,0,7,0,0,9,0,263.0,27.0,55.0,113.0,17.0,0.06,350,350,350,1,1,0,100.0,355,355,355,5,5,5,False
locationtech/jts,d3d91aba0c81d38fd80e172524aa9e2385db87f9,"jts-1.15.1, jts-1.16.0",modules.core.src.test.java.org.locationtech.jts.geom.impl.CoordinateArraySequenceTest.java,6,3,0,1,0,0,0,0,0,0,0,0,0,0,3.0,27.0,2,0,0,0,3,0,145.0,7.0,9.0,38.0,75.0,0.52,157,101,52,3,1,0,100.0,165,101,55,8,8,3,False
locationtech/jts,d3d91aba0c81d38fd80e172524aa9e2385db87f9,"jts-1.15.1, jts-1.16.0",modules.core.src.test.java.org.locationtech.jts.io.WKTReaderTest.java,15,9,0,1,0,0,10,0,0,0,0,0,0,0,9.0,60.0,0,0,0,0,10,0,271.0,16.0,37.0,116.0,79.0,0.29,326,344,82,4,2,0,83.37,605,423,151,279,101,70,False
locationtech/jts,d3d91aba0c81d38fd80e172524aa9e2385db87f9,"jts-1.15.1, jts-1.16.0",modules.core.src.test.java.org.locationtech.jts.io.WKBReaderTest.java,10,0,0,1,0,0,7,0,0,0,0,0,0,0,0.0,0.0,0,7,0,0,7,0,88.0,11.0,22.0,15.0,1.0,0.01,12,14,6,2,1,0,100.0,21,18,10,9,5,4,False
locationtech/jts,d3d91aba0c81d38fd80e172524aa9e2385db87f9,"jts-1.15.1, jts-1.16.0",modules.core.src.test.java.org.locationtech.jts.geom.CoordinateTest.java,23,14,0,1,0,0,0,0,0,0,0,0,0,0,11.0,32.0,3,0,0,0,20,0,188.0,24.0,26.0,72.0,57.0,0.3,76,76,25,3,1,0,100.0,83,77,28,7,5,2,False
locationtech/jts,cbf6430e56ec25de5b2b0d078d6b021ca5b6f381,"jts-1.17.1, jts-1.18.0",modules.core.src.test.java.org.locationtech.jts.precision.GeometryPrecisionReducerTest.java,29,0,0,1,0,0,19,0,0,0,0,0,0,0,0.0,0.0,0,19,0,0,19,0,122.0,30.0,51.0,42.0,6.0,0.05,101,39,34,3,1,0,100.0,169,66,56,68,40,23,False
locationtech/jts,cbf6430e56ec25de5b2b0d078d6b021ca5b6f381,"jts-1.17.1, jts-1.18.0",modules.core.src.test.java.org.locationtech.jts.io.WKBWriterTest.java,9,1,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0.0,1,5,0,0,6,0,65.0,10.0,12.0,20.0,8.0,0.12,53,29,26,2,1,0,100.0,102,74,51,49,45,24,False
locationtech/jts,cbf6430e56ec25de5b2b0d078d6b021ca5b6f381,"jts-1.17.1, jts-1.18.0",modules.core.src.test.java.org.locationtech.jts.operation.overlayng.CoverageUnionTest.java,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,8,0,0,8,0,47.0,11.0,11.0,12.0,0.0,0.0,73,68,36,2,1,0,100.0,75,68,38,2,2,1,False
locationtech/jts,cbf6430e56ec25de5b2b0d078d6b021ca5b6f381,"jts-1.17.1, jts-1.18.0",modules.core.src.test.java.org.locationtech.jts.operation.overlayng.OverlayNGRobustTest.java,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,0,0,3,0,55.0,8.0,12.0,12.0,0.0,0.0,88,64,44,2,1,0,100.0,95,64,48,7,7,4,False
