App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isSplitConditionalStatementinAssertions
dromara/sureness,35b20897d51f29b333a0207dab4a6de6e7b3298a,"sureness-root-0.0.2, sureness-root-0.0.2.4",core.src.test.java.com.usthe.sureness.matcher.util.TirePathTreeTest.java,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0,0,0,0,2,0,64.0,4.0,5.0,9.0,21.0,0.33,24,11,5,5,1,0,100.0,57,29,11,33,20,7,False
dromara/sureness,35b20897d51f29b333a0207dab4a6de6e7b3298a,"sureness-root-0.0.2, sureness-root-0.0.2.4",sample-tom.src.test.java.com.usthe.sureness.sample.tom.dao.AuthResourceDaoTest.java,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5,0,39.0,5.0,5.0,54.0,5.0,0.13,23,23,12,2,1,0,100.0,27,23,14,4,4,2,False
dromara/sureness,8831ea3c5c2d6185d5a24e5d6e79e95f1deb8b1e,"sureness-root-0.0.2.4, sureness-root-0.0.2.6",sample-tom.src.test.java.com.usthe.sureness.sample.tom.dao.AuthUserRoleBindDaoTest.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3,0,33.0,3.0,3.0,34.0,3.0,0.09,0,0,0,2,1,0,100.0,2,1,1,2,1,1,False
dromara/sureness,8831ea3c5c2d6185d5a24e5d6e79e95f1deb8b1e,"sureness-root-0.0.2.4, sureness-root-0.0.2.6",sample-tom.src.test.java.com.usthe.sureness.sample.tom.dao.AuthUserDaoTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2,0,18.0,2.0,2.0,20.0,2.0,0.11,0,0,0,2,1,0,100.0,2,1,1,2,1,1,False
dromara/sureness,8831ea3c5c2d6185d5a24e5d6e79e95f1deb8b1e,"sureness-root-0.0.2.4, sureness-root-0.0.2.6",sample-tom.src.test.java.com.usthe.sureness.sample.tom.dao.AuthRoleResourceBindDaoTest.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3,0,33.0,3.0,3.0,34.0,3.0,0.09,0,0,0,2,1,0,100.0,2,1,1,2,1,1,False
dromara/sureness,8831ea3c5c2d6185d5a24e5d6e79e95f1deb8b1e,"sureness-root-0.0.2.4, sureness-root-0.0.2.6",sample-tom.src.test.java.com.usthe.sureness.sample.tom.dao.AuthRoleDaoTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2,0,18.0,2.0,2.0,20.0,2.0,0.11,0,0,0,2,1,0,100.0,2,1,1,2,1,1,False
dromara/sureness,8831ea3c5c2d6185d5a24e5d6e79e95f1deb8b1e,"sureness-root-0.0.2.4, sureness-root-0.0.2.6",sample-tom.src.test.java.com.usthe.sureness.sample.tom.dao.AuthResourceDaoTest.java,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5,0,39.0,5.0,5.0,54.0,5.0,0.13,0,1,0,2,1,0,100.0,5,4,2,5,3,2,False
dromara/sureness,8831ea3c5c2d6185d5a24e5d6e79e95f1deb8b1e,"sureness-root-0.0.2.4, sureness-root-0.0.2.6",sample-tom.src.test.java.com.usthe.sureness.sample.tom.TomApplicationTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,-4,-1,-2,2,1,0,100.0,2,1,1,6,4,3,False
dromara/sureness,7c365df4aad9ba383053e366a93f50e0d593247b,"sureness-root-0.0.2.8-pre, sureness-root-0.0.2.8",core.src.test.java.com.usthe.sureness.matcher.DefaultPathRoleMatcherTest.java,6,2,0,0,0,0,0,4,0,0,0,0,0,0,4.0,5.0,0,2,0,0,4,0,76.0,6.0,10.0,41.0,4.0,0.05,7,7,7,1,1,0,100.0,9,9,9,2,2,2,False
dromara/sureness,51642cad196054b7cc5e043e3262af9891165284,"sureness-root-0.2, sureness-root-0.3",core.src.test.java.com.usthe.sureness.util.SurenessCommonUtilTest.java,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,22.0,2.0,3.0,14.0,4.0,0.18,1,1,1,1,1,0,100.0,3,3,3,2,2,2,False
