App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isMoveMethod
restx/restx,8eed60186795c4d5c79b2c9fd50ca8a9bf158f63,"0.2.3, _invert",restx-factory.src.test.java.restx.factory.FilteredWarehouseTest.java,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,0,0,0,0,2,0,195,17,38,121,68,0.35,377,280,126,3,1,0,100.0,399,280,133,22,19,7,False
restx/restx,8eed60186795c4d5c79b2c9fd50ca8a9bf158f63,"0.2.3, _invert",restx-factory.src.test.java.restx.factory.StdWarehouseTest.java,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2.0,6.0,2,0,0,0,2,0,27,2,4,21,10,0.37,-3,0,0,7,4,0,37.04,12,3,2,15,4,2,False
restx/restx,8eed60186795c4d5c79b2c9fd50ca8a9bf158f63,"0.2.3, _invert",restx-server-simple.src.test.java.restx.server.simple.SimpleWebServerTest.java,4,4,1,0,0,0,4,0,1,0,0,0,0,0,4.0,61.0,3,0,0,1,4,0,118,6,16,100,38,0.32,149,112,12,12,3,1,91.86,222,145,18,73,33,6,False
restx/restx,8eed60186795c4d5c79b2c9fd50ca8a9bf158f63,"0.2.3, _invert",restx-factory.src.test.java.restx.factory.FactoryTest.java,7,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,38.0,0,0,0,0,6,0,372,57,132,355,67,0.18,376,84,16,24,3,1,53.61,396,84,16,20,3,1,False
restx/restx,8eed60186795c4d5c79b2c9fd50ca8a9bf158f63,"0.2.3, _invert",restx-core.src.test.java.restx.specs.RestxSpecTest.java,3,2,0,0,0,0,2,0,0,0,0,0,0,0,2.0,0.0,1,0,0,1,2,0,28,5,11,14,5,0.18,55,40,9,6,3,0,85.26,75,40,12,20,6,3,False
restx/restx,8eed60186795c4d5c79b2c9fd50ca8a9bf158f63,"0.2.3, _invert",restx-core.src.test.java.restx.specs.RestxSpecRepositoryTest.java,7,3,0,0,0,0,3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0,40,7,19,33,8,0.2,7,5,1,8,4,0,46.51,25,9,3,18,8,2,False
restx/restx,8eed60186795c4d5c79b2c9fd50ca8a9bf158f63,"0.2.3, _invert",restx-samplest.src.test.java.samplest.security.SecuredResourceTest.java,6,4,0,0,0,0,5,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,5,0,41,6,11,60,12,0.29,80,27,13,6,1,0,100.0,86,27,14,6,3,1,False
restx/restx,8eed60186795c4d5c79b2c9fd50ca8a9bf158f63,"0.2.3, _invert",restx-common.src.test.java.restx.common.MustachesTest.java,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,1,0,9,1,2,5,1,0.11,0,0,0,4,3,0,40.0,5,2,1,5,2,1,False
restx/restx,8eed60186795c4d5c79b2c9fd50ca8a9bf158f63,"0.2.3, _invert",restx-common.src.test.java.restx.common.StdRestxConfigTest.java,5,5,0,0,0,0,5,0,0,0,0,0,0,0,5.0,39.0,0,0,0,0,5,0,55,5,10,70,35,0.64,103,70,21,5,2,0,88.62,113,70,23,10,6,2,False
restx/restx,8eed60186795c4d5c79b2c9fd50ca8a9bf158f63,"0.2.3, _invert",restx-classloader.src.test.java.restx.classloader.CompilationManagerTest.java,6,4,0,0,0,0,4,0,2,0,0,0,0,0,2.0,9.0,4,0,0,2,4,0,70,8,14,44,16,0.23,118,87,39,3,2,1,96.83,122,87,41,4,2,1,False
restx/restx,0bd3bd8b97ec9aadec0d949b06808a0c53f0dddf,"restx-parent-0.2.8, restx-parent-0.2.9",restx-core.src.test.java.restx.specs.RestxSpecRepositoryTest.java,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0,37,6,17,29,8,0.22,2,2,1,2,1,0,100.0,11,8,6,9,8,4,False
restx/restx,694ed1158063ff6c5985b8c40a6feb8d9a0bd34a,"restx-parent-0.2.9, restx-parent-0.2.9.1",restx-classloader.src.test.java.restx.classloader.CompilationManagerTest.java,6,4,0,0,0,0,4,0,2,0,0,0,0,0,2.0,9.0,4,0,0,2,4,0,70,8,14,44,16,0.23,31,31,31,1,1,0,100.0,33,33,33,2,2,2,False
restx/restx,53488f354b55761e7397ba68f1e5ec67eba6aa83,"restx-parent-0.2.9.2, restx-parent-0.30",restx-core.src.test.java.restx.specs.RestxSpecTest.java,3,2,0,0,0,0,2,0,0,0,0,0,0,0,2.0,0.0,1,0,0,1,2,0,28,5,11,14,5,0.18,15,15,15,1,1,0,100.0,21,21,21,6,6,6,False
restx/restx,53488f354b55761e7397ba68f1e5ec67eba6aa83,"restx-parent-0.2.9.2, restx-parent-0.30",restx-common.src.test.java.restx.common.StdRestxConfigTest.java,5,5,0,0,0,0,5,0,0,0,0,0,0,0,5.0,39.0,0,0,0,0,5,0,55,5,10,70,35,0.64,103,70,34,3,1,0,100.0,106,70,35,3,3,1,False
