App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isRemoveMethodAnnotation
thorntail/thorntail,b37a073c19b052ec01cf726bfa8dfb97d4fa00b5,"1.0.0.CR1, 1.0.0.CR2",container.api.src.test.java.org.wildfly.swarm.cli.OptionTest.java,6,6,1,0,0,0,6,0,0,0,0,0,0,0,,,0,0,0,0,6,0,56,6,14,46,12,0.21,141,124,70,2,1,0,100.0,174,124,87,33,33,16,False
thorntail/thorntail,b37a073c19b052ec01cf726bfa8dfb97d4fa00b5,"1.0.0.CR1, 1.0.0.CR2",container.api.src.test.java.org.wildfly.swarm.cli.CommandLineTest.java,7,7,0,0,0,0,7,0,0,0,0,0,0,0,7.0,49.0,0,0,0,0,7,0,61,7,14,49,35,0.57,103,102,52,2,1,0,100.0,137,102,68,34,34,17,False
thorntail/thorntail,bbbbc817233b02e9869f16bd62a1f21cc3cdefe0,"1.0.0.CR3, 1.0.0.Final",tools.src.test.java.org.wildfly.swarm.tools.FractionUsageAnalyzerTest.java,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,30,6,17,15,0,0.0,0,0,0,1,1,0,100.0,2,2,2,2,2,2,False
thorntail/thorntail,854236db8997687a8be31837d09248e2dc2ddd3d,"1.0.2.Final, 2.0.0.Final",fractions.javaee.jaxrs.src.test.java.org.wildfly.swarm.jaxrs.runtime.DefaultApplicationDeploymentProcessorTest.java,7,2,0,0,0,0,7,0,0,0,0,0,0,0,0.0,7.0,0,0,0,0,7,0,77,7,17,54,9,0.12,146,129,49,3,3,0,83.77,150,129,50,4,4,1,False
thorntail/thorntail,854236db8997687a8be31837d09248e2dc2ddd3d,"1.0.2.Final, 2.0.0.Final",fractions.monitor.src.test.java.org.wildfly.swarm.monitor.MonitorTest.java,2,1,0,0,0,0,0,0,0,1,0,1,0,0,,,1,0,0,0,2,0,39,2,2,11,7,0.18,62,44,5,13,4,2,84.75,90,44,7,28,16,2,False
thorntail/thorntail,854236db8997687a8be31837d09248e2dc2ddd3d,"1.0.2.Final, 2.0.0.Final",fractions.javaee.jaxrs.src.test.java.org.wildfly.swarm.jaxrs.JAXRSArchiveTest.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3,0,20,3,3,15,3,0.15,-18,29,-3,7,4,1,55.74,52,29,7,70,68,10,False
thorntail/thorntail,854236db8997687a8be31837d09248e2dc2ddd3d,"1.0.2.Final, 2.0.0.Final",fractions.topology.src.test.java.org.wildfly.swarm.topology.runtime.AdvertisingMetadataProcessorTest.java,4,2,0,0,0,0,3,0,0,0,0,0,0,0,0.0,3.0,2,0,0,0,3,0,41,4,11,35,6,0.15,97,83,19,5,2,1,100.0,105,83,21,8,7,2,False
thorntail/thorntail,854236db8997687a8be31837d09248e2dc2ddd3d,"1.0.2.Final, 2.0.0.Final",fractions.javaee.undertow.src.test.java.org.wildfly.swarm.undertow.runtime.HttpSecurityPreparerTest.java,11,6,0,0,0,0,8,0,0,0,0,0,0,0,0.0,8.0,0,0,0,0,8,0,117,11,24,124,18,0.15,218,123,27,8,5,1,35.85,314,123,39,96,72,12,False
thorntail/thorntail,854236db8997687a8be31837d09248e2dc2ddd3d,"1.0.2.Final, 2.0.0.Final",fractions.javaee.undertow.src.test.java.org.wildfly.swarm.undertow.runtime.ContextPathArchivePreparerTest.java,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0.0,4.0,4,0,0,0,4,0,53,4,8,43,16,0.3,112,70,19,6,3,0,46.05,132,70,22,20,11,3,False
thorntail/thorntail,854236db8997687a8be31837d09248e2dc2ddd3d,"1.0.2.Final, 2.0.0.Final",core.container.src.test.java.org.wildfly.swarm.container.config.MapConfigNodeFactoryTest.java,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,42,1,1,7,7,0.17,62,47,21,3,1,0,100.0,66,47,22,4,4,1,False
thorntail/thorntail,854236db8997687a8be31837d09248e2dc2ddd3d,"1.0.2.Final, 2.0.0.Final",fractions.javaee.undertow.src.test.java.org.wildfly.swarm.undertow.runtime.HTTPSCustomizerTest.java,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0.0,2.0,0,0,0,0,2,0,44,3,8,33,14,0.32,91,70,30,3,2,0,77.98,100,70,33,9,9,3,False
thorntail/thorntail,854236db8997687a8be31837d09248e2dc2ddd3d,"1.0.2.Final, 2.0.0.Final",fractions.javaee.undertow.src.test.java.org.wildfly.swarm.undertow.runtime.CertInfoProducerTest.java,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0,0,0,0,3,0,34,4,8,18,6,0.18,85,52,21,4,3,1,78.82,85,52,21,0,0,0,False
thorntail/thorntail,854236db8997687a8be31837d09248e2dc2ddd3d,"1.0.2.Final, 2.0.0.Final",tools.src.test.java.org.wildfly.swarm.tools.DependencyManagerTest.java,10,6,0,0,0,0,6,0,0,0,0,0,0,0,5.0,20.0,0,0,0,0,6,0,116,10,29,68,27,0.23,-50,19,-10,5,2,0,71.33,254,132,51,304,207,61,False
thorntail/thorntail,854236db8997687a8be31837d09248e2dc2ddd3d,"1.0.2.Final, 2.0.0.Final",fractions.swagger.src.test.java.org.wildfly.swarm.swagger.SwaggerArchiveTest.java,5,2,0,0,0,0,3,0,0,0,0,1,0,0,,,2,0,0,0,4,0,42,5,9,47,11,0.26,27,25,5,5,3,2,96.77,29,26,6,2,1,0,False
thorntail/thorntail,dda96fa4824988b94125cfa03f0f6d822d321717,"2.0.0.Final, 2.1.0.Final",fractions.microprofile.microprofile-openapi.src.test.java.org.wildfly.swarm.microprofile.openapi.runtime.OpenApiDeploymentProcessorTest.java,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0,0.0,0,3,0,0,3,0,160,7,20,22,3,0.02,2,2,2,1,1,0,100.0,11,11,11,9,9,9,False
thorntail/thorntail,1cbaec531e8a8147481c5570b9f82c4a03bddb58,"2.2.0.Final, 2.2.1.Final",core.container.src.test.java.org.wildfly.swarm.container.runtime.ConfigurableManagerTest.java,6,2,0,0,0,0,6,0,0,0,0,0,0,0,2.0,8.0,2,0,0,0,6,0,147,6,14,54,8,0.05,82,82,82,1,1,0,100.0,86,86,86,4,4,4,False
