App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isAddClassAnnotation
ontodev/robot,586718218b26cbcd1587037903db4a18f40a9334,"v1.0.0, v1.1.0",robot-core.src.test.java.org.obolibrary.robot.ReasonerHelperTest.java,5,1,1,0,0,0,5,0,0,0,1,0,0,0,0.0,5.0,0,0,0,0,5,0,119.0,5.0,24.0,40.0,9.0,0.08,55,44,18,3,2,1,97.01,61,44,20,6,5,2,False
ontodev/robot,586718218b26cbcd1587037903db4a18f40a9334,"v1.0.0, v1.1.0",robot-core.src.test.java.org.obolibrary.robot.ReduceOperationTest.java,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0.0,8.0,0,0,0,0,8,0,105.0,8.0,26.0,31.0,8.0,0.08,32,18,6,5,2,0,62.82,55,20,11,23,10,5,False
ontodev/robot,21a135eade86752c9cf69c7550a81377b4a0a6dc,"v1.2.0-alpha-1, v1.2.0",robot-core.src.test.java.org.obolibrary.robot.ReasonerHelperTest.java,5,1,1,0,0,0,5,0,0,0,1,0,0,0,0.0,5.0,0,0,0,0,5,0,120.0,5.0,24.0,41.0,9.0,0.08,-10,-10,-10,1,1,0,100.0,17,17,17,27,27,27,False
ontodev/robot,21a135eade86752c9cf69c7550a81377b4a0a6dc,"v1.2.0-alpha-1, v1.2.0",robot-core.src.test.java.org.obolibrary.robot.ReasonOperationTest.java,13,1,1,0,0,0,12,0,0,0,0,0,0,0,3.0,14.0,0,0,0,0,12,0,204.0,13.0,41.0,67.0,17.0,0.08,1,1,1,1,1,0,100.0,6,6,6,5,5,5,False
ontodev/robot,21a135eade86752c9cf69c7550a81377b4a0a6dc,"v1.2.0-alpha-1, v1.2.0",robot-core.src.test.java.org.obolibrary.robot.OntologyHelperTest.java,5,2,1,0,0,0,5,0,0,0,0,2,0,0,1.0,0.0,1,0,0,0,5,0,80.0,5.0,13.0,41.0,10.0,0.13,9,9,9,1,1,0,100.0,18,18,18,9,9,9,False
ontodev/robot,21a135eade86752c9cf69c7550a81377b4a0a6dc,"v1.2.0-alpha-1, v1.2.0",robot-core.src.test.java.org.obolibrary.robot.MirrorOperationTest.java,2,1,1,0,0,0,2,0,1,0,0,0,0,0,0.0,0.0,0,1,0,1,2,0,46.0,2.0,7.0,13.0,5.0,0.11,-3,-3,-3,1,1,0,100.0,13,13,13,16,16,16,False
ontodev/robot,21a135eade86752c9cf69c7550a81377b4a0a6dc,"v1.2.0-alpha-1, v1.2.0",robot-core.src.test.java.org.obolibrary.robot.MergeOperationTest.java,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,2.0,0,0,0,0,2,0,27.0,2.0,4.0,7.0,2.0,0.07,-3,-3,-3,1,1,0,100.0,3,3,3,6,6,6,False
ontodev/robot,21a135eade86752c9cf69c7550a81377b4a0a6dc,"v1.2.0-alpha-1, v1.2.0",robot-core.src.test.java.org.obolibrary.robot.DiffOperationTest.java,3,2,0,0,0,0,3,0,0,2,1,2,0,0,0.0,2.0,0,0,0,0,3,0,51.0,3.0,8.0,28.0,5.0,0.1,24,23,12,2,1,0,100.0,26,23,13,2,2,1,False
ontodev/robot,930fdc054ec7beab72e338e22ef4e2c4d6bd584b,"v1.2.0, v1.3.0",robot-core.src.test.java.org.obolibrary.robot.RelatedObjectsHelperTest.java,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2.0,0.0,0,0,0,0,2,0,52.0,2.0,4.0,20.0,4.0,0.08,2,2,2,1,1,0,100.0,2,2,2,0,0,0,False
ontodev/robot,a8355bdc15f979cff8abc5b1a59cac5fd669c14f,"v1.3.0, v1.4.0",robot-core.src.test.java.org.obolibrary.robot.ExtractOperationTest.java,11,1,1,0,0,0,9,0,0,0,0,0,0,0,2.0,2.0,1,8,1,0,10,0,139.0,11.0,24.0,34.0,7.0,0.05,29,29,29,1,1,0,100.0,34,34,34,5,5,5,False
ontodev/robot,a8355bdc15f979cff8abc5b1a59cac5fd669c14f,"v1.3.0, v1.4.0",robot-core.src.test.java.org.obolibrary.robot.ReasonOperationTest.java,17,5,1,0,0,0,16,0,0,0,0,0,0,0,7.0,23.0,0,0,0,0,16,0,223.0,17.0,38.0,91.0,27.0,0.12,55,78,11,5,2,1,98.98,174,130,35,119,52,24,False
ontodev/robot,a454b512fe9fdd7c57f832c6c2bf2d62e82a7347,"v1.4.0, v1.4.1",robot-core.src.test.java.org.obolibrary.robot.TemplateHelperTest.java,8,5,5,0,0,0,7,0,0,0,0,4,0,0,2.0,0.0,1,0,0,0,7,0,175.0,8.0,27.0,53.0,13.0,0.07,2,2,2,1,1,0,100.0,11,11,11,9,9,9,False
ontodev/robot,7787ce50cefaa00e263588b747ad4c9eb05c0ec3,"v1.4.3, v1.5.0",robot-core.src.test.java.org.obolibrary.robot.RelatedObjectsHelperTest.java,8,7,0,0,0,0,7,0,0,0,0,0,0,0,2.0,5.0,0,0,0,0,7,0,113.0,8.0,19.0,56.0,15.0,0.13,91,87,46,2,1,0,100.0,107,95,54,16,8,8,False
ontodev/robot,ab40b6bf243c477e4dcf1c1f31731c40837b38b1,"v1.5.0, v1.6.0",robot-core.src.test.java.org.obolibrary.robot.QueryOperationTest.java,7,2,2,0,0,0,7,0,0,0,0,2,0,0,7.0,21.0,0,0,0,0,7,0,115.0,7.0,16.0,51.0,9.0,0.08,3,3,3,1,1,0,100.0,5,5,5,2,2,2,False
ontodev/robot,ab40b6bf243c477e4dcf1c1f31731c40837b38b1,"v1.5.0, v1.6.0",robot-core.src.test.java.org.obolibrary.robot.IOHelperTest.java,11,1,0,0,0,0,11,0,5,0,0,1,0,0,7.0,17.0,2,1,0,3,11,0,153.0,11.0,22.0,57.0,19.0,0.12,-5,2,-2,2,1,0,100.0,10,8,5,15,9,8,False
ontodev/robot,a8182fbaa597f73bfa4b9348de2eb689378f21b8,"v1.6.0, v1.7.0",robot-core.src.test.java.org.obolibrary.robot.MireotOperationTest.java,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,3,0,38.0,3.0,7.0,11.0,1.0,0.03,16,16,16,1,1,0,100.0,24,24,24,8,8,8,False
ontodev/robot,a8182fbaa597f73bfa4b9348de2eb689378f21b8,"v1.6.0, v1.7.0",robot-core.src.test.java.org.obolibrary.robot.TemplateTest.java,5,0,2,0,0,0,5,0,0,0,0,0,0,0,0.0,4.0,0,0,0,0,5,0,97.0,5.0,16.0,54.0,9.0,0.09,0,0,0,1,1,0,100.0,17,17,17,17,17,17,False
ontodev/robot,a8182fbaa597f73bfa4b9348de2eb689378f21b8,"v1.6.0, v1.7.0",robot-core.src.test.java.org.obolibrary.robot.QueryOperationTest.java,7,2,2,0,0,0,7,0,0,0,0,2,0,0,7.0,21.0,0,0,0,0,7,0,115.0,7.0,16.0,51.0,9.0,0.08,0,1,0,3,1,0,100.0,5,2,2,5,4,2,False
ontodev/robot,372416d20aed418dfad390c5d94e3155c26e58b0,"v1.8.1, v1.8.2",robot-core.src.test.java.org.obolibrary.robot.QueryOperationTest.java,7,2,2,0,0,0,7,0,0,0,0,2,0,0,7.0,21.0,0,0,0,0,7,0,116.0,7.0,16.0,51.0,9.0,0.08,-3,-3,-3,1,1,0,100.0,2,2,2,5,5,5,False
ontodev/robot,372416d20aed418dfad390c5d94e3155c26e58b0,"v1.8.1, v1.8.2",robot-core.src.test.java.org.obolibrary.robot.DiffOperationTest.java,3,2,0,0,0,0,3,0,0,0,1,2,0,0,0.0,2.0,0,0,0,0,3,0,54.0,3.0,8.0,30.0,5.0,0.09,9,5,4,2,1,0,100.0,15,8,8,6,4,3,False
ontodev/robot,b63ae37a7d4744675c1b3eb52a960abf1cf876a3,"v1.9.0, v1.9.1-elk-0.5.0",robot-core.src.test.java.org.obolibrary.robot.MergeOperationTest.java,5,3,1,0,0,0,5,0,0,0,0,0,0,0,0.0,5.0,0,0,0,0,5,0,74.0,5.0,11.0,28.0,13.0,0.18,0,0,0,1,1,0,100.0,2,2,2,2,2,2,False
ontodev/robot,a42fe9f0e8c5403ec5f2ba19d88210764f92cec6,"v1.9.3, v1.9.4",robot-core.src.test.java.org.obolibrary.robot.ReasonerHelperTest.java,5,1,3,0,0,0,5,0,0,0,1,0,0,0,0.0,5.0,0,0,0,0,5,0,124.0,5.0,24.0,43.0,9.0,0.07,12,12,12,1,1,0,100.0,28,28,28,16,16,16,False
