App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isRemoveClassAnnotation
sofastack/sofa-rpc,42e63bd143236e055024a5c4c0e87dbed6ddf4f0,"v5.4.0, v5.4.1",extension-impl.remoting-resteasy.src.test.java.com.alipay.sofa.rpc.server.rest.RestServerTest.java,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1,0,0,0,1,0,44,3,3,10,10,0.23,20,20,20,1,1,0,100.0,31,31,31,11,11,11,False
sofastack/sofa-rpc,42e63bd143236e055024a5c4c0e87dbed6ddf4f0,"v5.4.0, v5.4.1",core.api.src.test.java.com.alipay.sofa.rpc.server.ServerFactoryTest.java,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,1,0,21,1,2,8,3,0.14,-5,-5,-5,1,1,0,100.0,3,3,3,8,8,8,False
sofastack/sofa-rpc,42e63bd143236e055024a5c4c0e87dbed6ddf4f0,"v5.4.0, v5.4.1",core.api.src.test.java.com.alipay.sofa.rpc.common.SystemInfoTest.java,7,3,2,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,0,0,0,0,6,0,65,7,12,27,11,0.17,27,27,27,1,1,0,100.0,33,33,33,6,6,6,False
sofastack/sofa-rpc,a0533198cf3a4a8dac85b24d992dd8229d0c82d8,"v5.4.4, v5.4.5",core.api.src.test.java.com.alipay.sofa.rpc.filter.FilterChainTest.java,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,1,0,33,1,1,14,3,0.09,11,11,11,1,1,0,100.0,21,21,21,10,10,10,False
sofastack/sofa-rpc,19b8ab9021ceac13592e1ba09c12eaea8d432787,"v5.4.5, v5.4.6",extension-impl.codec-sofa-hessian.src.test.java.com.alipay.sofa.rpc.codec.sofahessian.SofaHessianSerializerTest.java,5,4,0,0,0,0,2,0,0,0,0,0,0,0,4.0,16.0,2,0,0,0,4,0,119,8,14,51,28,0.24,-16,-16,-16,1,1,0,100.0,0,0,0,16,16,16,False
sofastack/sofa-rpc,19b8ab9021ceac13592e1ba09c12eaea8d432787,"v5.4.5, v5.4.6",extension-impl.registry-zk.src.test.java.com.alipay.sofa.rpc.registry.zk.ZookeeperRegistryTest.java,5,2,0,0,0,0,3,1,0,0,0,0,0,0,3.0,5.0,3,0,0,0,3,0,203,5,9,83,15,0.07,2,2,2,1,1,0,100.0,16,16,16,14,14,14,False
sofastack/sofa-rpc,aa692c4a514c52e77b6d3ce4c67c776d50668090,"v5.4.7, v5.4.8",extension-impl.registry-local.src.test.java.com.alipay.sofa.rpc.registry.local.LocalRegistryTest.java,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,1,0,0,2,1,0,158,5,11,71,28,0.18,3,3,3,1,1,0,100.0,6,6,6,3,3,3,False
sofastack/sofa-rpc,dca5eff72acc0a2ad3e0e22ed228defe785c1cb5,"v5.5.6, v5.5.7",extension-impl.registry-mesh.src.test.java.com.alipay.sofa.rpc.registry.mesh.MeshRegistryTest.java,4,2,0,0,0,0,2,0,0,0,0,0,0,2,1.0,3.0,1,0,0,0,2,0,159,4,9,74,10,0.06,2,2,2,1,1,0,100.0,6,6,6,4,4,4,False
sofastack/sofa-rpc,f38b068681a6ad510fb6c8df9b53895d28d2faf5,"v5.6.0, v5.6.1",extension-impl.registry-mesh.src.test.java.com.alipay.sofa.rpc.registry.mesh.MeshRegistryTest.java,4,2,0,0,0,0,2,0,0,0,0,0,0,2,1.0,3.0,1,0,0,0,2,0,159,4,9,74,10,0.06,2,2,2,1,1,0,100.0,6,6,6,4,4,4,False
sofastack/sofa-rpc,819d178eabe77cfb536dbc7fbc89c73db75d4ea6,"v5.6.4, v5.6.5",extension-impl.codec-jackson.src.test.java.com.alipay.sofa.rpc.codec.jackson.JacksonSerializerTest.java,7,4,0,0,0,0,4,0,0,0,0,0,0,0,4.0,28.0,4,0,0,0,4,0,268,10,26,78,36,0.13,97,97,97,1,1,0,100.0,133,133,133,36,36,36,False
sofastack/sofa-rpc,819d178eabe77cfb536dbc7fbc89c73db75d4ea6,"v5.6.4, v5.6.5",extension-impl.registry-mesh.src.test.java.com.alipay.sofa.rpc.registry.mesh.MeshRegistryTest.java,4,1,0,0,0,0,2,2,0,0,0,1,0,2,1.0,3.0,1,0,0,0,2,0,152,4,8,74,8,0.05,-8,-1,-4,2,2,1,97.83,19,19,10,27,26,14,False
sofastack/sofa-rpc,2e571f015d86de20c306cffcb885bf6c08493f68,"v5.7.9, v5.7.10",core.api.src.test.java.com.alipay.sofa.rpc.client.ProviderInfoTest.java,5,3,0,0,0,0,3,0,0,0,0,0,0,0,5.0,96.0,2,0,0,0,5,0,187,5,8,59,82,0.44,9,7,4,2,2,0,58.82,13,7,6,4,4,2,False
sofastack/sofa-rpc,d107d224369f6119b48234f7be1c2c32ccee00c8,"v5.8.3, v5.8.4",codec.codec-jackson.src.test.java.com.alipay.sofa.rpc.codec.jackson.JacksonSerializerTest.java,14,8,0,0,0,0,8,0,0,0,0,0,0,0,9.0,44.0,6,0,0,0,9,0,428,17,43,136,52,0.12,58,58,58,1,1,0,100.0,65,65,65,7,7,7,False
