App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isSplitConditional
davidmoten/rtree,ec0f991190e86002ec1f6a1a53db7a611409d1a5,"0.1-RC1, 0.1-RC2",src.test.java.com.github.davidmoten.rtree.RTreeTest.java,38,4,2,0,0,0,0,0,0,2,0,0,0,0,,,1,6,1,2,30,0,198.0,38.0,52.0,243.0,34.0,0.17,21,17,10,2,1,0,100.0,302,296,151,281,279,140,False
davidmoten/rtree,ec0f991190e86002ec1f6a1a53db7a611409d1a5,"0.1-RC1, 0.1-RC2",src.test.java.com.github.davidmoten.rtree.geometry.CircleTest.java,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,12,0,58.0,12.0,12.0,39.0,13.0,0.22,0,0,0,1,1,0,100.0,68,68,68,68,68,68,False
davidmoten/rtree,4cb1c34123c7f2394189ecf2b2db5a4b0d5943d8,"0.1-RC2, 0.1",src.test.java.com.github.davidmoten.rtree.RTreeTest.java,42,4,2,0,0,0,0,0,0,2,0,0,0,0,,,1,6,1,2,34,0,212.0,42.0,56.0,258.0,38.0,0.18,26,24,13,2,1,0,100.0,26,24,13,0,0,0,False
davidmoten/rtree,c51f8a8badc29542931e94f9b04e394d643449d0,"0.1, 0.2",src.test.java.com.github.davidmoten.rtree.RTreeTest.java,45,4,2,0,0,0,0,0,0,2,0,0,0,0,,,1,7,1,3,36,0,235.0,45.0,61.0,278.0,39.0,0.17,40,29,3,14,1,0,100.0,1433,365,102,1393,356,100,False
davidmoten/rtree,1ec9f4382dfae2df9c22da9dcf49e5ced6af88b3,"0.2.2, 0.2.3",src.test.java.com.github.davidmoten.rtree.RTreeTest.java,45,4,2,0,0,0,0,0,0,2,0,0,0,0,,,1,7,1,1,36,0,233.0,45.0,61.0,277.0,39.0,0.17,0,0,0,2,1,0,100.0,2,1,1,2,1,1,False
davidmoten/rtree,1ec9f4382dfae2df9c22da9dcf49e5ced6af88b3,"0.2.2, 0.2.3",src.test.java.com.github.davidmoten.rtree.geometry.CircleTest.java,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,14,0,64.0,14.0,14.0,47.0,15.0,0.23,10,10,5,2,1,0,100.0,79,68,40,69,68,34,False
davidmoten/rtree,0241ace6b70fc03410a10b9daaa08e2bc11f1d4b,"0.2.3, 0.3",src.test.java.com.github.davidmoten.rtree.RTreeTest.java,47,4,2,0,0,0,0,0,0,2,0,0,0,0,,,2,7,1,1,38,0,247.0,47.0,63.0,302.0,43.0,0.17,21,8,7,3,1,0,100.0,23,10,8,2,2,1,False
davidmoten/rtree,5f50242c87d577277405cd54b4b84307a199677c,"0.3, 0.3.1",src.test.java.com.github.davidmoten.rtree.RTreeTest.java,49,4,3,0,0,0,0,0,0,2,0,0,0,0,,,2,7,1,1,39,0,273.0,53.0,71.0,317.0,44.0,0.16,40,34,7,6,1,0,100.0,101,34,17,61,34,10,False
davidmoten/rtree,5f50242c87d577277405cd54b4b84307a199677c,"0.3, 0.3.1",src.test.java.com.github.davidmoten.rtree.BackpressureTest.java,6,0,2,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,6,0,133.0,28.0,35.0,58.0,5.0,0.04,111,111,37,3,1,0,100.0,118,111,39,7,7,2,False
davidmoten/rtree,5f50242c87d577277405cd54b4b84307a199677c,"0.3, 0.3.1",src.test.java.com.github.davidmoten.rtree.LeafTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2,0,12.0,2.0,2.0,7.0,1.0,0.08,2,2,2,1,1,0,100.0,18,18,18,16,16,16,False
davidmoten/rtree,f610d8cb92b4c794494c09f74a5d5acafc162b7d,"0.3.1, 0.4",src.test.java.com.github.davidmoten.rtree.RTreeTest.java,54,4,6,0,0,0,0,0,0,4,0,0,0,0,,,2,7,1,1,42,0,329.0,59.0,83.0,367.0,47.0,0.14,95,65,16,6,1,0,100.0,146,65,24,51,37,8,False
davidmoten/rtree,05a1a19362336a200c3b232c5954aad34e5f6694,"0.4, 0.4.1",src.test.java.com.github.davidmoten.rtree.RTreeTest.java,69,9,6,0,0,0,1,0,1,4,0,0,0,0,,,3,7,1,2,56,0,457.0,74.0,104.0,507.0,67.0,0.15,169,150,21,8,3,1,92.68,1484,656,186,1315,653,164,False
davidmoten/rtree,71018358f60263332a3b809f666ba5f7e04b7f21,"0.5, 0.5.1",src.test.java.com.github.davidmoten.rtree.RTreeTest.java,75,9,6,0,0,0,1,0,1,4,0,0,0,0,,,3,7,1,2,62,0,492.0,81.0,112.0,557.0,72.0,0.15,63,67,16,4,1,0,100.0,1466,718,366,1403,737,351,False
davidmoten/rtree,643505683e46d7b20f315096e31f94accef107bb,"0.5.1, 0.5.2",src.test.java.com.github.davidmoten.rtree.BackpressureTest.java,10,0,2,0,0,0,0,0,0,0,0,0,0,0,,,0,2,0,0,9,0,143.0,28.0,36.0,79.0,7.0,0.05,-21,19,-7,3,1,0,100.0,67,47,22,88,50,29,False
davidmoten/rtree,643505683e46d7b20f315096e31f94accef107bb,"0.5.1, 0.5.2",src.test.java.com.github.davidmoten.rtree.RTreeTest.java,79,9,6,0,0,0,1,0,1,4,0,0,0,0,,,3,7,1,2,66,0,529.0,91.0,122.0,583.0,75.0,0.14,66,21,13,5,1,0,100.0,155,87,31,89,79,18,False
davidmoten/rtree,bc36e62d0e996ca746526fff6487d7db61dff548,"0.5.4, 0.5.6",src.test.java.com.github.davidmoten.rtree.geometry.PointTest.java,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,10,0,50.0,10.0,11.0,35.0,11.0,0.22,7,7,7,1,1,0,100.0,8,8,8,1,1,1,False
davidmoten/rtree,f939d2cdd992fc25a9bdc7f8a8313ecc3f688719,"0.6.9, 0.7",src.test.java.com.github.davidmoten.rtree.geometry.LineTest.java,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,26,0,132.0,26.0,26.0,104.0,29.0,0.22,194,97,28,7,1,0,100.0,212,97,30,18,16,3,False
davidmoten/rtree,eef06813fa9a32a2b73c77cf63155128d9e585d6,"0.7.4, 0.7.5",src.test.java.com.github.davidmoten.rtree.geometry.RectangleTest.java,26,3,0,0,0,0,0,0,0,0,0,0,0,0,,,4,0,0,0,26,0,127.0,26.0,26.0,76.0,31.0,0.24,28,21,14,2,1,0,100.0,47,39,24,19,18,10,False
davidmoten/rtree,fb947f373c65cb80ccb3c8098df7aa0d2ee7b90d,"0.7.5, 0.7.6",src.test.java.com.github.davidmoten.rtree.RTreeTest.java,93,13,7,0,0,0,1,0,1,8,0,0,0,0,,,3,7,1,2,79,0,664.0,116.0,152.0,723.0,94.0,0.14,85,82,42,2,1,0,100.0,103,82,52,18,18,9,False
davidmoten/rtree,c14481045189e22dde8067b0d43e1e210c167739,"0.7.6, 0.8-RC1",src.test.java.com.github.davidmoten.rtree.SerializersTest.java,12,0,0,0,0,0,9,0,0,0,0,0,0,0,,,0,5,0,0,10,0,118.0,12.0,23.0,104.0,9.0,0.08,179,44,18,10,1,0,100.0,204,46,20,25,13,2,False
davidmoten/rtree,c14481045189e22dde8067b0d43e1e210c167739,"0.7.6, 0.8-RC1",src.test.java.com.github.davidmoten.rtree.fbs.SerializerFlatBuffersTest.java,10,0,0,0,0,0,5,0,0,0,0,0,0,0,,,0,4,0,0,5,0,66.0,12.0,25.0,38.0,1.0,0.02,120,43,9,14,1,0,100.0,180,43,13,60,12,4,False
davidmoten/rtree,c14481045189e22dde8067b0d43e1e210c167739,"0.7.6, 0.8-RC1",src.test.java.com.github.davidmoten.rtree.NodePositionTest.java,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,0,1,0,6.0,1.0,1.0,4.0,1.0,0.17,19,16,10,2,1,0,100.0,22,16,11,3,3,2,False
davidmoten/rtree,c14481045189e22dde8067b0d43e1e210c167739,"0.7.6, 0.8-RC1",src.test.java.com.github.davidmoten.rtree.RTreeTest.java,94,13,7,0,0,1,1,0,1,8,0,0,0,0,,,3,7,1,2,80,0,678.0,119.0,158.0,727.0,95.0,0.14,18,9,2,8,1,0,100.0,37,12,5,19,3,2,False
davidmoten/rtree,c14481045189e22dde8067b0d43e1e210c167739,"0.7.6, 0.8-RC1",src.test.java.com.github.davidmoten.rtree.LeafTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2,0,12.0,2.0,2.0,7.0,1.0,0.08,3,1,0,9,1,0,100.0,17,6,2,14,5,2,False
davidmoten/rtree,dc29904f7e0de5faf39f8af94c3741291dd05ad4,"0.8-RC10, 0.8.0.1",src.test.java.com.github.davidmoten.rtree.RTreeTest.java,98,14,8,0,0,1,1,0,1,10,0,0,0,0,,,3,7,1,2,84,0,713.0,123.0,163.0,762.0,100.0,0.14,50,50,50,1,1,0,100.0,56,56,56,6,6,6,False
davidmoten/rtree,26c4aa11f40befa33399ae86cd9080be2ff0fcf3,"0.8.0.4, 0.8.1beta",src.test.java.com.github.davidmoten.rtree.SerializersTest.java,16,0,0,0,0,0,13,0,0,0,0,0,0,0,,,0,8,0,0,14,0,146.0,16.0,31.0,128.0,10.0,0.07,26,26,5,5,1,0,100.0,46,29,9,20,8,4,False
davidmoten/rtree,26c4aa11f40befa33399ae86cd9080be2ff0fcf3,"0.8.0.4, 0.8.1beta",src.test.java.com.github.davidmoten.rtree.geometry.LineTest.java,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,26,0,132.0,26.0,26.0,106.0,29.0,0.22,0,2,0,5,1,0,100.0,89,38,18,89,42,18,False
davidmoten/rtree,26c4aa11f40befa33399ae86cd9080be2ff0fcf3,"0.8.0.4, 0.8.1beta",src.test.java.com.github.davidmoten.rtree.geometry.CircleTest.java,18,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,18,0,80.0,18.0,18.0,61.0,19.0,0.24,0,2,0,4,1,0,100.0,42,19,10,42,22,10,False
davidmoten/rtree,26c4aa11f40befa33399ae86cd9080be2ff0fcf3,"0.8.0.4, 0.8.1beta",src.test.java.com.github.davidmoten.rtree.RTreeTest.java,99,14,8,0,0,1,1,0,1,10,0,0,0,0,,,3,7,1,2,86,0,723.0,125.0,167.0,789.0,102.0,0.14,20,16,2,8,1,0,100.0,79,60,10,59,44,7,False
davidmoten/rtree,26c4aa11f40befa33399ae86cd9080be2ff0fcf3,"0.8.0.4, 0.8.1beta",src.test.java.com.github.davidmoten.internal.operators.OperatorBoundedPriorityQueueTest.java,7,2,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,7,0,116.0,25.0,35.0,71.0,8.0,0.07,0,0,0,2,1,0,100.0,4,2,2,4,2,2,False
davidmoten/rtree,1310e8f631c60ee1d98ec7efe925f8804bd2cd3d,"0.8.7, 0.9",src.test.java.com.github.davidmoten.internal.operators.OperatorBoundedPriorityQueueTest.java,7,2,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,7,0,111.0,24.0,33.0,70.0,8.0,0.07,-6,-6,-6,1,1,0,100.0,1,1,1,7,7,7,False
davidmoten/rtree,1310e8f631c60ee1d98ec7efe925f8804bd2cd3d,"0.8.7, 0.9",src.test.java.com.github.davidmoten.rtree.RTreeTest.java,102,14,8,0,0,1,1,0,1,10,0,0,0,0,,,3,7,1,2,88,0,737.0,127.0,170.0,792.0,105.0,0.14,-3,0,-2,2,2,0,60.0,1,1,0,4,3,2,False
davidmoten/rtree,1310e8f631c60ee1d98ec7efe925f8804bd2cd3d,"0.8.7, 0.9",src.test.java.com.github.davidmoten.rtree.LeafTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2,0,12.0,2.0,2.0,7.0,1.0,0.08,-1,-1,-1,1,1,0,100.0,0,0,0,1,1,1,False
davidmoten/rtree,1310e8f631c60ee1d98ec7efe925f8804bd2cd3d,"0.8.7, 0.9",src.test.java.com.github.davidmoten.rtree.BackpressureTest.java,12,0,2,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,11,0,167.0,33.0,41.0,102.0,10.0,0.06,-2,-2,-2,1,1,0,100.0,0,0,0,2,2,2,False
davidmoten/rtree,3237d18a8bd528abd068f22572ff1b9310da0c6c,"0.1, 0.11",src.test.java.com.github.davidmoten.rtree.RTreeTest.java,102,14,8,0,0,1,1,0,1,10,0,0,0,0,,,3,7,1,2,88,0,737.0,127.0,170.0,792.0,105.0,0.14,786,150,8,94,5,4,97.52,5824,718,62,5038,737,54,False
davidmoten/rtree,3237d18a8bd528abd068f22572ff1b9310da0c6c,"0.1, 0.11",src.test.java.com.github.davidmoten.rtree.LeafTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2,0,12.0,2.0,2.0,7.0,1.0,0.08,34,21,2,17,1,0,100.0,93,21,5,59,18,3,False
davidmoten/rtree,3237d18a8bd528abd068f22572ff1b9310da0c6c,"0.1, 0.11",src.test.java.com.github.davidmoten.rtree.BackpressureTest.java,12,0,2,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,11,0,167.0,33.0,41.0,102.0,10.0,0.06,278,111,16,17,2,0,94.1,427,111,25,149,50,9,False
davidmoten/rtree,3237d18a8bd528abd068f22572ff1b9310da0c6c,"0.1, 0.11",src.test.java.com.github.davidmoten.rtree.SerializersTest.java,16,0,0,0,0,0,13,0,0,0,0,0,0,0,,,0,8,0,0,14,0,146.0,16.0,31.0,128.0,10.0,0.07,219,44,14,16,1,0,100.0,264,46,16,45,13,3,False
davidmoten/rtree,3237d18a8bd528abd068f22572ff1b9310da0c6c,"0.1, 0.11",src.test.java.com.github.davidmoten.rtree.geometry.LineTest.java,28,2,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,28,0,154.0,28.0,28.0,116.0,33.0,0.21,225,97,15,15,1,0,100.0,336,97,22,111,42,7,False
