App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isMergeAttribute
googleads/googleads-java-lib,5115f5acf7c70ffa416b18dc5d63da4b32d026e0,"1.29.0, 1.29.1",modules.ads_lib.src.test.java.com.google.api.ads.common.lib.conf.ConfigurationHelperTest.java,34,11,6,0,0,0,25,0,0,0,0,0,0,0,2.0,33.0,0,0,0,0,27,0,271,34,79,182,62,0.23,71,71,71,1,1,0,100.0,85,85,85,14,14,14,False
googleads/googleads-java-lib,4a42031fe9fe523a6f6e8510eebda8338b126aca,"1.30.0, 1.31.0",modules.ads_lib.src.test.java.com.google.api.ads.adwords.lib.utils.ReportRequestFactoryHelperTest.java,8,0,0,1,0,0,4,0,0,0,0,0,0,0,0.0,0.0,0,4,1,0,4,0,122,10,30,50,10,0.08,53,53,53,1,1,0,100.0,56,56,56,3,3,3,False
googleads/googleads-java-lib,4e55474f7a675f0bfd312f033610fa709b17ccdc,"1.33.0, 1.34.0",modules.adwords_axis.src.test.java.com.google.api.ads.adwords.axis.AdWordsAxisExpressHeaderHandlerTest.java,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0.0,4.0,0,3,0,0,4,0,51,5,14,29,0,0.0,33,33,33,1,1,0,100.0,38,38,38,5,5,5,False
googleads/googleads-java-lib,4e55474f7a675f0bfd312f033610fa709b17ccdc,"1.33.0, 1.34.0",modules.adwords_axis.src.test.java.com.google.api.ads.adwords.axis.utils.v201402.SelectorBuilderTest.java,12,12,0,0,0,0,0,0,0,0,0,1,0,0,12.0,47.0,4,0,0,0,12,0,233,12,16,94,92,0.39,3,3,3,1,1,0,100.0,3,3,3,0,0,0,False
googleads/googleads-java-lib,4e55474f7a675f0bfd312f033610fa709b17ccdc,"1.33.0, 1.34.0",modules.adwords_appengine.src.test.java.com.google.api.ads.adwords.jaxws.utils.v201402.SelectorBuilderTest.java,12,12,0,0,0,0,0,0,0,0,0,1,0,0,12.0,47.0,4,0,0,0,12,0,233,12,16,94,92,0.39,3,3,3,1,1,0,100.0,3,3,3,0,0,0,False
googleads/googleads-java-lib,4e55474f7a675f0bfd312f033610fa709b17ccdc,"1.33.0, 1.34.0",modules.adwords_appengine.src.test.java.com.google.api.ads.adwords.jaxws.AdWordsJaxWsExpressHeaderHandlerTest.java,6,0,0,0,0,0,4,4,0,0,0,0,0,0,0.0,0.0,0,3,1,0,4,0,55,6,15,21,0,0.0,23,23,23,1,1,0,100.0,32,32,32,9,9,9,False
googleads/googleads-java-lib,4e55474f7a675f0bfd312f033610fa709b17ccdc,"1.33.0, 1.34.0",modules.ads_lib_axis.src.test.java.com.google.api.ads.common.lib.soap.axis.conf.AdsAxisEngineConfigurationFactoryTest.java,7,1,1,0,0,0,3,1,0,0,0,0,0,0,3.0,6.0,0,0,0,0,3,0,84,7,22,48,20,0.24,3,3,3,1,1,0,100.0,3,3,3,0,0,0,False
googleads/googleads-java-lib,4e55474f7a675f0bfd312f033610fa709b17ccdc,"1.33.0, 1.34.0",modules.ads_lib.src.test.java.com.google.api.ads.adwords.lib.utils.logging.ReportServiceLoggerTest.java,17,0,0,0,0,0,0,14,0,0,0,0,0,0,1.0,4.0,0,4,0,0,14,0,182,17,32,115,24,0.13,3,3,3,1,1,0,100.0,3,3,3,0,0,0,False
googleads/googleads-java-lib,4e55474f7a675f0bfd312f033610fa709b17ccdc,"1.33.0, 1.34.0",modules.ads_lib.src.test.java.com.google.api.ads.adwords.lib.utils.ReportResponseInterceptorTest.java,5,0,0,0,0,0,3,2,0,0,0,0,0,0,0.0,0.0,0,3,1,0,3,0,73,5,18,31,2,0.03,3,3,3,1,1,0,100.0,3,3,3,0,0,0,False
googleads/googleads-java-lib,4e55474f7a675f0bfd312f033610fa709b17ccdc,"1.33.0, 1.34.0",modules.ads_lib.src.test.java.com.google.api.ads.adwords.lib.utils.ReportRequestFactoryHelperTest.java,8,0,0,1,0,0,4,0,0,0,0,0,0,0,0.0,0.0,0,4,1,0,4,0,147,10,32,56,14,0.1,41,41,41,1,1,0,100.0,45,45,45,4,4,4,False
googleads/googleads-java-lib,4e55474f7a675f0bfd312f033610fa709b17ccdc,"1.33.0, 1.34.0",modules.ads_lib.src.test.java.com.google.api.ads.adwords.lib.client.AdWordsSessionTest.java,16,10,0,0,0,0,15,0,0,0,1,0,0,0,15.0,94.0,0,0,0,0,15,0,206,16,42,158,35,0.17,57,57,57,1,1,0,100.0,74,74,74,17,17,17,False
googleads/googleads-java-lib,bb4284b56387b13e5cbc6166adf382a6f6e48975,"1.34.0, 1.35.0",modules.ads_lib.src.test.java.com.google.api.ads.adwords.lib.client.reporting.ReportingConfigurationTest.java,8,5,0,0,0,0,1,0,0,0,2,0,0,0,8.0,39.0,1,0,0,0,8,0,54,8,10,44,15,0.28,3,3,3,1,1,0,100.0,3,3,3,0,0,0,False
googleads/googleads-java-lib,6c32e6397d76fef484840fabec8109dde312f4c6,"1.35.1, 1.36.0",modules.adwords_appengine.src.test.java.com.google.api.ads.adwords.jaxws.utils.v201406.SelectorBuilderTest.java,12,12,0,0,0,0,0,0,0,0,0,1,0,0,12.0,47.0,4,0,0,0,12,0,233,12,16,94,92,0.39,2,2,2,1,1,0,100.0,97,97,97,95,95,95,False
googleads/googleads-java-lib,6c32e6397d76fef484840fabec8109dde312f4c6,"1.35.1, 1.36.0",modules.ads_lib.src.test.java.com.google.api.ads.adwords.lib.utils.ReportRequestFactoryHelperTest.java,5,1,1,1,0,0,2,0,0,0,0,0,0,0,1.0,0.0,0,1,0,0,2,0,106,7,22,46,10,0.09,-60,-60,-60,1,1,0,100.0,10,10,10,70,70,70,False
googleads/googleads-java-lib,fd3bfb848e65e51ec7780f9821ad52f6751b2595,"1.36.0, 1.37.0",modules.ads_lib.src.test.java.com.google.api.ads.adwords.lib.utils.v201406.ReportDownloaderTest.java,9,6,0,1,0,0,6,5,0,0,0,0,0,0,1.0,5.0,0,0,0,0,6,0,113,10,27,59,16,0.14,62,62,62,1,1,0,100.0,76,76,76,14,14,14,False
googleads/googleads-java-lib,03b7f4a1641d79e3c2184f1ca07d84f1fd964f75,"1.38.0, 1.39.0",modules.dfp_axis.src.test.java.com.google.api.ads.dfp.axis.utils.v201403.PqlTest.java,13,6,0,1,0,0,0,12,0,0,0,3,0,0,5.0,23.0,0,3,0,0,12,0,179,14,19,56,44,0.25,8,8,8,1,1,0,100.0,11,11,11,3,3,3,False
googleads/googleads-java-lib,03b7f4a1641d79e3c2184f1ca07d84f1fd964f75,"1.38.0, 1.39.0",modules.dfp_appengine.src.test.java.com.google.api.ads.dfp.jaxws.utils.v201403.PqlTest.java,13,6,0,1,0,0,0,12,0,0,0,3,0,0,5.0,23.0,0,3,0,0,12,0,179,14,19,56,44,0.25,9,9,9,1,1,0,100.0,12,12,12,3,3,3,False
googleads/googleads-java-lib,03b7f4a1641d79e3c2184f1ca07d84f1fd964f75,"1.38.0, 1.39.0",modules.adwords_axis.src.test.java.com.google.api.ads.adwords.axis.utils.v201502.shopping.ProductPartitionNodeDifferTest.java,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,3,0,0,11,0,104,11,39,40,13,0.13,8,8,8,1,1,0,100.0,11,11,11,3,3,3,False
googleads/googleads-java-lib,03b7f4a1641d79e3c2184f1ca07d84f1fd964f75,"1.38.0, 1.39.0",modules.adwords_axis.src.test.java.com.google.api.ads.adwords.axis.utils.v201409.shopping.ProductPartitionNodeDifferTest.java,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,3,0,0,11,0,104,11,39,40,13,0.13,8,8,8,1,1,0,100.0,11,11,11,3,3,3,False
googleads/googleads-java-lib,03b7f4a1641d79e3c2184f1ca07d84f1fd964f75,"1.38.0, 1.39.0",modules.adwords_axis.src.test.java.com.google.api.ads.adwords.axis.utils.v201502.shopping.ProductPartitionNodeAdapterTest.java,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,8.0,0,6,1,0,6,0,109,8,22,40,13,0.12,3,3,3,1,1,0,100.0,8,8,8,5,5,5,False
googleads/googleads-java-lib,03b7f4a1641d79e3c2184f1ca07d84f1fd964f75,"1.38.0, 1.39.0",modules.adwords_axis.src.test.java.com.google.api.ads.adwords.axis.utils.v201409.shopping.ProductPartitionNodeAdapterTest.java,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,8.0,0,6,1,0,6,0,109,8,22,40,13,0.12,3,3,3,1,1,0,100.0,8,8,8,5,5,5,False
