App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isEncapsulateAttribute
instancio/instancio,d63804f84511ebd5d99c430c602404541489340a,"instancio-1.0.2, instancio-1.0.3",src.test.java.org.instancio.internal.ModelContextTest.java,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,100,14,15,125,33,0.33,-1,-1,-1,1,1,0,100.0,5,5,5,6,6,6,False
instancio/instancio,d63804f84511ebd5d99c430c602404541489340a,"instancio-1.0.2, instancio-1.0.3",src.test.java.org.instancio.generators.coretypes.StringGeneratorTest.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,3,7,21,3,0.09,1,1,1,1,1,0,100.0,14,14,14,13,13,13,False
instancio/instancio,d63804f84511ebd5d99c430c602404541489340a,"instancio-1.0.2, instancio-1.0.3",src.test.java.org.instancio.generators.coretypes.CharacterGeneratorTest.java,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,14,1,2,10,2,0.14,0,0,0,1,1,0,100.0,4,4,4,4,4,4,False
instancio/instancio,d63804f84511ebd5d99c430c602404541489340a,"instancio-1.0.2, instancio-1.0.3",src.test.java.org.instancio.generators.coretypes.BooleanGeneratorTest.java,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,14,1,2,10,2,0.14,0,0,0,1,1,0,100.0,4,4,4,4,4,4,False
instancio/instancio,d63804f84511ebd5d99c430c602404541489340a,"instancio-1.0.2, instancio-1.0.3",src.test.java.org.instancio.generators.collections.MapGeneratorTest.java,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,21,1,2,17,3,0.14,0,0,0,1,1,0,100.0,10,10,10,10,10,10,False
instancio/instancio,d63804f84511ebd5d99c430c602404541489340a,"instancio-1.0.2, instancio-1.0.3",src.test.java.org.instancio.generators.collections.CollectionGeneratorTest.java,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,21,1,2,17,3,0.14,0,0,0,1,1,0,100.0,9,9,9,9,9,9,False
instancio/instancio,d63804f84511ebd5d99c430c602404541489340a,"instancio-1.0.2, instancio-1.0.3",src.test.java.org.instancio.generators.ArrayGeneratorTest.java,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,21,1,3,14,3,0.14,2,2,2,1,1,0,100.0,11,11,11,9,9,9,False
instancio/instancio,40fd654905148329e0d1823a11d15da890d4b8ef,"instancio-parent-1.1.0, instancio-parent-1.1.1",instancio-junit.src.test.java.org.instancio.junit.InstancioExtensionTest.java,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,79,8,26,78,5,0.06,77,77,77,1,1,0,100.0,87,87,87,10,10,10,False
instancio/instancio,40fd654905148329e0d1823a11d15da890d4b8ef,"instancio-parent-1.1.0, instancio-parent-1.1.1",instancio-core.src.test.java.org.instancio.util.VerifyTest.java,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,36,10,19,28,7,0.19,1,1,1,1,1,0,100.0,4,4,4,3,3,3,False
instancio/instancio,2a6bdfd11245da43cf8364badd0d8a7e7c675ee1,"instancio-parent-1.1.1, instancio-parent-1.1.2",instancio-core.src.test.java.org.instancio.generator.util.MapGeneratorTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,27,2,3,21,6,0.22,11,7,4,3,1,0,100.0,15,8,5,4,2,1,False
instancio/instancio,2a6bdfd11245da43cf8364badd0d8a7e7c675ee1,"instancio-parent-1.1.1, instancio-parent-1.1.2",instancio-core.src.test.java.org.instancio.generator.util.CollectionGeneratorTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,27,2,3,21,6,0.22,11,8,4,3,1,0,100.0,16,9,5,5,2,2,False
instancio/instancio,2a6bdfd11245da43cf8364badd0d8a7e7c675ee1,"instancio-parent-1.1.1, instancio-parent-1.1.2",instancio-junit.src.test.java.org.instancio.junit.InstancioExtensionTest.java,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,87,9,29,86,6,0.07,18,17,9,2,1,0,100.0,24,17,12,6,6,3,False
instancio/instancio,ca9f966dd29cd2106585dca76a949939c4d5dd35,"instancio-parent-1.1.2, instancio-parent-1.1.3",instancio-core.src.test.java.org.instancio.internal.ModelContextTest.java,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,106,16,17,138,33,0.31,5,5,2,2,1,0,100.0,22,18,11,17,13,8,False
instancio/instancio,998527ef3cfb6bee897aef5a7fa3838a244841a8,"instancio-parent-1.1.5, instancio-parent-1.1.6",instancio-core.src.test.java.org.instancio.internal.random.RandomProviderImplTest.java,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,140,4,8,18,5,0.04,0,0,0,1,1,0,100.0,10,10,10,10,10,10,False
instancio/instancio,93ca5f97ee3112525d8243e4314e2927bc3282df,"instancio-parent-1.1.6, instancio-parent-1.1.7",instancio-core.src.test.java.org.instancio.internal.random.RandomProviderImplTest.java,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,168,4,8,18,5,0.03,48,48,48,1,1,0,100.0,59,59,59,11,11,11,False
instancio/instancio,f497edf1eb8807567cfdf9b67c4e6b24c37f1bde,"instancio-parent-1.1.8, instancio-parent-1.1.9",instancio-core.src.test.java.org.instancio.util.ExceptionHandlerTest.java,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,37,7,13,14,6,0.16,2,2,2,1,1,0,100.0,7,7,7,5,5,5,False
instancio/instancio,e3877b01a5382531d29625cf8fe72bab79beefc2,"instancio-parent-1.1.9, instancio-parent-1.1.10",instancio-core.src.test.java.org.instancio.settings.SettingsTest.java,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,73,13,20,68,17,0.23,26,26,26,1,1,0,100.0,46,46,46,20,20,20,False
instancio/instancio,f55939b0308ff7417a8c4ffafb1506475b90607d,"instancio-parent-1.1.10, instancio-parent-1.1.11",instancio-junit.src.test.java.org.instancio.junit.InstancioExtensionTest.java,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,86,9,28,85,6,0.07,-1,-1,-1,1,1,0,100.0,1,1,1,2,2,2,False
instancio/instancio,f55939b0308ff7417a8c4ffafb1506475b90607d,"instancio-parent-1.1.10, instancio-parent-1.1.11",instancio-junit.src.test.java.org.instancio.junit.InstancioArgumentsProviderTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,14,2,3,15,1,0.07,4,4,4,1,1,0,100.0,5,5,5,1,1,1,False
instancio/instancio,692ccbd72911ae5ca07d73e84a2017ac316265eb,"instancio-parent-1.1.11, instancio-parent-1.2.0",instancio-core.src.test.java.org.instancio.internal.ModelContextTest.java,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,106,16,17,137,33,0.31,0,0,0,1,1,0,100.0,17,17,17,17,17,17,False
instancio/instancio,b832ecb0fcc2759e680c20d120681a6bc0ade086,"instancio-parent-1.2.0, instancio-parent-1.2.1",instancio-junit.src.test.java.org.instancio.junit.InstancioExtensionTest.java,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,86,9,28,85,6,0.07,0,0,0,1,1,0,100.0,12,12,12,12,12,12,False
instancio/instancio,b832ecb0fcc2759e680c20d120681a6bc0ade086,"instancio-parent-1.2.0, instancio-parent-1.2.1",instancio-core.src.test.java.org.instancio.generator.util.MapGeneratorTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,27,2,3,21,6,0.22,0,0,0,1,1,0,100.0,3,3,3,3,3,3,False
instancio/instancio,b832ecb0fcc2759e680c20d120681a6bc0ade086,"instancio-parent-1.2.0, instancio-parent-1.2.1",instancio-core.src.test.java.org.instancio.generator.util.CollectionGeneratorTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,27,2,3,21,6,0.22,0,0,0,1,1,0,100.0,3,3,3,3,3,3,False
