App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isExtractAndMoveMethod
RetGal/Dayon,a3e54bf038d3276058a2409606d1ffae9bf69cb2,"v1.6.0, v1.6.1",src.test.java.mpo.dayon.common.utils.SystemUtilitiesTest.java,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.0,0,0,0,0,11,0,46,11,11,22,11,0.24,7,7,7,1,1,0,100.0,11,11,11,4,4,4,False
RetGal/Dayon,2b4a65caca9f26019b12330a9a9a5f9988861cb0,"v1.7.1, v1.7.2",src.test.java.mpo.dayon.common.utils.SystemUtilitiesTest.java,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,46,11,11,22,11,0.24,0,0,0,1,1,0,100.0,12,12,12,12,12,12,False
RetGal/Dayon,2b4a65caca9f26019b12330a9a9a5f9988861cb0,"v1.7.1, v1.7.2",src.test.java.mpo.dayon.common.babylon.ZionTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,22,2,6,10,2,0.09,0,0,0,1,1,0,100.0,3,3,3,3,3,3,False
RetGal/Dayon,14a5b82ba20a71c8bc45047a2e253f8c392d0f63,"v11.0.2, v11.0.3",src.test.java.mpo.dayon.common.utils.SystemUtilitiesTest.java,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,38,11,11,22,11,0.29,-47,-47,-47,1,1,0,100.0,31,31,31,78,78,78,False
RetGal/Dayon,6674749c91d34bff311a81b4a5c37e978c789c40,"v11.0.4, v11.0.5",src.test.java.mpo.dayon.common.utils.SystemUtilitiesTest.java,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,38,11,11,22,11,0.29,0,0,0,1,1,0,100.0,1,1,1,1,1,1,False
RetGal/Dayon,9d154e7f5cdf8d772610337969708a4876609ab8,"v11.0.5, v11.0.6",src.test.java.mpo.dayon.assistant.control.ControlEngineTest.java,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,43,7,16,51,6,0.14,83,58,42,2,1,0,100.0,96,58,48,13,13,6,False
RetGal/Dayon,9d154e7f5cdf8d772610337969708a4876609ab8,"v11.0.5, v11.0.6",src.test.java.mpo.dayon.common.utils.SystemUtilitiesTest.java,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,44,13,14,26,13,0.3,17,15,8,2,1,0,100.0,29,26,14,12,11,6,False
RetGal/Dayon,c505ead70940acbd0165d1f75c72e9df2b12ff3d,"v11.0.7, v12.0.0",src.test.java.mpo.dayon.common.utils.UnitUtilitiesTest.java,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,22,6,7,13,4,0.18,50,33,17,3,1,0,100.0,51,33,17,1,1,0,False
RetGal/Dayon,c505ead70940acbd0165d1f75c72e9df2b12ff3d,"v11.0.7, v12.0.0",src.test.java.mpo.dayon.common.RunnerTest.java,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,47,8,11,29,10,0.21,22,12,11,2,1,0,100.0,36,26,18,14,14,7,False
RetGal/Dayon,c505ead70940acbd0165d1f75c72e9df2b12ff3d,"v11.0.7, v12.0.0",src.test.java.mpo.dayon.assistant.control.ControlEngineTest.java,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,35,6,13,35,0,0.0,-9,13,-1,12,1,0,100.0,82,24,7,91,30,8,False
RetGal/Dayon,c505ead70940acbd0165d1f75c72e9df2b12ff3d,"v11.0.7, v12.0.0",src.test.java.mpo.dayon.assisted.gui.AssistedTest.java,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,35,4,9,21,3,0.09,73,69,24,3,1,0,100.0,100,69,33,27,21,9,False
RetGal/Dayon,c505ead70940acbd0165d1f75c72e9df2b12ff3d,"v11.0.7, v12.0.0",src.test.java.mpo.dayon.common.utils.SystemUtilitiesTest.java,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,44,13,17,26,13,0.3,0,0,0,1,1,0,100.0,3,3,3,3,3,3,False
RetGal/Dayon,c0b7dfc32a1eae32b1d0cd12a27c7cb31d110d89,"v12.0.0, v12.0.1",src.test.java.mpo.dayon.common.version.VersionTest.java,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,47,9,9,36,12,0.26,3,3,3,1,1,0,100.0,7,7,7,4,4,4,False
