App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isSplitClass
everit-org/json-schema,c346e70b5a74d4faea009a9bd5fcb9c5b431dad1,"1.0.1, 1.1.0",core.src.test.java.org.everit.json.schema.ArraySchemaTest.java,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,53.0,0,9,0,0,16,0,60,16,16,80,0,0.0,3,6,1,5,1,0,100.0,89,52,18,86,46,17,False
everit-org/json-schema,c346e70b5a74d4faea009a9bd5fcb9c5b431dad1,"1.0.1, 1.1.0",core.src.test.java.org.everit.json.schema.ObjectSchemaTest.java,21,3,1,0,0,0,2,0,0,0,0,0,0,0,21.0,104.0,0,16,0,0,21,0,119,21,28,125,13,0.11,91,73,15,6,1,0,100.0,250,108,42,159,74,26,False
everit-org/json-schema,c346e70b5a74d4faea009a9bd5fcb9c5b431dad1,"1.0.1, 1.1.0",core.src.test.java.org.everit.json.schema.CombinedSchemaTest.java,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,11,0,38,11,11,26,0,0.0,-9,0,-4,2,1,0,100.0,32,29,16,41,38,20,False
everit-org/json-schema,c346e70b5a74d4faea009a9bd5fcb9c5b431dad1,"1.0.1, 1.1.0",core.src.test.java.org.everit.json.schema.StringSchemaTest.java,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,19.0,0,7,0,0,7,0,26,7,7,26,0,0.0,1,1,0,2,1,0,100.0,21,17,10,20,16,10,False
everit-org/json-schema,c346e70b5a74d4faea009a9bd5fcb9c5b431dad1,"1.0.1, 1.1.0",core.src.test.java.org.everit.json.schema.NumberSchemaTest.java,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,40.0,0,10,0,0,11,0,41,11,11,48,0,0.0,4,4,2,2,1,0,100.0,36,30,18,32,26,16,False
everit-org/json-schema,c346e70b5a74d4faea009a9bd5fcb9c5b431dad1,"1.0.1, 1.1.0",core.src.test.java.org.everit.json.schema.NullSchemaTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,2,0,9,2,2,3,0,0.0,-2,0,-1,2,1,0,100.0,3,2,2,5,4,2,False
everit-org/json-schema,c346e70b5a74d4faea009a9bd5fcb9c5b431dad1,"1.0.1, 1.1.0",core.src.test.java.org.everit.json.schema.NotSchemaTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,6.0,0,2,0,0,2,0,9,2,2,8,0,0.0,-2,0,-1,2,1,0,100.0,7,6,4,9,8,4,False
everit-org/json-schema,c346e70b5a74d4faea009a9bd5fcb9c5b431dad1,"1.0.1, 1.1.0",core.src.test.java.org.everit.json.schema.EnumSchemaTest.java,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1.0,0.0,0,2,0,0,2,0,24,4,6,8,0,0.0,-2,0,-1,2,1,0,100.0,9,8,4,11,10,6,False
everit-org/json-schema,c346e70b5a74d4faea009a9bd5fcb9c5b431dad1,"1.0.1, 1.1.0",core.src.test.java.org.everit.json.schema.BooleanSchemaTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,2,0,8,2,2,2,0,0.0,-2,0,-1,2,1,0,100.0,3,2,2,5,4,2,False
everit-org/json-schema,c346e70b5a74d4faea009a9bd5fcb9c5b431dad1,"1.0.1, 1.1.0",core.src.test.java.org.everit.json.schema.loader.SchemaLoaderTest.java,46,12,0,0,0,0,0,0,0,0,0,0,0,0,2.0,56.0,0,0,0,0,44,0,202,46,50,189,57,0.28,0,0,0,1,1,0,100.0,112,112,112,112,112,112,False
everit-org/json-schema,22fe9af34dfe29373fa1fa464376a52a748e477a,"1.1.0, 1.1.1",core.src.test.java.org.everit.json.schema.loader.SchemaLoaderTest.java,47,12,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,44,0,212,48,53,190,57,0.27,-7,15,-1,5,1,0,100.0,33,15,7,40,36,8,False
everit-org/json-schema,22fe9af34dfe29373fa1fa464376a52a748e477a,"1.1.0, 1.1.1",core.src.test.java.org.everit.json.schema.loader.internal.TypeBasedMultiplexerTest.java,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,26.0,0,7,0,0,9,0,61,11,18,44,0,0.0,138,67,34,4,1,0,100.0,142,67,36,4,2,1,False
everit-org/json-schema,863703969846a46c4ab4399e1297f8ee96435247,"1.1.1, 1.2.0",core.src.test.java.org.everit.json.schema.loader.SchemaLoaderTest.java,54,15,0,0,0,0,0,0,0,0,0,0,0,0,4.0,64.0,0,1,0,0,51,0,251,55,63,229,68,0.27,67,50,22,3,1,0,100.0,72,55,24,5,5,2,False
everit-org/json-schema,d4b87e63883b67dcc882a70677668cb1e09bece2,"1.3.0, 1.4.0",core.src.test.java.org.everit.json.schema.ValidationExceptionTest.java,23,5,0,0,0,0,3,0,0,0,0,0,0,0,8.0,38.0,0,1,0,0,20,0,140,23,38,86,27,0.19,86,25,14,6,2,1,95.08,104,31,17,18,12,3,False
everit-org/json-schema,d4b87e63883b67dcc882a70677668cb1e09bece2,"1.3.0, 1.4.0",core.src.test.java.org.everit.json.schema.NumberSchemaTest.java,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,43.0,0,12,0,0,12,0,44,12,12,71,0,0.0,18,30,6,3,2,0,64.62,74,38,25,56,36,19,False
everit-org/json-schema,1d5365909b87e43b49f5d898346260ac9fc95b35,"1.4.0, 1.4.1",core.src.test.java.org.everit.json.schema.ObjectSchemaTest.java,27,4,1,0,0,0,3,0,0,0,0,0,0,0,22.0,108.0,0,16,0,0,27,0,157,27,39,182,19,0.12,44,18,6,7,2,1,98.07,281,228,40,237,228,34,False
everit-org/json-schema,1d5365909b87e43b49f5d898346260ac9fc95b35,"1.4.0, 1.4.1",core.src.test.java.org.everit.json.schema.internal.JSONPrinterTest.java,15,0,0,0,0,0,0,10,0,0,0,2,0,0,10.0,28.0,0,1,0,0,12,0,92,15,26,76,11,0.12,138,53,28,5,1,0,100.0,239,88,48,101,88,20,False
everit-org/json-schema,1d5365909b87e43b49f5d898346260ac9fc95b35,"1.4.0, 1.4.1",core.src.test.java.org.everit.json.schema.ArraySchemaTest.java,21,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,53.0,0,9,0,0,21,0,87,21,23,131,4,0.05,48,17,6,8,2,1,97.21,203,157,25,155,140,19,False
everit-org/json-schema,e1843bc13b3d0992a49667d3d2e3969b678ee50c,"1.4.1, 1.5.0",core.src.test.java.org.everit.json.schema.loader.SchemaLoaderTest.java,41,11,0,0,0,0,0,0,0,0,0,0,0,0,5.0,53.0,0,1,0,0,39,0,197,42,49,183,47,0.24,-123,17,-20,6,2,1,99.61,68,27,11,191,74,32,False
everit-org/json-schema,56db8b9ab59ba482f01c7a0b90aa73574f737431,"1.5.1, 1.6.0",core.src.test.java.org.everit.json.schema.loader.SchemaLoaderTest.java,58,10,0,0,0,0,0,0,0,0,0,1,0,0,14.0,99.0,0,1,1,0,56,0,278,59,68,287,57,0.21,164,25,7,24,1,0,100.0,218,50,9,54,25,2,False
everit-org/json-schema,56db8b9ab59ba482f01c7a0b90aa73574f737431,"1.5.1, 1.6.0",core.src.test.java.org.everit.json.schema.internal.JsonPointerFormatValidatorTest.java,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,8,0,30,9,10,10,10,0.33,56,33,19,3,1,0,100.0,73,35,24,17,11,6,False
everit-org/json-schema,56db8b9ab59ba482f01c7a0b90aa73574f737431,"1.5.1, 1.6.0",core.src.test.java.org.everit.json.schema.loader.ReferenceLookupTest.java,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0,40,7,18,34,4,0.1,80,54,40,2,1,0,100.0,101,54,50,21,21,10,False
everit-org/json-schema,56db8b9ab59ba482f01c7a0b90aa73574f737431,"1.5.1, 1.6.0",core.src.test.java.org.everit.json.schema.loader.LoadingStateTest.java,10,4,0,0,0,0,3,0,0,0,0,0,0,0,1.0,5.0,0,0,0,0,7,0,72,10,21,41,8,0.11,42,44,14,3,1,0,100.0,74,51,25,32,24,11,False
