App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isSplitConditional
alibaba/Sentinel,6bef9a8ee1cbb2d22d44f666657d8b0417bfa45f,"0.1.0, 0.1.1",sentinel-core.src.test.java.com.alibaba.csp.sentinel.base.metric.WindowLeapArrayTest.java,8,6,4,0,0,0,3,0,0,0,0,0,0,2,6.0,19.0,1,0,0,0,8,0,131,9,16,72,29,0.22,215,184,108,2,1,0,100.0,218,184,109,3,3,2,False
alibaba/Sentinel,f4b5fae130dd1528dce32660f5e96c17a5220838,"0.2.0, 1.3.0",sentinel-core.src.test.java.com.alibaba.csp.sentinel.util.VersionUtilTest.java,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,7,1,1,2,1,0.14,30,15,15,2,2,0,64.29,36,21,18,6,6,3,False
alibaba/Sentinel,f4b5fae130dd1528dce32660f5e96c17a5220838,"0.2.0, 1.3.0",sentinel-adapter.sentinel-grpc-adapter.src.test.java.com.alibaba.csp.sentinel.adapter.grpc.SentinelGrpcServerInterceptorTest.java,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,44,3,6,26,6,0.14,0,0,0,1,1,0,100.0,3,3,3,3,3,3,False
alibaba/Sentinel,f4b5fae130dd1528dce32660f5e96c17a5220838,"0.2.0, 1.3.0",sentinel-adapter.sentinel-grpc-adapter.src.test.java.com.alibaba.csp.sentinel.adapter.grpc.SentinelGrpcClientInterceptorTest.java,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,44,3,6,28,6,0.14,0,0,0,1,1,0,100.0,3,3,3,3,3,3,False
alibaba/Sentinel,225d81ed93f734e08ab4fdd985198b40f6233ca0,"1.4.0, 1.4.1",sentinel-transport.sentinel-transport-common.src.test.java.com.alibaba.csp.sentinel.transport.config.TransportConfigTest.java,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,1,0,0,0,2,0,27,4,7,13,6,0.22,42,42,42,1,1,0,100.0,50,50,50,8,8,8,False
alibaba/Sentinel,225d81ed93f734e08ab4fdd985198b40f6233ca0,"1.4.0, 1.4.1",sentinel-core.src.test.java.com.alibaba.csp.sentinel.slots.statistic.base.LeapArrayTest.java,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,1,0,41,4,9,13,2,0.05,0,0,0,1,1,0,100.0,3,3,3,3,3,3,False
alibaba/Sentinel,225d81ed93f734e08ab4fdd985198b40f6233ca0,"1.4.0, 1.4.1",sentinel-core.src.test.java.com.alibaba.csp.sentinel.base.metric.MetricsLeapArrayTest.java,8,6,4,0,0,0,3,0,0,0,0,0,0,2,4.0,19.0,1,0,0,0,8,0,135,9,16,72,29,0.21,4,4,2,2,1,0,100.0,22,15,11,18,11,9,False
alibaba/Sentinel,2e0fe23384504416ca2866d2d1ceda9f97a0973e,"1.4.1, 1.4.2",sentinel-core.src.test.java.com.alibaba.csp.sentinel.node.DefaultNodeBuilderTest.java,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,0,0,0,0,3,0,40,3,3,19,16,0.4,84,85,42,2,2,0,94.44,87,85,44,3,3,2,False
alibaba/Sentinel,2e0fe23384504416ca2866d2d1ceda9f97a0973e,"1.4.1, 1.4.2",sentinel-core.src.test.java.com.alibaba.csp.sentinel.node.ClusterNodeTest.java,3,3,1,0,0,0,1,0,0,0,0,0,0,0,3.0,7.0,2,0,0,0,3,0,77,4,11,37,17,0.22,156,149,78,2,2,0,80.11,171,149,86,15,15,8,False
alibaba/Sentinel,053f7172a300738c05cafe36f7ee826eff0f576a,"1.4.2, 1.5.0",sentinel-core.src.test.java.com.alibaba.csp.sentinel.slots.statistic.base.LeapArrayTest.java,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,1,0,33,3,7,11,2,0.06,-4,0,-2,2,2,0,87.5,6,5,3,10,9,5,False
