App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isAddClassAnnotation
ozimov/spring-boot-email-tools,02244c82406e2e6ebc573a1d3a03e0682f388132,"0.1.0, 0.1.1",src.test.java.open.springboot.mail.service.impl.EmailServiceTest.java,9,3,0,0,0,0,6,7,3,0,0,0,0,0,,,0,3,0,3,7,0,94,9,21,117,9,0.1,8,8,3,3,2,0,71.88,20,15,7,12,7,4,False
ozimov/spring-boot-email-tools,0a4295d1bd85033f54ab69952bd9ff2e2eb6dca7,"0.1.1, 0.2.0",src.test.java.open.springboot.mail.service.impl.PriorityQueueSchedulerServiceTest.java,13,0,0,0,0,0,4,0,0,0,0,0,0,4,2.0,7.0,0,4,0,0,4,0,77,13,33,52,0,0.0,90,67,30,3,2,1,97.89,140,81,47,50,34,17,False
ozimov/spring-boot-email-tools,0a4295d1bd85033f54ab69952bd9ff2e2eb6dca7,"0.1.1, 0.2.0",src.test.java.open.springboot.mail.utils.EmailToMimeMessageTest.java,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,0,55,11,26,71,10,0.18,4,4,4,1,1,0,100.0,6,6,6,2,2,2,False
ozimov/spring-boot-email-tools,6cac630d997abe7f7fc82023fd70047a357e296b,"0.2.0, 0.3.0",spring-boot-email-core.src.test.java.it.ozimov.springboot.mail.model.impl.EmailImplTest.java,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4.0,4.0,0,0,0,0,4,0,22,4,11,27,1,0.05,0,0,0,1,1,0,100.0,1,1,1,1,1,1,False
ozimov/spring-boot-email-tools,3638ee40e582463a490e6bc3c17ccd8f62703c14,"0.3.1, 0.3.2",spring-boot-email-core.src.test.java.it.ozimov.springboot.templating.mail.model.impl.EmailAttachmentImplTest.java,6,2,0,0,0,0,5,0,0,0,0,0,0,0,2.0,2.0,0,0,0,0,5,0,33,6,13,34,5,0.15,0,0,0,1,1,0,100.0,6,6,6,6,6,6,False
ozimov/spring-boot-email-tools,21832a804fccb2b450d6033d3c5230146ba7f7c5,"0.3.4, 0.3.5",spring-boot-email-core.src.test.java.it.ozimov.springboot.templating.mail.utils.EmailToMimeMessageTest.java,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,0,65,13,32,85,12,0.18,17,18,8,2,2,0,54.05,27,19,14,10,9,5,False
ozimov/spring-boot-email-tools,0e24812dd73ee6327cc1d0ec96c42abbfde6bb2e,"0.3.5, 0.3.6",spring-boot-email-template-engines.spring-boot-thymeleaf-email.src.test.java.it.ozimov.springboot.templating.mail.service.ThymeleafTemplateServiceTest.java,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0,3.0,0,0,0,0,3,0,21,3,6,14,1,0.05,1,1,1,1,1,0,100.0,4,4,4,3,3,3,True
ozimov/spring-boot-email-tools,0e24812dd73ee6327cc1d0ec96c42abbfde6bb2e,"0.3.5, 0.3.6",spring-boot-email-template-engines.spring-boot-pebble-email.src.test.java.it.ozimov.springboot.templating.mail.service.PebbleTemplateServiceTest.java,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0,3.0,0,0,0,0,3,0,21,3,7,14,1,0.05,-2,-2,-2,1,1,0,100.0,4,4,4,6,6,6,True
ozimov/spring-boot-email-tools,0e24812dd73ee6327cc1d0ec96c42abbfde6bb2e,"0.3.5, 0.3.6",spring-boot-email-template-engines.spring-boot-mustache-email.src.test.java.it.ozimov.springboot.templating.mail.service.MustacheTemplateServiceTest.java,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0,3.0,0,0,0,0,3,0,21,3,7,14,1,0.05,-2,-2,-2,1,1,0,100.0,4,4,4,6,6,6,True
ozimov/spring-boot-email-tools,0e24812dd73ee6327cc1d0ec96c42abbfde6bb2e,"0.3.5, 0.3.6",spring-boot-email-template-engines.spring-boot-freemarker-email.src.test.java.it.ozimov.springboot.templating.mail.service.FreemarkerTemplateServiceTest.java,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0,3.0,0,0,0,0,3,0,21,3,6,14,1,0.05,-2,-2,-2,1,1,0,100.0,4,4,4,6,6,6,True
