App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isInlineMethod
nuls-io/nuls-v1,708dde2626dbbc706228a403a84401d96096d907,"0.9.2, 0.9.8.1",consensus-module.poc.consensus-poc-base.src.test.java.io.nuls.consensus.poc.manager.ChainManagerTest.java,5,4,0,0,0,0,0,0,0,0,0,0,0,0,4.0,5.0,0,0,0,0,4,0,58,5,7,52,8,0.14,130,130,32,4,2,0,85.88,150,130,38,20,12,5,False
nuls-io/nuls-v1,708dde2626dbbc706228a403a84401d96096d907,"0.9.2, 0.9.8.1",consensus-module.poc.consensus-poc-base.src.test.java.io.nuls.consensus.poc.container.ChainContainerTest.java,8,6,4,0,0,0,0,0,0,1,0,0,0,0,6.0,27.0,2,0,0,0,6,0,144,8,17,82,25,0.17,258,263,23,11,2,1,98.03,332,264,30,74,38,7,False
nuls-io/nuls-v1,708dde2626dbbc706228a403a84401d96096d907,"0.9.2, 0.9.8.1",consensus-module.poc.consensus-poc-base.src.test.java.io.nuls.consensus.poc.cache.TxMemoryPoolTest.java,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1,0,0,0,1,0,46,1,1,14,18,0.39,107,106,21,5,1,0,100.0,122,106,24,15,10,3,False
nuls-io/nuls-v1,708dde2626dbbc706228a403a84401d96096d907,"0.9.2, 0.9.8.1",consensus-module.poc.consensus-poc-base.src.test.java.io.nuls.consensus.poc.util.ConsensusToolTest.java,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,13,1,1,11,4,0.31,53,54,18,3,1,0,100.0,58,54,19,5,3,2,False
nuls-io/nuls-v1,708dde2626dbbc706228a403a84401d96096d907,"0.9.2, 0.9.8.1",consensus-module.poc.consensus-poc-base.src.test.java.io.nuls.consensus.poc.task.BlockProcessTaskTest.java,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,1,0,26,2,4,9,3,0.12,81,75,16,5,2,1,98.37,102,75,20,21,10,4,False
nuls-io/nuls-v1,708dde2626dbbc706228a403a84401d96096d907,"0.9.2, 0.9.8.1",consensus-module.poc.consensus-poc-base.src.test.java.io.nuls.consensus.poc.provider.BlockQueueProviderTest.java,5,3,1,0,0,0,0,2,0,0,0,0,0,0,3.0,12.0,2,0,0,0,3,0,58,5,7,26,22,0.38,133,130,33,4,1,0,100.0,144,130,36,11,6,3,False
nuls-io/nuls-v1,708dde2626dbbc706228a403a84401d96096d907,"0.9.2, 0.9.8.1",consensus-module.poc.consensus-poc-base.src.test.java.io.nuls.consensus.poc.module.PocConsensusModuleBootstrapTest.java,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0,1,0,0,1,0,13,1,2,3,0,0.0,51,44,10,5,1,0,100.0,59,44,12,8,3,2,False
nuls-io/nuls-v1,708dde2626dbbc706228a403a84401d96096d907,"0.9.2, 0.9.8.1",consensus-module.poc.consensus-poc-base.src.test.java.io.nuls.consensus.poc.model.MeetingRoundTest.java,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0,0,0,0,1,0,31,2,4,21,3,0.1,80,77,10,8,2,0,86.11,94,77,12,14,5,2,False
nuls-io/nuls-v1,708dde2626dbbc706228a403a84401d96096d907,"0.9.2, 0.9.8.1",consensus-module.poc.consensus-poc-base.src.test.java.io.nuls.consensus.poc.model.MeetingMemberTest.java,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,1,0,0,1,0,17,1,1,4,2,0.12,53,54,13,4,1,0,100.0,56,54,14,3,1,1,False
nuls-io/nuls-v1,708dde2626dbbc706228a403a84401d96096d907,"0.9.2, 0.9.8.1",consensus-module.poc.consensus-poc-base.src.test.java.io.nuls.consensus.poc.model.ChainTest.java,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,1,0,18,1,1,11,4,0.22,58,58,19,3,1,0,100.0,60,58,20,2,1,1,False
nuls-io/nuls-v1,708dde2626dbbc706228a403a84401d96096d907,"0.9.2, 0.9.8.1",consensus-module.poc.consensus-poc-base.src.test.java.io.nuls.consensus.poc.manager.RoundManagerTest.java,5,4,0,0,0,0,0,0,0,0,0,0,0,0,4.0,26.0,2,0,0,0,4,0,86,5,6,38,33,0.38,159,122,18,9,2,1,98.31,227,122,25,68,49,8,False
nuls-io/nuls-v1,708dde2626dbbc706228a403a84401d96096d907,"0.9.2, 0.9.8.1",protocol-module.base.protocol-storage.src.test.java.io.nuls.protocol.storage.service.impl.BlockHeaderStorageServiceImplTest.java,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,1,0,78,7,9,53,17,0.22,140,65,47,3,1,0,100.0,143,65,48,3,3,1,False
nuls-io/nuls-v1,708dde2626dbbc706228a403a84401d96096d907,"0.9.2, 0.9.8.1",protocol-module.protocol.src.test.java.io.nuls.protocol.cache.TemporaryCacheManagerTest.java,8,1,0,0,0,0,1,0,0,0,2,0,0,0,2.0,0.0,0,0,0,0,3,0,91,8,15,41,11,0.12,184,86,37,5,1,0,100.0,204,86,41,20,13,4,False
nuls-io/nuls-v1,708dde2626dbbc706228a403a84401d96096d907,"0.9.2, 0.9.8.1",tools-module.cache.src.test.java.io.nuls.cache.CacheMapTest.java,3,1,2,0,0,0,1,2,0,2,1,0,0,1,2.0,17.0,0,1,0,0,2,0,165,10,17,44,7,0.04,237,152,40,6,1,0,100.0,254,152,42,17,7,3,False
nuls-io/nuls-v1,75debe8faf9217ece87090db30c93331027084d0,"0.9.12, 1.0.0",consensus-module.poc.consensus-poc-base.src.test.java.io.nuls.consensus.poc.cache.TxMemoryPoolTest.java,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1,0,0,0,1,0,39,1,1,13,15,0.38,-1,0,0,2,2,0,51.35,18,9,9,19,10,10,False
nuls-io/nuls-v1,96d3c3e4e17bd751192a2dc3fd13aea6193c7e2d,"1.1.0-beta, 1.1.0",protocol-module.base.protocol-base.src.test.java.io.nuls.protocol.base.service.TransactionServiceImplTest.java,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,0,239,18,37,122,7,0.03,-6,-6,-6,1,1,0,100.0,9,9,9,15,15,15,False
