App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isMergeMethod
geonetwork/core-geonetwork,79311062198b1982a9b6af9cc3a25bc93a23857c,"1.1.0-testspass, 1.1.0",web.src.test.java.org.fao.geonet.kernel.XmlSerializerTest.java,13,0,0,0,0,0,7,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,7,0,172,13,32,66,16,0.09,7,7,4,2,1,0,100.0,27,20,14,20,20,10,False
geonetwork/core-geonetwork,56496d4752f576c926a7f3d6cf9a81614fcb6901,"2.10.3, 2.10.4",web.src.test.java.org.fao.geonet.kernel.XmlSerializerTest.java,13,0,0,0,0,0,7,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,7,0,146,13,32,61,16,0.11,0,0,0,1,1,0,100.0,1,1,1,1,1,1,False
geonetwork/core-geonetwork,84c8ee82827933861f9145eb09bcaac95a9f9c86,"3.0.0RC0, 3.0.0",common.src.test.java.org.fao.geonet.ZipUtilTest.java,7,1,1,0,0,0,5,0,0,0,0,0,0,0,2.0,3.0,0,0,0,0,5,0,100,9,22,65,28,0.28,73,47,36,2,1,0,100.0,98,50,49,25,24,12,False
geonetwork/core-geonetwork,84c8ee82827933861f9145eb09bcaac95a9f9c86,"3.0.0RC0, 3.0.0",wro4j.src.test.java.org.fao.geonet.wro4j.ClosureRequireDependencyManagerTest.java,19,6,0,0,0,0,17,0,0,0,0,1,0,0,5.0,21.0,3,0,0,1,17,0,122,21,50,77,25,0.2,1,1,1,1,1,0,100.0,4,4,4,3,3,3,False
geonetwork/core-geonetwork,0962d10fac829085fc0be02b209a5fce9980cd6d,"3.0.2, 3.0.3",wro4j.src.test.java.org.fao.geonet.wro4j.TemplatesUriLocatorTest.java,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1.0,0.0,0,0,0,1,1,0,17,1,3,14,2,0.12,5,5,5,1,1,0,100.0,8,8,8,3,3,3,False
geonetwork/core-geonetwork,0962d10fac829085fc0be02b209a5fce9980cd6d,"3.0.2, 3.0.3",wro4j.src.test.java.org.fao.geonet.wro4j.GeonetWroModelFactoryTest.java,20,2,2,0,0,0,10,0,4,0,0,0,0,0,0.0,0.0,0,0,0,4,10,0,255,21,61,142,50,0.2,8,8,8,1,1,0,100.0,12,12,12,4,4,4,False
geonetwork/core-geonetwork,0962d10fac829085fc0be02b209a5fce9980cd6d,"3.0.2, 3.0.3",wro4j.src.test.java.org.fao.geonet.wro4j.ClosureRequireDependencyManagerTest.java,19,6,0,0,0,0,17,0,0,0,0,1,0,0,5.0,21.0,3,0,0,1,17,0,122,21,50,77,25,0.2,0,0,0,1,1,0,100.0,3,3,3,3,3,3,False
geonetwork/core-geonetwork,0962d10fac829085fc0be02b209a5fce9980cd6d,"3.0.2, 3.0.3",core.src.test.java.jeeves.server.overrides.ConfigurationOverridesTest.java,12,3,0,0,0,0,7,0,1,1,0,0,0,0,2.0,6.0,0,1,0,1,7,0,175,13,29,83,66,0.38,47,46,24,2,2,0,93.67,63,60,32,16,14,8,False
geonetwork/core-geonetwork,0962d10fac829085fc0be02b209a5fce9980cd6d,"3.0.2, 3.0.3",domain.src.test.java.org.fao.geonet.repository.specification.MetadataIdentifierTemplateSpecsTest.java,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,1,0,20,1,3,6,2,0.1,44,44,22,2,1,0,100.0,48,44,24,4,4,2,False
geonetwork/core-geonetwork,43562e395abdef26f18373a59cd84bd685565792,"3.8.0, 3.8.1",services.src.test.java.org.fao.geonet.services.thesaurus.GetKeywordByIdTest.java,9,3,2,0,0,0,4,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0,124,12,44,88,9,0.07,17,17,17,1,1,0,100.0,54,54,54,37,37,37,False
