App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isExtractAndMoveMethod
sonatype/nexus-public,ee8ad999b8b4b262a7856ec82c748326f70cbe6d,"release-2.14.5-02, release-2.14.7-01",components.nexus-core.src.test.java.org.sonatype.nexus.configuration.PasswordHelperTest.java,4,2,1,0,0,0,3,1,0,0,0,0,0,0,2.0,6.0,0,1,0,0,3,0,63,6,19,23,5,0.08,40,58,20,2,1,0,100.0,82,58,41,42,42,21,False
sonatype/nexus-public,489b60472df89ad90eac84cc46995a54dfe2fb1b,"release-2.14.14-01, release-2.14.15-01",plugins.yum.nexus-yum-repository-plugin.src.test.java.org.sonatype.nexus.yum.internal.task.CommandLineExecutorTest.java,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,43,5,8,19,16,0.37,98,90,49,2,1,0,100.0,144,90,72,46,46,23,False
sonatype/nexus-public,489b60472df89ad90eac84cc46995a54dfe2fb1b,"release-2.14.14-01, release-2.14.15-01",components.nexus-core.src.test.java.org.sonatype.nexus.proxy.maven.ArtifactStoreHelperTest.java,10,1,0,0,0,0,7,6,0,0,0,0,0,0,6.0,13.0,0,6,0,0,7,0,71,10,31,77,3,0.04,74,74,74,1,1,0,100.0,84,84,84,10,10,10,False
sonatype/nexus-public,0516fd788c5e39471f1a80d77e5130587a044b4c,"release-2.14.21-02, release-2.15.0-04",plugins.restlet1x.nexus-restlet-bridge.src.test.java.org.sonatype.plexus.rest.xstream.json.JsonOrgHierarchicalStreamWriterTest.java,7,0,0,0,0,0,4,0,0,4,0,0,0,0,0.0,0.0,0,4,0,0,4,0,92,7,13,19,0,0.0,2,2,2,1,1,0,100.0,4,4,4,2,2,2,False
sonatype/nexus-public,0516fd788c5e39471f1a80d77e5130587a044b4c,"release-2.14.21-02, release-2.15.0-04",plugins.restlet1x.nexus-restlet-bridge.src.test.java.org.sonatype.plexus.rest.xstream.json.JsonOrgHierarchicalStreamReaderTest.java,8,3,0,0,0,0,4,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,4,0,83,8,17,19,41,0.49,2,2,2,1,1,0,100.0,4,4,4,2,2,2,False
sonatype/nexus-public,8f9561b23afc6d29b1ae8004ab5a77edbd7dbebb,"release-3.4.0-02, release-3.5.0-02",components.nexus-core.src.test.java.org.sonatype.nexus.internal.system.FileDescriptorServiceImplTest.java,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,0,2,0,0,3,0,51,4,6,21,9,0.18,106,106,53,2,1,0,100.0,120,106,60,14,14,7,False
sonatype/nexus-public,8f9561b23afc6d29b1ae8004ab5a77edbd7dbebb,"release-3.4.0-02, release-3.5.0-02",components.nexus-pax-logging.src.test.java.org.sonatype.nexus.pax.logging.NexusLogFilterTest.java,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,0,0,0,0,5,0,31,7,8,22,5,0.16,77,73,38,2,1,0,100.0,84,73,42,7,7,4,False
sonatype/nexus-public,318b84d09149972cda42419fa9a1571b0334eee9,"release-3.7.0-04, release-3.7.1-02",components.nexus-repository.src.test.java.org.sonatype.nexus.repository.browse.internal.RebuildBrowseNodesManagerTest.java,12,0,0,0,0,0,6,1,0,0,0,0,0,0,0.0,7.0,0,4,0,0,7,0,147,12,32,110,3,0.02,-8,-8,-8,1,1,0,100.0,5,5,5,13,13,13,False
sonatype/nexus-public,48e84756f098fa1483d38076c32f640a5691c8f2,"release-3.17.0-01, release-3.18.0-01",plugins.nexus-repository-npm.src.test.java.org.sonatype.nexus.repository.npm.internal.NpmBrowseNodeGeneratorTest.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0,0,0,0,3,0,21,3,3,12,3,0.14,-9,-9,-9,1,1,0,100.0,10,10,10,19,19,19,False
sonatype/nexus-public,48e84756f098fa1483d38076c32f640a5691c8f2,"release-3.17.0-01, release-3.18.0-01",plugins.nexus-repository-maven.src.test.java.org.sonatype.nexus.repository.maven.internal.Maven2BrowseNodeGeneratorTest.java,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.0,0,0,0,0,7,0,90,8,11,60,11,0.12,18,18,18,1,1,0,100.0,44,44,44,26,26,26,False
sonatype/nexus-public,48e84756f098fa1483d38076c32f640a5691c8f2,"release-3.17.0-01, release-3.18.0-01",plugins.nexus-repository-apt.src.test.java.org.sonatype.nexus.repository.apt.internal.AptBrowseNodeGeneratorTest.java,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,12,1,1,5,1,0.08,-18,0,-9,2,1,0,100.0,7,6,4,25,24,12,False
sonatype/nexus-public,48e84756f098fa1483d38076c32f640a5691c8f2,"release-3.17.0-01, release-3.18.0-01",components.nexus-repository.src.test.java.org.sonatype.nexus.repository.storage.BrowseNodeStoreImplTest.java,19,0,0,0,0,0,14,3,0,0,0,0,0,0,1.0,9.0,0,8,0,0,14,0,194,19,55,173,5,0.03,-119,-119,-119,1,1,0,100.0,23,23,23,142,142,142,False
sonatype/nexus-public,48e84756f098fa1483d38076c32f640a5691c8f2,"release-3.17.0-01, release-3.18.0-01",components.nexus-repository.src.test.java.org.sonatype.nexus.repository.storage.BrowseNodeEntityAdapterTest.java,10,7,0,0,0,0,8,8,0,0,0,0,0,0,8.0,52.0,3,0,0,0,8,0,195,10,23,175,47,0.24,370,370,370,1,1,0,100.0,466,466,466,96,96,96,False
sonatype/nexus-public,48e84756f098fa1483d38076c32f640a5691c8f2,"release-3.17.0-01, release-3.18.0-01",components.nexus-repository.src.test.java.org.sonatype.nexus.repository.selector.internal.ContentAuthTest.java,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.0,0,0,0,0,8,0,57,9,18,64,8,0.14,-79,-79,-79,1,1,0,100.0,36,36,36,115,115,115,False
sonatype/nexus-public,48e84756f098fa1483d38076c32f640a5691c8f2,"release-3.17.0-01, release-3.18.0-01",components.nexus-repository.src.test.java.org.sonatype.nexus.repository.browse.internal.DefaultBrowseNodeGeneratorTest.java,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.0,0,0,0,0,9,0,69,9,9,53,26,0.38,-21,-21,-21,1,1,0,100.0,21,21,21,42,42,42,False
