App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isMergeMethod
NationalSecurityAgency/emissary,7d87b0a89ae1e95b24c314a4201e1e721834286d,"5.5.0, 5.6.0",src.test.java.emissary.util.TimeUtilTest.java,18,2,0,0,0,0,3,0,0,0,0,0,0,0,7.0,20.0,2,0,0,0,18,0,85,18,23,55,29,0.34,9,9,9,1,1,0,100.0,9,9,9,0,0,0,False
NationalSecurityAgency/emissary,7d87b0a89ae1e95b24c314a4201e1e721834286d,"5.5.0, 5.6.0",src.test.java.emissary.output.roller.JournaledCoalescerTest.java,16,9,1,0,0,0,14,14,0,0,0,1,0,0,4.0,15.0,1,0,0,0,14,0,200,16,36,123,33,0.17,1,1,1,1,1,0,100.0,19,19,19,18,18,18,False
NationalSecurityAgency/emissary,90564240d210a322a9fc4b55855b77bb99f300e2,"6.0.0, 6.1.0",src.test.java.emissary.place.UnixCommandPlaceTest.java,10,2,0,0,0,0,4,2,0,0,0,1,0,0,3.0,5.0,0,0,0,0,5,0,107,10,27,73,15,0.14,3,5,2,2,2,0,76.54,42,30,21,39,32,20,False
NationalSecurityAgency/emissary,90564240d210a322a9fc4b55855b77bb99f300e2,"6.0.0, 6.1.0",src.test.java.emissary.output.roller.JournaledCoalescerTest.java,16,9,1,0,0,0,14,14,0,0,0,1,0,0,4.0,15.0,1,0,0,0,14,0,220,16,36,127,33,0.15,17,17,17,1,1,0,100.0,23,23,23,6,6,6,False
NationalSecurityAgency/emissary,90564240d210a322a9fc4b55855b77bb99f300e2,"6.0.0, 6.1.0",src.test.java.emissary.output.filter.XmlOutputFilterTest.java,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0.0,0.0,0,0,0,0,2,0,39,4,7,23,6,0.15,12,12,12,1,1,0,100.0,15,15,15,3,3,3,False
NationalSecurityAgency/emissary,90564240d210a322a9fc4b55855b77bb99f300e2,"6.0.0, 6.1.0",src.test.java.emissary.output.filter.JsonOutputFilterTest.java,15,0,1,0,0,0,0,13,0,3,0,2,0,0,0.0,13.0,1,0,0,0,13,0,253,15,27,166,49,0.19,6,6,6,1,1,0,100.0,11,11,11,5,5,5,False
NationalSecurityAgency/emissary,90564240d210a322a9fc4b55855b77bb99f300e2,"6.0.0, 6.1.0",src.test.java.emissary.util.roll.RollableFileOutputStreamTest.java,9,3,1,0,0,0,6,0,0,0,0,2,0,0,2.0,5.0,0,0,0,0,6,0,102,9,21,51,13,0.13,5,5,5,1,1,0,100.0,43,43,43,38,38,38,False
NationalSecurityAgency/emissary,90564240d210a322a9fc4b55855b77bb99f300e2,"6.0.0, 6.1.0",src.test.java.emissary.util.MagicNumberUtilTest.java,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2.0,6.0,0,0,0,0,2,0,28,2,4,13,2,0.07,6,5,3,2,2,0,54.35,26,13,13,20,12,10,False
NationalSecurityAgency/emissary,90564240d210a322a9fc4b55855b77bb99f300e2,"6.0.0, 6.1.0",src.test.java.emissary.place.ServiceProviderPlaceTest.java,24,0,2,0,0,0,18,16,0,0,0,0,0,0,11.0,55.0,4,3,0,0,22,0,410,24,56,147,95,0.23,0,0,0,1,1,0,100.0,15,15,15,15,15,15,False
NationalSecurityAgency/emissary,90564240d210a322a9fc4b55855b77bb99f300e2,"6.0.0, 6.1.0",src.test.java.emissary.place.MultiFileUnixCommandPlaceTest.java,9,0,0,0,0,0,4,4,0,0,0,0,0,0,2.0,6.0,0,0,0,1,4,0,127,9,30,75,27,0.21,5,5,2,2,2,0,85.71,34,27,17,29,27,14,False
NationalSecurityAgency/emissary,90564240d210a322a9fc4b55855b77bb99f300e2,"6.0.0, 6.1.0",src.test.java.emissary.place.MainTest.java,16,0,0,0,0,0,2,0,0,0,0,0,0,0,11.0,31.0,0,0,0,0,14,0,203,16,28,87,33,0.16,-2,-2,-2,1,1,0,100.0,12,12,12,14,14,14,False
NationalSecurityAgency/emissary,90564240d210a322a9fc4b55855b77bb99f300e2,"6.0.0, 6.1.0",src.test.java.emissary.parser.SimpleNioParserTest.java,5,0,0,0,0,0,3,3,0,0,0,0,0,0,1.0,3.0,0,0,0,0,3,0,55,5,13,20,5,0.09,1,1,1,1,1,0,100.0,10,10,10,9,9,9,False
NationalSecurityAgency/emissary,90564240d210a322a9fc4b55855b77bb99f300e2,"6.0.0, 6.1.0",src.test.java.emissary.config.ServiceConfigGuideTest.java,31,0,2,0,0,0,21,0,1,0,0,0,0,0,16.0,78.0,3,0,0,1,31,0,462,31,71,208,153,0.33,11,15,4,3,3,1,76.12,39,24,13,28,27,9,False
NationalSecurityAgency/emissary,90564240d210a322a9fc4b55855b77bb99f300e2,"6.0.0, 6.1.0",src.test.java.emissary.config.ConfigUtilTest.java,33,0,1,0,0,0,22,28,0,0,0,0,0,0,20.0,64.0,3,0,1,0,28,0,411,33,73,238,68,0.17,-23,-23,-23,1,1,0,100.0,77,77,77,100,100,100,False
NationalSecurityAgency/emissary,90564240d210a322a9fc4b55855b77bb99f300e2,"6.0.0, 6.1.0",src.test.java.emissary.client.EmissaryClientTest.java,4,4,1,0,0,0,2,0,0,0,0,0,0,0,4.0,10.0,0,0,0,0,4,0,75,4,8,52,12,0.16,-19,-19,-19,1,1,0,100.0,3,3,3,22,22,22,False
NationalSecurityAgency/emissary,ea2c59b74a512a33038403ac7424ef34c7d345ca,"6.6.0, 7.0.0",src.test.java.emissary.server.mvc.internal.RegisterPeerActionTest.java,6,3,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0,57,6,12,47,8,0.14,-6,-6,-6,1,1,0,100.0,40,40,40,46,46,46,False
NationalSecurityAgency/emissary,ea2c59b74a512a33038403ac7424ef34c7d345ca,"6.6.0, 7.0.0",src.test.java.emissary.server.mvc.internal.HeartbeatActionTest.java,5,2,0,0,0,0,0,2,0,0,0,2,0,0,0.0,0.0,0,0,0,0,2,0,50,5,10,42,6,0.12,10,10,10,1,1,0,100.0,27,27,27,17,17,17,False
NationalSecurityAgency/emissary,5cd0c167e2eb437c25ab5d94f365598c1a599766,"7.0.0, 7.1.0",src.test.java.emissary.place.MultiFileUnixCommandPlaceTest.java,10,0,0,0,0,0,5,5,0,0,0,0,0,0,3.0,8.0,0,0,0,1,5,0,139,10,32,84,31,0.22,16,16,16,1,1,0,100.0,17,17,17,1,1,1,False
NationalSecurityAgency/emissary,12670c79ba258814a83a6b63039d15e067a69f7f,"7.1.0, 7.2.0",src.test.java.emissary.output.DropOffUtilTest.java,16,1,2,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,3,0,2,0,10,0,381,16,29,108,63,0.17,90,58,30,3,3,1,72.13,106,73,35,16,15,5,False
NationalSecurityAgency/emissary,6873c25de1093e0abd55a05fb3d606acc3aaf0c2,"7.2.0, 7.3.0",src.test.java.emissary.output.DropOffUtilTest.java,16,1,2,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,3,0,2,0,10,0,382,16,29,108,63,0.16,1,1,1,1,1,0,100.0,5,5,5,4,4,4,False
NationalSecurityAgency/emissary,3fbfec15d07795341c7002880bfb7fec60c6bc4b,"7.4.0, 7.5.0",src.test.java.emissary.kff.KffMemcachedTest.java,13,1,0,0,0,0,6,6,0,0,0,0,0,0,1.0,5.0,0,0,0,0,6,0,122,14,41,54,7,0.06,6,6,6,1,1,0,100.0,19,19,19,13,13,13,False
NationalSecurityAgency/emissary,3fbfec15d07795341c7002880bfb7fec60c6bc4b,"7.4.0, 7.5.0",src.test.java.emissary.kff.ChecksumCalculatorTest.java,6,0,0,0,0,0,6,0,0,0,0,0,0,0,5.0,11.0,0,0,0,0,6,0,117,6,29,66,48,0.41,2,3,1,2,2,0,88.98,60,54,30,58,51,29,False
