App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isModifyMethodAnnotation
logic-ng/LogicNG,0188080e0c29d6564dcf971163a8a86d60034ac2,"v1.0-RC1, v1.0-RC2",src.test.java.org.logicng.formulas.PBConstraintTest.java,26,20,0,1,0,0,1,0,0,0,2,4,0,0,17.0,22.0,2,0,0,0,26,0,377.0,27.0,30.0,123.0,170.0,0.45,485,512,97,5,1,0,100.0,537,512,107,52,47,10,False
logic-ng/LogicNG,fc5de39caa66cbf44c7fefec14d0d5ddd6625b6e,"v1.0-RC2, v1.0-RC3",src.test.java.org.logicng.formulas.LiteralTest.java,18,17,0,0,0,0,0,0,0,0,1,1,0,0,11.0,0.0,2,1,0,0,18,0,105.0,18.0,19.0,49.0,57.0,0.54,14,9,7,2,1,0,100.0,17,9,8,3,3,2,False
logic-ng/LogicNG,ca89698aab46e5083c06176f1a89f23b054e346a,"v1.0-RC3, v1.0-RC4",src.test.java.org.logicng.formulas.FormulaFactoryTest.java,4,2,0,0,0,0,0,0,0,0,0,1,0,0,3.0,15.0,1,0,0,0,4,0,60.0,4.0,4.0,23.0,20.0,0.33,20,20,10,2,2,0,64.52,41,30,20,21,11,10,False
logic-ng/LogicNG,ca89698aab46e5083c06176f1a89f23b054e346a,"v1.0-RC3, v1.0-RC4",src.test.java.org.logicng.pseudobooleans.PBSWCTest.java,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0,1,1,0,3,0,78.0,4.0,7.0,31.0,9.0,0.12,1,1,1,1,1,0,100.0,13,13,13,12,12,12,False
logic-ng/LogicNG,ca89698aab46e5083c06176f1a89f23b054e346a,"v1.0-RC3, v1.0-RC4",src.test.java.org.logicng.formulas.PBConstraintTest.java,24,21,0,1,0,0,1,0,0,0,2,4,0,0,18.0,19.0,2,0,0,0,24,0,366.0,25.0,28.0,130.0,169.0,0.46,-21,-21,-21,1,1,0,100.0,68,68,68,89,89,89,False
logic-ng/LogicNG,ca89698aab46e5083c06176f1a89f23b054e346a,"v1.0-RC3, v1.0-RC4",src.test.java.org.logicng.formulas.OrTest.java,15,13,0,0,0,0,1,0,0,0,1,1,0,0,1.0,0.0,3,0,0,0,15,0,121.0,15.0,17.0,53.0,71.0,0.59,0,0,0,1,1,0,100.0,11,11,11,11,11,11,False
logic-ng/LogicNG,ca89698aab46e5083c06176f1a89f23b054e346a,"v1.0-RC3, v1.0-RC4",src.test.java.org.logicng.formulas.NotTest.java,15,14,0,0,0,0,1,0,0,0,1,1,0,0,9.0,0.0,3,0,0,0,15,0,91.0,15.0,17.0,46.0,46.0,0.51,0,0,0,1,1,0,100.0,7,7,7,7,7,7,False
logic-ng/LogicNG,ca89698aab46e5083c06176f1a89f23b054e346a,"v1.0-RC3, v1.0-RC4",src.test.java.org.logicng.formulas.ImplicationTest.java,17,15,0,0,0,0,1,0,0,0,1,1,0,0,1.0,0.0,4,0,0,0,17,0,110.0,17.0,19.0,50.0,57.0,0.52,0,0,0,1,1,0,100.0,10,10,10,10,10,10,False
logic-ng/LogicNG,ca89698aab46e5083c06176f1a89f23b054e346a,"v1.0-RC3, v1.0-RC4",src.test.java.org.logicng.formulas.EquivalenceTest.java,16,15,0,0,0,0,1,0,0,0,1,1,0,0,1.0,0.0,4,0,0,0,16,0,112.0,16.0,18.0,49.0,62.0,0.55,0,0,0,1,1,0,100.0,9,9,9,9,9,9,False
logic-ng/LogicNG,ca89698aab46e5083c06176f1a89f23b054e346a,"v1.0-RC3, v1.0-RC4",src.test.java.org.logicng.formulas.AndTest.java,16,13,0,0,0,0,1,0,0,0,1,1,0,0,1.0,0.0,3,0,0,0,16,0,125.0,16.0,18.0,58.0,72.0,0.58,0,0,0,1,1,0,100.0,13,13,13,13,13,13,False
