App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isSplitAttribute
groupon/DotCi,caa271b4f5959e63ae78bf9a017ce2cfd551a26a,"DotCi-1.0.0, DotCi-1.0.1",src.test.java.com.groupon.jenkins.github.GithubWebhookTest.java,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0,34,5,14,32,0,0.0,14,14,14,1,1,0,100.0,15,15,15,1,1,1,False
groupon/DotCi,70ac8f889461a3444d9e023e7b3a32c62e6fe3b2,"DotCi-1.0.3, DotCi-1.1.0",src.test.java.com.groupon.jenkins.dynamic.buildconfiguration.EffectiveBuildConfigurationCalculatorTest.java,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,2.0,0,0,0,0,3,0,37,6,15,24,3,0.08,-1,-1,-1,1,1,0,100.0,5,5,5,6,6,6,False
groupon/DotCi,54cc027d15d10750bb4a1b0c18d4968ed3bd37c7,"DotCi-2.0.0, DotCi-2.1.0",src.test.java.com.groupon.jenkins.github.CommitStatusUpdateListenerTest.java,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0.0,3.0,0,3,0,0,4,0,33,6,17,35,0,0.0,32,32,32,1,1,0,100.0,51,51,51,19,19,19,False
groupon/DotCi,3f4aa8586b77b5da6346659e5eed9442d1f6a341,"DotCi-2.1.0, DotCi-2.2",src.test.java.com.groupon.jenkins.mongo.DynamicProjectRepositoryTest.java,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,7,0,1,0,39,9,13,22,5,0.13,126,75,25,5,1,0,100.0,139,75,28,13,8,3,False
groupon/DotCi,3f4aa8586b77b5da6346659e5eed9442d1f6a341,"DotCi-2.1.0, DotCi-2.2",src.test.java.com.groupon.jenkins.mongo.MongoRepositoryTest.java,4,2,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0,0,1,0,2,0,88,4,10,68,17,0.19,208,201,35,6,1,0,100.0,276,201,46,68,35,11,False
groupon/DotCi,3f4aa8586b77b5da6346659e5eed9442d1f6a341,"DotCi-2.1.0, DotCi-2.2",src.test.java.com.groupon.jenkins.buildtype.dockerimage.DockerImageBuildConfigurationTest.java,9,3,0,0,0,0,6,0,0,0,0,0,0,0,1.0,8.0,0,0,1,0,8,0,56,9,23,41,20,0.36,2,2,2,1,1,0,100.0,3,3,3,1,1,1,False
groupon/DotCi,764f1a38f1dee6181cba9adff35504a86cd12719,"DotCi-2.3, DotCi-2.5",src.test.java.com.groupon.jenkins.buildtype.dockerimage.DockerImageBuildConfigurationTest.java,9,4,0,0,0,0,6,0,0,0,0,0,0,0,4.0,12.0,0,0,0,0,9,0,57,9,23,45,20,0.35,1,1,1,1,1,0,100.0,9,9,9,8,8,8,False
groupon/DotCi,e17f246710c1e7a6c24aa5cba2e5beb751ddf690,"DotCi-2.5, DotCi-2.6.0",src.test.java.com.groupon.jenkins.mongo.DynamicProjectRepositoryTest.java,9,6,2,0,0,0,4,0,0,0,0,0,0,0,5.0,7.0,0,0,0,0,8,0,74,9,18,57,16,0.22,27,27,27,1,1,0,100.0,46,46,46,19,19,19,False
groupon/DotCi,e17f246710c1e7a6c24aa5cba2e5beb751ddf690,"DotCi-2.5, DotCi-2.6.0",src.test.java.com.groupon.jenkins.dynamic.build.DynamicBuildModelTest.java,7,1,0,0,0,0,5,0,0,0,0,0,0,0,0.0,3.0,0,3,0,0,6,0,75,11,29,59,4,0.05,26,27,6,4,2,1,96.0,38,30,10,12,4,3,False
groupon/DotCi,e17f246710c1e7a6c24aa5cba2e5beb751ddf690,"DotCi-2.5, DotCi-2.6.0",src.test.java.com.groupon.jenkins.buildtype.dockerimage.DockerImageBuildConfigurationTest.java,9,4,0,0,0,0,6,0,0,0,0,0,0,0,4.0,13.0,0,0,0,0,9,0,59,9,23,45,21,0.36,2,2,2,1,1,0,100.0,4,4,4,2,2,2,False
