App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isPushDownMethod
sdaschner/jaxrs-analyzer,4358d3788ae683e2d115b725e59535df84646ac6,"v0.3, v0.4",src.test.java.com.sebastian_daschner.jaxrs_analyzer.backend.swagger.SwaggerBackendTest.java,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,45,4,5,18,1,0.02,1,2,0,2,1,0,100.0,10,10,5,9,8,4,False
sdaschner/jaxrs-analyzer,4358d3788ae683e2d115b725e59535df84646ac6,"v0.3, v0.4",src.test.java.com.sebastian_daschner.jaxrs_analyzer.backend.asciidoc.AsciiDocBackendTest.java,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,47,4,5,18,1,0.02,224,222,112,2,1,0,100.0,241,222,120,17,17,8,False
sdaschner/jaxrs-analyzer,3b012704eb795021782c9334d61b18bbedfa3aa6,"v0.6, v0.7",src.test.java.com.sebastian_daschner.jaxrs_analyzer.analysis.project.methods.SubResourceLocatorMethodContentAnalyzerTest.java,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,45,3,12,29,1,0.02,1,1,1,1,1,0,100.0,8,8,8,7,7,7,False
sdaschner/jaxrs-analyzer,3b012704eb795021782c9334d61b18bbedfa3aa6,"v0.6, v0.7",src.test.java.com.sebastian_daschner.jaxrs_analyzer.analysis.project.methods.ResourceMethodContentAnalyzerTest.java,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,41,3,10,14,1,0.02,0,0,0,1,1,0,100.0,2,2,2,2,2,2,False
sdaschner/jaxrs-analyzer,72c91331d65a2f517b306b52c0f11d2cd3721f27,"v0.9, v0.10",src.test.java.com.sebastian_daschner.jaxrs_analyzer.analysis.results.JavaTypeAnalyzerTest.java,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,1,0,45,3,13,15,2,0.04,19,20,4,5,1,0,100.0,174,79,35,155,74,31,False
sdaschner/jaxrs-analyzer,72c91331d65a2f517b306b52c0f11d2cd3721f27,"v0.9, v0.10",src.test.java.com.sebastian_daschner.jaxrs_analyzer.analysis.bytecode.reduction.RelevantInstructionReducerTest.java,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,46,4,13,31,1,0.02,11,21,6,2,1,0,100.0,125,77,62,114,58,57,False
sdaschner/jaxrs-analyzer,72c91331d65a2f517b306b52c0f11d2cd3721f27,"v0.9, v0.10",src.test.java.com.sebastian_daschner.jaxrs_analyzer.analysis.results.ResultInterpreterTest.java,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.0,0,0,0,0,9,0,133,10,13,164,9,0.07,1,2,0,4,1,0,100.0,38,24,10,37,22,9,False
sdaschner/jaxrs-analyzer,72c91331d65a2f517b306b52c0f11d2cd3721f27,"v0.9, v0.10",src.test.java.com.sebastian_daschner.jaxrs_analyzer.analysis.ProjectAnalyzerTest.java,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,1,0,141,8,22,64,17,0.12,65,62,16,4,1,0,100.0,132,114,33,67,52,17,False
sdaschner/jaxrs-analyzer,72c91331d65a2f517b306b52c0f11d2cd3721f27,"v0.9, v0.10",src.test.java.com.sebastian_daschner.jaxrs_analyzer.backend.swagger.SwaggerBackendTest.java,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,89,5,7,31,1,0.01,180,47,15,12,3,0,62.91,303,66,25,123,55,10,False
sdaschner/jaxrs-analyzer,72c91331d65a2f517b306b52c0f11d2cd3721f27,"v0.9, v0.10",src.test.java.com.sebastian_daschner.jaxrs_analyzer.analysis.results.DynamicTypeAnalyzerTest.java,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4,0,0,0,4,0,113,8,16,71,50,0.44,176,170,44,4,1,0,100.0,186,170,46,10,4,2,False
sdaschner/jaxrs-analyzer,72c91331d65a2f517b306b52c0f11d2cd3721f27,"v0.9, v0.10",src.test.java.com.sebastian_daschner.jaxrs_analyzer.backend.swagger.SchemaBuilderTest.java,8,6,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1,0,0,0,6,0,115,8,16,70,19,0.17,44,36,11,4,1,0,100.0,158,105,40,114,96,28,False
sdaschner/jaxrs-analyzer,72c91331d65a2f517b306b52c0f11d2cd3721f27,"v0.9, v0.10",src.test.java.com.sebastian_daschner.jaxrs_analyzer.backend.asciidoc.AsciiDocBackendTest.java,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,56,4,7,23,1,0.02,37,35,5,7,2,1,98.8,102,77,15,65,42,9,False
sdaschner/jaxrs-analyzer,ff421bfe33c6656b6c5595a62c1b7e4941aa88f3,"v0.10, v0.12",src.test.java.com.sebastian_daschner.jaxrs_analyzer.analysis.classes.ResourceMethodContentAnalyzerTest.java,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,50,5,16,24,1,0.02,2,2,2,1,1,0,100.0,3,3,3,1,1,1,False
sdaschner/jaxrs-analyzer,ff421bfe33c6656b6c5595a62c1b7e4941aa88f3,"v0.10, v0.12",src.test.java.com.sebastian_daschner.jaxrs_analyzer.backend.swagger.SwaggerBackendTest.java,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,90,5,7,27,1,0.01,5,5,2,2,1,0,100.0,26,25,13,21,20,10,False
sdaschner/jaxrs-analyzer,e414924f96eb4846e2c1f5a509e850beba33fc27,"v0.12, v0.13",src.test.java.com.sebastian_daschner.jaxrs_analyzer.backend.swagger.SwaggerBackendTest.java,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,95,5,7,29,1,0.01,11,6,3,4,3,0,43.48,17,7,4,6,2,2,False
sdaschner/jaxrs-analyzer,da55f4ab390c4a570263a5890cf062fcac5a5f79,"v0.15, v0.16",src.test.java.com.sebastian_daschner.jaxrs_analyzer.backend.asciidoc.AsciiDocBackendTest.java,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,65,4,9,27,1,0.02,52,52,13,4,2,0,52.1,145,72,36,93,60,23,False
sdaschner/jaxrs-analyzer,e23695676ffded74f292bbe1dc59813e30d99e12,"v0.16, v0.17",src.test.java.com.sebastian_daschner.jaxrs_analyzer.analysis.results.ResultInterpreterTest.java,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.0,0,0,0,0,11,0,158,12,15,198,11,0.07,-9,1,-4,2,1,0,100.0,4,3,2,13,13,6,False
