App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isExtractAndMoveMethod
OHDSI/WebAPI,8ce7e2c139e8f523b36565eab5e21cac773d173f,"v2.7.6, v2.7.7",src.test.java.org.ohdsi.webapi.executionengine.service.AnalysisZipRepackServiceTest.java,5,0,0,0,0,0,1,3,0,0,0,0,0,0,0.0,3.0,0,0,0,0,3,0,32,5,10,29,3,0.09,87,90,29,3,1,0,100.0,101,90,34,14,9,5,False
OHDSI/WebAPI,01396fb0afec2edb5c23f5d8a02ceae24d09b9e5,"v2.8.1, v2.8.2",src.test.java.org.ohdsi.webapi.service.CohortResultsServiceTest.java,11,1,2,0,0,0,6,0,0,0,0,0,0,0,0.0,4.0,0,0,0,0,10,0,78,11,26,39,18,0.23,-1,-1,-1,1,1,0,100.0,4,4,4,5,5,5,False
