App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isExtractInterface
WojciechZankowski/iextrading4j,a722fa57d55ee0c173ab6e0641df14ba499876a5,"IT4J_RELEASE_1_0_1, IT4J_RELEASE_1_0_2",iextrading4j-client.src.test.java.pl.zankowski.iextrading4j.client.socket.model.AsyncRequestTest.java,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.0,1,0,0,0,6,0,48,6,6,42,13,0.27,91,96,46,2,2,0,80.67,105,96,52,14,14,7,False
WojciechZankowski/iextrading4j,b018ed9448a7e768271aa4971481d19b158c6f6b,"IT4J_RELEASE_1_1_0, IT4J_RELEASE_2_0_0",iextrading4j-api.src.test.java.pl.zankowski.iextrading4j.api.stats.RecordsStatsTest.java,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,1,0,0,2,0,17,2,4,10,4,0.24,-32,-7,-16,2,2,0,62.12,17,17,8,49,25,24,False
WojciechZankowski/iextrading4j,b018ed9448a7e768271aa4971481d19b158c6f6b,"IT4J_RELEASE_1_1_0, IT4J_RELEASE_2_0_0",iextrading4j-api.src.test.java.pl.zankowski.iextrading4j.api.stats.RecordTest.java,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,1,0,0,2,0,17,2,4,10,4,0.24,-30,-4,-15,2,2,0,60.61,18,18,9,48,26,24,False
WojciechZankowski/iextrading4j,b018ed9448a7e768271aa4971481d19b158c6f6b,"IT4J_RELEASE_1_1_0, IT4J_RELEASE_2_0_0",iextrading4j-api.src.test.java.pl.zankowski.iextrading4j.api.stats.RecentStatsTest.java,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,1,0,0,2,0,21,2,4,12,6,0.29,-36,-4,-18,2,2,0,57.89,20,20,10,56,32,28,False
WojciechZankowski/iextrading4j,b018ed9448a7e768271aa4971481d19b158c6f6b,"IT4J_RELEASE_1_1_0, IT4J_RELEASE_2_0_0",iextrading4j-api.src.test.java.pl.zankowski.iextrading4j.api.stats.IntradayStatsTest.java,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,1,0,0,2,0,19,2,4,11,5,0.26,-34,0,-17,2,2,0,56.45,45,27,22,79,52,40,False
WojciechZankowski/iextrading4j,b018ed9448a7e768271aa4971481d19b158c6f6b,"IT4J_RELEASE_1_1_0, IT4J_RELEASE_2_0_0",iextrading4j-api.src.test.java.pl.zankowski.iextrading4j.api.stats.IntradayStatTest.java,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,1,0,0,2,0,13,2,4,8,2,0.15,-23,0,-12,2,2,0,59.14,35,19,18,58,39,29,False
WojciechZankowski/iextrading4j,b018ed9448a7e768271aa4971481d19b158c6f6b,"IT4J_RELEASE_1_1_0, IT4J_RELEASE_2_0_0",iextrading4j-api.src.test.java.pl.zankowski.iextrading4j.api.stats.HistoricalDailyStatsTest.java,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,1,0,0,2,0,21,2,4,12,6,0.29,-38,-6,-19,2,2,0,58.97,20,20,10,58,32,29,False
WojciechZankowski/iextrading4j,b018ed9448a7e768271aa4971481d19b158c6f6b,"IT4J_RELEASE_1_1_0, IT4J_RELEASE_2_0_0",iextrading4j-api.src.test.java.pl.zankowski.iextrading4j.api.market.MarketVolumeTest.java,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,1,0,0,2,0,27,2,4,15,9,0.33,-45,-45,-45,1,1,0,100.0,24,24,24,69,69,69,False
WojciechZankowski/iextrading4j,e3f51ae2ecb50776993431857ac2c8397e67a6dd,"IT4J_RELEASE_2_0_1, IT4J_RELEASE_2_1_0",iextrading4j-api.src.test.java.pl.zankowski.iextrading4j.api.stocks.ChartTest.java,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,2,0,0,3,0,60,3,8,37,24,0.4,24,13,8,3,1,0,100.0,31,18,10,7,5,2,False
WojciechZankowski/iextrading4j,e3f51ae2ecb50776993431857ac2c8397e67a6dd,"IT4J_RELEASE_2_0_1, IT4J_RELEASE_2_1_0",iextrading4j-client.src.test.java.pl.zankowski.iextrading4j.client.rest.request.stocks.OpenCloseRequestBuilderTest.java,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,13,1,1,12,5,0.38,30,30,15,2,1,0,100.0,33,30,16,3,3,2,False
WojciechZankowski/iextrading4j,e3f51ae2ecb50776993431857ac2c8397e67a6dd,"IT4J_RELEASE_2_0_1, IT4J_RELEASE_2_1_0",iextrading4j-api.src.test.java.pl.zankowski.iextrading4j.api.refdata.ExchangeSymbolTest.java,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,2,0,0,3,0,24,3,7,15,6,0.25,7,7,4,2,1,0,100.0,9,7,4,2,2,1,False
WojciechZankowski/iextrading4j,7e1dfcf145971dc31df045ae61a013014b6ef8f3,"IT4J_RELEASE_2_1_0, IT4J_RELEASE_2_1_1",iextrading4j-client.src.test.java.pl.zankowski.iextrading4j.client.mapper.HackyLocalDateDeserializerTest.java,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0,3.0,0,0,0,0,3,0,33,5,9,24,3,0.09,1,1,1,1,1,0,100.0,3,3,3,2,2,2,False
WojciechZankowski/iextrading4j,522661249e06cd9f17b0a881b0a56c05a4bd1f17,"IT4J_RELEASE_2_2_0, IT4J_RELEASE_2_2_1",iextrading4j-client.src.test.java.pl.zankowski.iextrading4j.client.rest.request.marketdata.HistRequestBuilderTest.java,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,0,0,0,0,2,0,23,2,2,22,10,0.43,13,13,13,1,1,0,100.0,14,14,14,1,1,1,False
WojciechZankowski/iextrading4j,e2f89b82b8fbd50bbc79357bedb864b505cc1be3,"IT4J_RELEASE_2_3_0, IT4J_RELEASE_3_0_0",iextrading4j-api.src.test.java.pl.zankowski.iextrading4j.api.stocks.TodayEarningsTest.java,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,1,1,0,2,0,18,3,7,14,3,0.17,4,4,4,1,1,0,100.0,5,5,5,1,1,1,False
WojciechZankowski/iextrading4j,e2f89b82b8fbd50bbc79357bedb864b505cc1be3,"IT4J_RELEASE_2_3_0, IT4J_RELEASE_3_0_0",iextrading4j-client.src.test.java.pl.zankowski.iextrading4j.client.rest.manager.RestClientMetadataTest.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,3,0,13,3,7,8,1,0.08,2,1,1,2,1,0,100.0,7,4,4,5,3,2,False
WojciechZankowski/iextrading4j,e2f89b82b8fbd50bbc79357bedb864b505cc1be3,"IT4J_RELEASE_2_3_0, IT4J_RELEASE_3_0_0",iextrading4j-client.src.test.java.pl.zankowski.iextrading4j.client.socket.manager.SocketWrapperTest.java,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,1,0,19,3,5,9,1,0.05,7,7,7,1,1,0,100.0,8,8,8,1,1,1,False
WojciechZankowski/iextrading4j,6a82d9225698e9229588053ca4a48cdb6a159316,"IT4J_RELEASE_3_0_0, IT4J_RELEASE_3_0_1",iextrading4j-api.src.test.java.pl.zankowski.iextrading4j.api.stocks.TodayEarningsTest.java,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,2,0,0,3,0,18,3,7,14,3,0.17,-2,-2,-2,1,1,0,100.0,0,0,0,2,2,2,False
WojciechZankowski/iextrading4j,5c4010284857633e29a21a2ee804c3a68e39f357,"IT4J_RELEASE_3_2_2, IT4J_RELEASE_3_2_3",iextrading4j-client.src.test.java.pl.zankowski.iextrading4j.client.sse.request.marketdata.TopsSseRequestBuilderTest.java,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,12,1,1,11,4,0.33,2,2,2,1,1,0,100.0,4,4,4,2,2,2,False
WojciechZankowski/iextrading4j,5c4010284857633e29a21a2ee804c3a68e39f357,"IT4J_RELEASE_3_2_2, IT4J_RELEASE_3_2_3",iextrading4j-client.src.test.java.pl.zankowski.iextrading4j.client.sse.endpoint.GenericSseEndpointTest.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0,2,0,0,2,0,19,3,6,10,0,0.0,1,1,1,1,1,0,100.0,4,4,4,3,3,3,False
WojciechZankowski/iextrading4j,53107a718f71a1b1bec8703e38e3d890f6dd2a07,"IT4J_RELEASE_3_2_3, IT4J_RELEASE_3_2_4",iextrading4j-client.src.test.java.pl.zankowski.iextrading4j.client.sse.request.stocks.QuoteSseRequestBuilderTest.java,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,1,0,12,1,1,11,4,0.33,2,2,2,1,1,0,100.0,4,4,4,2,2,2,False
WojciechZankowski/iextrading4j,53107a718f71a1b1bec8703e38e3d890f6dd2a07,"IT4J_RELEASE_3_2_3, IT4J_RELEASE_3_2_4",iextrading4j-client.src.test.java.pl.zankowski.iextrading4j.client.sse.request.stocks.NewsSseRequestBuilderTest.java,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,12,1,1,11,4,0.33,2,2,2,1,1,0,100.0,4,4,4,2,2,2,False
WojciechZankowski/iextrading4j,53107a718f71a1b1bec8703e38e3d890f6dd2a07,"IT4J_RELEASE_3_2_3, IT4J_RELEASE_3_2_4",iextrading4j-client.src.test.java.pl.zankowski.iextrading4j.client.sse.request.marketdata.TradingStatusSseRequestBuilderTest.java,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,12,1,1,11,4,0.33,2,2,2,1,1,0,100.0,4,4,4,2,2,2,False
WojciechZankowski/iextrading4j,53107a718f71a1b1bec8703e38e3d890f6dd2a07,"IT4J_RELEASE_3_2_3, IT4J_RELEASE_3_2_4",iextrading4j-client.src.test.java.pl.zankowski.iextrading4j.client.sse.request.marketdata.TradesSseRequestBuilderTest.java,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,12,1,1,11,4,0.33,2,2,2,1,1,0,100.0,4,4,4,2,2,2,False
