App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isModifyClassAnnotation
vmware-archive/admiral,5456079d5e99ea6f94257da54e0ea839e8230931,"7.2-GA, 7.2-GA-HF1",compute.src.test.java.com.vmware.admiral.compute.container.HostNetworkListDataCollectionTest.java,10,3,0,0,0,0,3,3,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0,114,10,25,57,16,0.14,56,56,56,1,1,0,100.0,97,97,97,41,41,41,False
vmware-archive/admiral,5456079d5e99ea6f94257da54e0ea839e8230931,"7.2-GA, 7.2-GA-HF1",common.src.test.java.com.vmware.admiral.common.util.ServerX509TrustManagerTest.java,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0,1,0,1,1,0,25,3,11,13,0,0.0,1,1,1,1,1,0,100.0,3,3,3,2,2,2,False
vmware-archive/admiral,6d57836ecdbd01632fdff77b3fca1f45d832381c,"v0.5-alpha, v0.5.0",adapter.docker.src.test.java.com.vmware.admiral.adapter.docker.service.DockerVolumeAdapterServiceTest.java,16,1,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,2,0,166,17,46,89,2,0.01,377,334,188,2,1,0,100.0,387,334,194,10,10,5,False
vmware-archive/admiral,6d57836ecdbd01632fdff77b3fca1f45d832381c,"v0.5-alpha, v0.5.0",request.src.test.java.com.vmware.admiral.request.composition.CompositionSubTaskServiceTest.java,8,1,0,0,0,0,3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0,95,8,22,46,13,0.14,196,154,98,2,2,0,71.3,206,154,103,10,10,5,False
vmware-archive/admiral,6d57836ecdbd01632fdff77b3fca1f45d832381c,"v0.5-alpha, v0.5.0",request.src.test.java.com.vmware.admiral.request.composition.CompositionGraphTest.java,13,4,0,0,0,0,0,2,0,0,0,0,0,0,2.0,15.0,1,0,0,0,10,0,238,13,16,94,100,0.42,442,396,221,2,2,0,84.62,455,396,228,13,13,6,False
vmware-archive/admiral,6d57836ecdbd01632fdff77b3fca1f45d832381c,"v0.5-alpha, v0.5.0",compute.src.test.java.com.vmware.admiral.compute.BindingEvaluatorTest.java,14,6,0,0,0,0,0,0,0,0,0,3,0,0,0.0,12.0,0,0,0,0,13,0,204,14,16,74,18,0.09,416,306,208,2,2,0,59.07,467,306,234,51,51,26,False
vmware-archive/admiral,6d57836ecdbd01632fdff77b3fca1f45d832381c,"v0.5-alpha, v0.5.0",request.src.test.java.com.vmware.admiral.request.compute.ComputeAllocationTaskServiceTest.java,11,2,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,2,0,96,11,30,47,18,0.19,194,165,97,2,2,0,77.1,204,165,102,10,10,5,False
vmware-archive/admiral,6d57836ecdbd01632fdff77b3fca1f45d832381c,"v0.5-alpha, v0.5.0",request.src.test.java.com.vmware.admiral.request.allocation.filter.ContainerToNetworkAffinityHostFilterTest.java,14,8,4,0,0,0,9,0,0,0,0,0,0,0,1.0,7.0,0,0,0,0,9,0,179,14,41,101,24,0.13,303,180,101,3,2,0,53.0,343,180,114,40,35,13,False
vmware-archive/admiral,6d57836ecdbd01632fdff77b3fca1f45d832381c,"v0.5-alpha, v0.5.0",request.src.test.java.com.vmware.admiral.request.allocation.filter.BaseAffinityHostFilterTest.java,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,84,8,31,38,1,0.01,194,150,65,3,2,0,67.57,208,150,69,14,9,5,False
vmware-archive/admiral,6d57836ecdbd01632fdff77b3fca1f45d832381c,"v0.5-alpha, v0.5.0",compute.src.test.java.com.vmware.admiral.compute.container.ContainerHostDataCollectionServiceTest.java,17,0,7,0,0,0,9,8,0,0,0,0,0,0,0.0,0.0,0,9,0,0,9,0,367,17,42,149,0,0.0,938,963,313,3,2,0,91.37,996,963,332,58,56,19,False
vmware-archive/admiral,1d492c3f74d0eba5d18d81fcb354bf58293f1379,"v0.5.0, v0.9.1",adapter.common.src.test.java.com.vmware.admiral.adapter.docker.util.DockerImageTest.java,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,1,0,50,3,4,8,5,0.1,9,9,9,1,1,0,100.0,21,21,21,12,12,12,False
vmware-archive/admiral,1d492c3f74d0eba5d18d81fcb354bf58293f1379,"v0.5.0, v0.9.1",adapter.docker.src.test.java.com.vmware.admiral.adapter.docker.service.DockerAdapterServiceTest.java,40,0,1,0,0,0,8,0,0,0,0,2,0,0,0.0,0.0,1,3,0,1,8,0,456,44,123,248,33,0.07,40,42,10,4,4,1,67.57,57,46,14,17,12,4,False
vmware-archive/admiral,1d492c3f74d0eba5d18d81fcb354bf58293f1379,"v0.5.0, v0.9.1",request.src.test.java.com.vmware.admiral.request.compute.ComputeAllocationTaskServiceTest.java,11,2,0,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,1,0,0,0,2,0,94,11,30,47,16,0.17,-2,0,0,5,3,0,78.57,13,5,3,15,6,3,False
vmware-archive/admiral,1d492c3f74d0eba5d18d81fcb354bf58293f1379,"v0.5.0, v0.9.1",compute.src.test.java.com.vmware.admiral.compute.container.GroupResourcePlacementServiceTest.java,27,9,4,0,0,0,14,14,0,0,0,0,0,0,0.0,0.0,2,3,0,0,14,0,420,27,74,166,64,0.15,844,743,141,6,6,4,83.48,867,743,144,23,14,4,False
vmware-archive/admiral,1d492c3f74d0eba5d18d81fcb354bf58293f1379,"v0.5.0, v0.9.1",request.src.test.java.com.vmware.admiral.request.allocation.filter.BaseAffinityHostFilterTest.java,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,89,8,31,39,1,0.01,10,5,2,4,3,0,41.67,11,5,3,1,1,0,False
vmware-archive/admiral,1d492c3f74d0eba5d18d81fcb354bf58293f1379,"v0.5.0, v0.9.1",request.src.test.java.com.vmware.admiral.request.ContainerRemovalTaskServiceTest.java,12,9,2,0,0,0,10,1,0,0,0,0,0,0,0.0,0.0,4,0,0,0,10,0,380,12,30,142,71,0.19,32,68,4,8,4,2,51.02,163,72,20,131,54,16,False
vmware-archive/admiral,1d492c3f74d0eba5d18d81fcb354bf58293f1379,"v0.5.0, v0.9.1",compute.src.test.java.com.vmware.admiral.compute.container.HostNetworkListDataCollectionTest.java,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,64,6,14,29,6,0.09,189,187,47,4,2,1,96.55,196,187,49,7,4,2,False
vmware-archive/admiral,1d492c3f74d0eba5d18d81fcb354bf58293f1379,"v0.5.0, v0.9.1",adapter.docker.src.test.java.com.vmware.admiral.adapter.docker.service.DockerVolumeAdapterServiceTest.java,17,1,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1,2,0,173,18,50,90,2,0.01,11,11,2,6,3,1,74.55,33,14,6,22,12,4,False
vmware-archive/admiral,1d492c3f74d0eba5d18d81fcb354bf58293f1379,"v0.5.0, v0.9.1",request.src.test.java.com.vmware.admiral.request.ReservationTaskServiceTest.java,18,13,0,0,0,0,14,0,0,0,0,0,0,0,0.0,0.0,3,0,0,0,14,0,445,18,54,173,53,0.12,50,50,12,4,4,2,91.18,331,279,83,281,279,70,False
vmware-archive/admiral,1d492c3f74d0eba5d18d81fcb354bf58293f1379,"v0.5.0, v0.9.1",request.src.test.java.com.vmware.admiral.request.RequestBrokerServiceTest.java,25,18,12,0,0,0,24,0,0,0,0,0,0,0,0.0,0.0,8,1,0,0,24,0,982,25,96,462,139,0.14,969,267,51,19,7,3,65.4,1116,267,59,147,97,8,False
vmware-archive/admiral,1d492c3f74d0eba5d18d81fcb354bf58293f1379,"v0.5.0, v0.9.1",request.src.test.java.com.vmware.admiral.request.compute.ComputeReservationTaskServiceTest.java,7,5,0,0,0,0,6,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,0,166,7,22,67,23,0.14,-1,0,0,2,2,1,98.76,120,119,60,121,119,60,False
vmware-archive/admiral,1d492c3f74d0eba5d18d81fcb354bf58293f1379,"v0.5.0, v0.9.1",request.src.test.java.com.vmware.admiral.request.compute.ComputePlacementSelectionTaskServiceTest.java,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,35,4,9,12,5,0.14,-1,0,0,2,2,0,60.0,2,1,1,3,2,2,False
vmware-archive/admiral,1d492c3f74d0eba5d18d81fcb354bf58293f1379,"v0.5.0, v0.9.1",request.src.test.java.com.vmware.admiral.request.composition.CompositionTaskServiceTest.java,20,2,1,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0,3,1,0,10,0,222,20,54,109,25,0.11,36,29,9,4,3,1,58.12,98,33,24,62,30,16,False
