App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isSplitClass
julianhyde/sqlline,a9714cab3f16f6d5db0f65443789b7ee6a051996,"sqlline-1.5.0, sqlline-1.6.0",src.test.java.sqlline.SqlLineHighlighterTest.java,25,0,10,0,0,0,0,12,0,0,0,0,0,0,0.0,0.0,0,13,0,0,13,0,458,30,78,126,3,0.01,840,556,168,5,1,0,100.0,863,556,173,23,15,5,False
julianhyde/sqlline,a9714cab3f16f6d5db0f65443789b7ee6a051996,"sqlline-1.5.0, sqlline-1.6.0",src.test.java.sqlline.SqlLineParserTest.java,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0.0,5.0,0,3,0,0,5,0,85,6,22,21,0,0.0,233,70,26,9,1,0,100.0,315,72,35,82,47,9,False
julianhyde/sqlline,2752f8197759a349d5a747bbe48e889b878228d3,"sqlline-1.6.0, sqlline-1.7.0",src.test.java.sqlline.SqlLineTest.java,5,3,1,0,0,0,1,0,0,0,0,0,0,0,2.0,3.0,1,0,0,0,5,0,144,5,10,19,33,0.23,-25,-25,-25,1,1,0,100.0,46,46,46,71,71,71,False
julianhyde/sqlline,2752f8197759a349d5a747bbe48e889b878228d3,"sqlline-1.6.0, sqlline-1.7.0",src.test.java.sqlline.SqlLineHighlighterTest.java,25,0,10,0,0,0,0,12,0,0,0,0,0,0,0.0,0.0,0,13,0,0,13,0,490,30,78,122,3,0.01,24,23,5,5,2,0,68.87,65,23,13,41,21,8,False
julianhyde/sqlline,2752f8197759a349d5a747bbe48e889b878228d3,"sqlline-1.6.0, sqlline-1.7.0",src.test.java.sqlline.DatabaseMetaDataWrapperTest.java,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,1,0,69,1,4,19,17,0.25,-3,0,-2,2,1,0,100.0,2,2,1,5,3,2,False
julianhyde/sqlline,ac1f18537a2649dacf599c83b5c7f03341ba4221,"sqlline-1.7.0, sqlline-1.8.0",src.test.java.sqlline.SqlLineHighlighterTest.java,25,0,10,0,0,0,0,12,0,0,0,0,0,0,0.0,0.0,0,13,0,0,13,0,498,30,78,122,3,0.01,9,9,4,2,1,0,100.0,10,9,5,1,1,0,False
