App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isReplaceTryCatchWithAssertThrows
opencb/opencga,2605d6a7c2ac5ccfd3215d43cc1f5fffef8d21d0,"0.2, 0.2.1",opencga-catalog.src.test.java.org.opencb.opencga.catalog.db.mongodb.CatalogMongoSampleDBAdaptorTest.java,9,5,0,0,0,0,7,7,0,0,0,0,0,0,5.0,17.0,3,1,0,0,7,0,99.0,9.0,18.0,68.0,18.0,0.18,184,121,46,4,1,0,100.0,205,121,51,21,15,5,False
opencb/opencga,2605d6a7c2ac5ccfd3215d43cc1f5fffef8d21d0,"0.2, 0.2.1",opencga-catalog.src.test.java.org.opencb.opencga.catalog.authorization.CatalogAuthorizationManagerTest.java,60,5,0,0,0,0,56,56,0,0,0,0,0,0,0.0,0.0,0,49,0,0,56,0,333.0,60.0,124.0,176.0,17.0,0.05,547,115,36,15,1,0,100.0,644,151,43,97,43,6,False
opencb/opencga,2605d6a7c2ac5ccfd3215d43cc1f5fffef8d21d0,"0.2, 0.2.1",opencga-server.src.test.java.org.opencb.opencga.server.ws.OpenCGAWSServerTest.java,7,1,1,0,0,0,3,0,1,1,0,0,0,0,0.0,0.0,1,1,0,1,3,0,110.0,7.0,19.0,68.0,15.0,0.14,194,87,11,17,3,0,76.79,377,115,22,183,83,11,False
opencb/opencga,2605d6a7c2ac5ccfd3215d43cc1f5fffef8d21d0,"0.2, 0.2.1",opencga-storage.opencga-storage-mongodb.src.test.java.org.opencb.opencga.storage.mongodb.alignment.IndexedAlignmentDBAdaptorTest.java,7,0,0,0,0,0,4,4,0,0,0,0,0,0,3.0,13.0,0,4,0,0,4,0,101.0,7.0,19.0,61.0,0.0,0.0,193,57,8,23,2,0,85.29,297,72,13,104,32,5,False
opencb/opencga,2605d6a7c2ac5ccfd3215d43cc1f5fffef8d21d0,"0.2, 0.2.1",opencga-catalog.src.test.java.org.opencb.opencga.catalog.utils.CatalogAnnotationsValidatorTest.java,20,1,0,0,0,0,19,0,0,0,0,0,0,0,0.0,19.0,0,19,0,0,20,0,111.0,20.0,39.0,83.0,5.0,0.05,191,103,38,5,1,0,100.0,210,112,42,19,9,4,False
opencb/opencga,2605d6a7c2ac5ccfd3215d43cc1f5fffef8d21d0,"0.2, 0.2.1",opencga-server.src.test.java.org.opencb.opencga.server.ws.FileWSServerTest.java,16,4,0,1,0,0,5,0,5,0,0,0,0,0,0.0,0.0,2,0,0,5,5,0,212.0,17.0,48.0,160.0,20.0,0.09,399,153,33,12,2,1,99.05,411,153,34,12,3,1,False
opencb/opencga,2605d6a7c2ac5ccfd3215d43cc1f5fffef8d21d0,"0.2, 0.2.1",opencga-server.src.test.java.org.opencb.opencga.server.ws.UserWSServerTest.java,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,97.0,6.0,15.0,54.0,7.0,0.07,161,55,23,7,3,0,42.67,275,75,39,114,70,16,False
opencb/opencga,2605d6a7c2ac5ccfd3215d43cc1f5fffef8d21d0,"0.2, 0.2.1",opencga-server.src.test.java.org.opencb.opencga.server.ws.ProjectWSServerTest.java,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,89.0,5.0,12.0,45.0,4.0,0.04,157,86,20,8,3,0,47.22,285,86,36,128,76,16,False
opencb/opencga,2605d6a7c2ac5ccfd3215d43cc1f5fffef8d21d0,"0.2, 0.2.1",opencga-catalog.src.test.java.org.opencb.opencga.catalog.utils.CatalogFileUtilsTest.java,11,7,4,0,0,0,9,8,8,1,0,0,0,0,5.0,24.0,5,2,0,8,9,0,262.0,11.0,37.0,170.0,48.0,0.18,442,92,21,21,2,1,96.67,506,92,24,64,10,3,False
opencb/opencga,2605d6a7c2ac5ccfd3215d43cc1f5fffef8d21d0,"0.2, 0.2.1",opencga-storage.opencga-storage-core.src.test.java.org.opencb.opencga.storage.core.config.StorageConfigurationTest.java,2,0,0,0,0,0,2,0,0,1,0,0,0,0,2.0,0.0,0,2,0,0,2,0,29.0,2.0,4.0,14.0,0.0,0.0,78,62,9,9,1,0,100.0,113,62,13,35,16,4,False
