,App,SHA,TestFilePath,AddClassAnnotation,isAddClassAnnotation,prediction
13,logic-ng/logicng,b20e782b8710b9d62dbd25110fbb6c545a673867,org/logicng/datastructures/ubtrees/UBTreeTest.java,0.0,False,False
65,logic-ng/logicng,b20e782b8710b9d62dbd25110fbb6c545a673867,org/logicng/knowledgecompilation/bdds/orderings/ForceOrderingTest.java,0.0,False,False
71,logic-ng/logicng,b20e782b8710b9d62dbd25110fbb6c545a673867,org/logicng/predicates/CNFPredicateTest.java,0.0,False,False
76,logic-ng/logicng,b20e782b8710b9d62dbd25110fbb6c545a673867,org/logicng/predicates/TermPredicateTest.java,0.0,False,False
90,logic-ng/logicng,b20e782b8710b9d62dbd25110fbb6c545a673867,org/logicng/transformations/AnonymizerTest.java,0.0,False,False
103,logic-ng/logicng,b20e782b8710b9d62dbd25110fbb6c545a673867,org/logicng/transformations/qmc/TermTableTest.java,0.0,False,False
109,logic-ng/logicng,b20e782b8710b9d62dbd25110fbb6c545a673867,org/logicng/util/FormulaHelperTest.java,0.0,False,False
114,logic-ng/logicng,38e007c1794193a7b55bf9f82f9f2903fb66a14e,org/logicng/collections/LNGBooleanVectorTest.java,0.0,False,False
129,logic-ng/logicng,38e007c1794193a7b55bf9f82f9f2903fb66a14e,org/logicng/explanations/UNSATCoreTest.java,0.0,False,False
130,logic-ng/logicng,38e007c1794193a7b55bf9f82f9f2903fb66a14e,org/logicng/formulas/AndTest.java,0.0,False,False
137,logic-ng/logicng,38e007c1794193a7b55bf9f82f9f2903fb66a14e,org/logicng/formulas/ImplicationTest.java,0.0,False,False
153,logic-ng/logicng,38e007c1794193a7b55bf9f82f9f2903fb66a14e,org/logicng/graphs/generators/HypergraphGeneratorTest.java,0.0,False,False
159,logic-ng/logicng,38e007c1794193a7b55bf9f82f9f2903fb66a14e,org/logicng/handlers/TimeoutOptimizationHandlerTest.java,0.0,False,False
168,logic-ng/logicng,38e007c1794193a7b55bf9f82f9f2903fb66a14e,org/logicng/io/parsers/PseudoBooleanParserTest.java,0.0,False,False
170,logic-ng/logicng,38e007c1794193a7b55bf9f82f9f2903fb66a14e,org/logicng/io/writers/FormulaDimacsFileWriterTest.java,0.0,False,False
179,logic-ng/logicng,38e007c1794193a7b55bf9f82f9f2903fb66a14e,org/logicng/knowledgecompilation/dnnf/DnnfCompilerTest.java,0.0,False,False
186,logic-ng/logicng,38e007c1794193a7b55bf9f82f9f2903fb66a14e,org/logicng/predicates/EvaluatesToConstantPredicateTest.java,0.0,False,False
204,logic-ng/logicng,38e007c1794193a7b55bf9f82f9f2903fb66a14e,org/logicng/transformations/LiteralSubstitutionTest.java,0.0,False,False
